Drug1	Drug2
DB00114	DB01235
DB00114	DB00413
DB00114	DB00810
DB00114	DB00494
DB00114	DB00323
DB00114	DB00248
DB00114	DB00392
DB00114	DB00340
DB00114	DB01367
DB00114	DB01200
DB00114	DB01037
DB00114	DB05271
DB00114	DB00714
DB00126	DB00819
DB00150	DB00368
DB00150	DB00668
DB00150	DB00206
DB00150	DB00501
DB00150	DB01215
DB00150	DB00652
DB00150	DB01351
DB00150	DB00370
DB00150	DB01041
DB00150	DB00476
DB00150	DB01169
DB00117	DB00951
DB03255	DB00684
DB03255	DB01744
DB03255	DB00335
DB03255	DB00181
DB03255	DB01203
DB03255	DB00850
DB03255	DB00960
DB03255	DB00985
DB03255	DB00818
DB03255	DB01100
DB03255	DB00781
DB03255	DB01238
DB03255	DB00391
DB03255	DB01544
DB03255	DB01558
DB03255	DB01071
DB03255	DB01429
DB03255	DB01198
DB03255	DB01608
DB03255	DB00484
DB03793	DB00216
DB03793	DB01169
DB03793	DB06287
DB00677	DB00545
DB00677	DB00185
DB00677	DB00843
DB00677	DB00989
DB00640	DB00975
DB00640	DB00277
DB00640	DB00201
DB00640	DB01303
DB00627	DB06777
DB00627	DB00284
DB00627	DB00414
DB00627	DB01136
DB00627	DB00477
DB00627	DB00672
DB00627	DB00363
DB00627	DB01067
DB00627	DB01016
DB00627	DB00227
DB00627	DB00839
DB00627	DB01124
DB00627	DB00197
DB00627	DB01403
DB00627	DB00734
DB00627	DB00641
DB00627	DB00334
DB00627	DB01100
DB00627	DB06144
DB00627	DB00370
DB00627	DB00222
DB00627	DB00912
DB00627	DB04830
DB00627	DB00412
DB00627	DB00491
DB00627	DB01586
DB00627	DB00731
DB00627	DB01120
DB00627	DB04878
DB00627	DB00346
DB00627	DB01252
DB00627	DB01098
DB00627	DB02383
DB00627	DB01251
DB00627	DB00047
DB00627	DB01276
DB00627	DB01306
DB00627	DB00046
DB00627	DB01307
DB00627	DB01309
DB00627	DB00331
DB00627	DB01278
DB00627	DB06655
DB01235	DB01440
DB01235	DB01063
DB01235	DB01116
DB01235	DB00325
DB01235	DB00657
DB01235	DB00599
DB01235	DB04840
DB01235	DB00114
DB01235	DB01235
DB01235	DB00368
DB01235	DB00668
DB01235	DB00572
DB01235	DB00502
DB01235	DB00747
DB01235	DB00206
DB01235	DB00517
DB01235	DB00477
DB01235	DB00575
DB01235	DB00363
DB01235	DB01119
DB01235	DB00450
DB01235	DB00813
DB01235	DB00951
DB01235	DB00679
DB01235	DB00508
DB01235	DB00809
DB01235	DB01403
DB01235	DB00350
DB01235	DB00734
DB01235	DB00334
DB01235	DB01062
DB01235	DB00433
DB01235	DB00652
DB01235	DB00850
DB01235	DB00986
DB01235	DB01159
DB01235	DB00228
DB01235	DB00753
DB01235	DB01189
DB01235	DB01236
DB01235	DB00292
DB01235	DB00818
DB01235	DB00413
DB01235	DB01100
DB01235	DB06144
DB01235	DB01036
DB01235	DB00462
DB01235	DB00765
DB01235	DB00810
DB01235	DB00494
DB01235	DB00323
DB01235	DB01239
DB01235	DB00248
DB01235	DB00875
DB01235	DB01355
DB01235	DB00209
DB01235	DB00392
DB01235	DB01238
DB01235	DB00391
DB01235	DB00559
DB01235	DB06262
DB01235	DB01563
DB01235	DB01608
DB01235	DB00217
DB01235	DB00496
DB01235	DB00340
DB01235	DB00725
DB01235	DB01505
DB01235	DB01170
DB01235	DB00408
DB01235	DB01367
DB01235	DB04818
DB01235	DB01247
DB01235	DB01614
DB01235	DB04842
DB01235	DB00933
DB01235	DB01200
DB01235	DB01037
DB01235	DB00514
DB01235	DB01546
DB01235	DB06716
DB01235	DB00474
DB01235	DB01267
DB01235	DB05271
DB01235	DB00708
DB01235	DB06268
DB01235	DB00714
DB01235	DB00968
DB01235	DB01621
DB01235	DB00420
DB01235	DB01622
DB00742	DB00684
DB00742	DB01117
DB00742	DB00460
DB00684	DB01172
DB00684	DB01440
DB00684	DB00599
DB00684	DB00202
DB00684	DB00732
DB00684	DB01337
DB00684	DB01339
DB00684	DB03255
DB00684	DB00742
DB00684	DB00907
DB00684	DB00091
DB00684	DB00681
DB00684	DB00512
DB00684	DB00316
DB00684	DB00181
DB00684	DB00887
DB00684	DB01178
DB00684	DB00515
DB00684	DB00390
DB00684	DB00450
DB00684	DB00903
DB00684	DB00813
DB00684	DB00695
DB00684	DB00281
DB00684	DB00214
DB00684	DB00423
DB00684	DB00985
DB00684	DB01159
DB00684	DB00228
DB00684	DB00753
DB00684	DB01189
DB00684	DB01236
DB00684	DB00292
DB00684	DB00818
DB00684	DB01086
DB00684	DB00750
DB00684	DB01161
DB00684	DB00527
DB00684	DB00565
DB00684	DB01135
DB00684	DB00728
DB00684	DB00395
DB00684	DB00356
DB00684	DB00083
DB00684	DB00781
DB00684	DB01355
DB00684	DB01078
DB00684	DB00958
DB00684	DB02925
DB00684	DB00526
DB00684	DB00399
DB00684	DB01111
DB00684	DB01169
DB00684	DB00803
DB00684	DB00893
DB00684	DB06149
DB00684	DB01219
DB00684	DB00042
DB00684	DB01276
DB00684	DB06716
DB00684	DB00941
DB00684	DB00474
DB00684	DB00708
DB00396	DB00783
DB00396	DB00091
DB00396	DB01045
DB00396	DB01229
DB00396	DB01174
DB00396	DB00252
DB00396	DB00745
DB00655	DB00783
DB00655	DB00091
DB00655	DB01045
DB00655	DB00414
DB00655	DB00672
DB00655	DB01016
DB00655	DB01124
DB00655	DB01229
DB00655	DB01174
DB00655	DB00252
DB00655	DB00222
DB00655	DB00912
DB00655	DB00731
DB00655	DB01120
DB00655	DB01252
DB00655	DB00047
DB00655	DB01306
DB00655	DB00046
DB00655	DB01307
DB00655	DB01309
