Drug1	Drug2
DB00945	DB00526
DB00945	DB00458
DB00945	DB00996
DB00945	DB00454
DB00945	DB00213
DB00945	DB00492
DB00945	DB01212
DB00945	DB00398
DB00945	DB00709
DB00945	DB00775
DB00945	DB00697
DB00945	DB00853
DB00945	DB01413
DB00945	DB00440
DB00945	DB00181
DB00945	DB00519
DB00945	DB01195
DB00945	DB00250
DB00945	DB01004
DB00945	DB00582
DB00945	DB00268
DB00945	DB01193
DB00945	DB01204
DB00945	DB01248
DB00945	DB00555
DB00945	DB00862
DB00945	DB00990
DB00945	DB00195
DB00945	DB00204
DB00945	DB00542
DB00945	DB01197
DB00945	DB00953
DB00945	DB01115
DB00945	DB00341
DB00945	DB00920
DB00945	DB00394
DB00945	DB00243
DB00945	DB02300
DB00945	DB00571
DB00945	DB00530
DB00945	DB00635
DB00945	DB00441
DB00945	DB01026
DB00945	DB00275
DB00945	DB00681
DB00945	DB00968
DB00945	DB00424
DB00945	DB00455
DB00945	DB01009
DB00945	DB01042
DB00945	DB00726
DB00945	DB00710
DB00945	DB01224
DB00945	DB00346
DB00945	DB00601
DB00945	DB00924
DB00945	DB00540
DB00945	DB00218
DB00945	DB00559
DB00945	DB01275
DB00945	DB00975
DB00945	DB00248
DB00945	DB00472
DB00945	DB00321
DB00945	DB00413
DB00945	DB00410
DB00945	DB00244
DB00945	DB01233
DB00945	DB00295
DB00945	DB01223
DB00945	DB01137
DB00945	DB00642
DB00945	DB00999
DB00945	DB00439
DB00945	DB00577
DB00945	DB00415
DB00945	DB00742
DB00945	DB00586
DB00945	DB00580
DB00945	DB00798
DB00945	DB01337
DB00945	DB00426
DB00945	DB00649
DB00945	DB00993
DB00945	DB01327
DB00945	DB00335
DB00945	DB00967
DB00945	DB00363
DB00945	DB00531
DB00945	DB00417
DB00945	DB00864
DB00945	DB00343
DB00945	DB00757
DB00945	DB01162
DB00945	DB00180
DB00945	DB00200
DB00945	DB00350
DB00945	DB00661
DB00945	DB00630
DB00945	DB01124
DB00945	DB00787
DB00945	DB00512
DB00945	DB00422
DB00945	DB01140
DB00945	DB00598
DB00945	DB00673
DB00945	DB00222
DB00945	DB06700
DB00945	DB00612
DB00945	DB01032
DB00945	DB00700
DB00945	DB00836
DB00945	DB00624
DB00945	DB00153
DB00945	DB00231
DB00945	DB00373
DB00945	DB00860
DB00945	DB00585
DB00945	DB00563
DB00945	DB01036
DB00945	DB01048
DB00945	DB01416
DB00945	DB01203
DB00945	DB00211
DB00945	DB01291
DB00945	DB00459
DB00945	DB01076
DB00945	DB00361
DB00945	DB00194
DB00945	DB00381
DB00945	DB00808
DB00945	DB00590
DB00945	DB00203
DB00945	DB00252
DB00945	DB00338
DB00945	DB00921
DB00945	DB00802
DB00945	DB00627
DB00945	DB00969
DB00945	DB01240
DB00945	DB00280
DB00945	DB00927
DB00945	DB01059
DB00945	DB00962
DB00945	DB00270
DB00945	DB00698
DB00945	DB01129
DB00945	DB00327
DB00945	DB00724
DB00945	DB00674
DB00945	DB00820
DB00945	DB01182
DB00945	DB00285
DB00945	DB00762
DB00945	DB00583
DB00945	DB01273
DB00945	DB00850
DB00945	DB00654
DB00945	DB00916
DB00945	DB00537
DB00945	DB00833
DB00945	DB01149
DB00945	DB00741
DB00945	DB00658
DB00945	DB00829
DB00945	DB00533
DB00945	DB00198
DB00945	DB00883
DB00945	DB01077
DB00945	DB00193
DB00945	DB01156
DB00945	DB00818
DB00945	DB01586
DB00945	DB00884
DB00945	DB00841
DB00945	DB00747
DB00945	DB00889
DB00945	DB00842
DB00945	DB00851
DB00945	DB00770
DB00945	DB00623
DB00945	DB00819
DB00945	DB00230
DB00945	DB00208
DB00945	DB00497
DB00945	DB00811
DB00945	DB00991
DB00945	DB02379
DB00945	DB01623
DB00945	DB01085
DB00945	DB00489
DB00945	DB01083
DB00945	DB01249
DB00945	DB00493
DB00945	DB00196
DB00945	DB00445
DB00945	DB00620
DB00945	DB00564
DB00945	DB01217
DB00945	DB00115
DB00945	DB00959
DB00945	DB00763
DB00945	DB00209
DB00945	DB00873
DB00945	DB01050
DB00945	DB00277
DB00945	DB01060
DB00945	DB00465
DB00945	DB00625
DB00945	DB00242
DB00945	DB00906
DB00945	DB00351
DB00945	DB00712
DB00945	DB00960
DB00945	DB01215
DB00945	DB01167
DB00945	DB00727
DB00945	DB01047
DB00945	DB00402
DB00945	DB01118
DB00945	DB00784
DB00945	DB00683
DB00945	DB00319
DB00945	DB00425
DB00945	DB01128
DB00945	DB01202
DB00945	DB00869
DB00945	DB01186
DB00945	DB00278
DB00945	DB00745
DB00945	DB00303
DB00945	DB00355
DB00945	DB01020
DB00945	DB00947
DB00945	DB00545
DB00945	DB00477
DB00945	DB00951
DB00945	DB00407
DB00945	DB00377
DB00945	DB01229
DB00945	DB00297
DB00945	DB01045
DB00945	DB01222
DB00945	DB00284
DB00945	DB00199
DB00945	DB00619
DB00945	DB00162
DB00945	DB00281
DB00945	DB00330
DB00945	DB01211
DB00945	DB00315
DB00945	DB00401
DB00945	DB01610
DB00945	DB00557
DB00945	DB00603
DB00945	DB00790
DB00945	DB00379
DB00945	DB00690
DB00945	DB00214
DB00945	DB00480
DB00945	DB01005
DB00945	DB00207
DB00945	DB00909
DB00945	DB00773
DB00945	DB00535
DB00945	DB00900
DB00945	DB00734
DB00945	DB00806
DB00945	DB01173
DB00945	DB00544
DB00945	DB00461
DB00945	DB00279
DB00945	DB00238
DB00945	DB00313
DB00945	DB00541
DB00945	DB00887
DB00945	DB01095
DB00945	DB01112
DB00945	DB01136
DB00945	DB00443
DB00945	DB00310
DB00945	DB01143
DB00945	DB00438
DB00945	DB01044
DB00945	DB01595
DB00945	DB00983
DB00945	DB01150
DB00945	DB00813
DB00945	DB00549
DB00945	DB00484
DB00945	DB00376
DB00945	DB00482
DB00945	DB00481
DB00945	DB01079
DB00945	DB00567
DB00945	DB00333
DB00945	DB00749
DB00945	DB00804
DB00945	DB01062
DB00945	DB00669
DB00945	DB00874
DB00945	DB01242
DB00945	DB01241
DB00945	DB00881
DB00945	DB00186
DB00945	DB04441
DB00945	DB00184
DB00945	DB00490
DB00945	DB00675
DB00945	DB00843
DB00945	DB00524
DB00945	DB00332
DB00945	DB00460
DB00945	DB00989
DB00945	DB00334
DB00945	DB00912
DB00945	DB01069
DB00945	DB00175
DB00945	DB00374
DB00945	DB00973
DB00945	DB00395
DB00945	DB01110
DB00945	DB00494
DB00945	DB00503
DB00945	DB00475
DB00945	DB00158
DB00945	DB00502
DB00945	DB01132
DB00945	DB00938
DB00945	DB00448
DB00945	DB00622
DB00945	DB01097
DB00945	DB00496
DB00945	DB00499
DB00945	DB00261
DB00945	DB01068
DB00945	DB00796
DB00945	DB01043
DB00945	DB00495
DB00945	DB01037
DB00945	DB00795
DB00945	DB00136
DB00945	DB00966
DB00945	DB00399
DB00945	DB00331
DB00945	DB00986
DB00945	DB00423
DB00945	DB00538
DB00945	DB06151
DB00945	DB00950
DB00945	DB00605
DB00945	DB00191
DB00945	DB01104
DB00945	DB00758
DB00945	DB00390
DB00945	DB00177
DB00945	DB01023
DB00945	DB01039
DB00945	DB00722
DB00945	DB00958
DB00945	DB00915
DB00945	DB00176
DB00945	DB00776
DB00945	DB00328
DB00945	DB05271
DB00945	DB00897
DB00945	DB00668
DB00945	DB00264
DB00945	DB00753
DB00945	DB01001
DB00945	DB00396
DB00945	DB01142
DB00945	DB00404
DB00945	DB00717
DB00945	DB01072
DB00945	DB00446
DB00945	DB01022
DB00945	DB00641
DB00945	DB00650
DB00945	DB00215
DB00945	DB00457
DB00945	DB01105
DB00945	DB00216
DB00945	DB00292
DB00945	DB00972
DB00945	DB01611
DB00945	DB00468
DB00945	DB00783
DB00945	DB00584
DB00945	DB00715
DB00945	DB00695
DB00945	DB00316
DB00945	DB01101
DB00945	DB01006
DB00945	DB01190
DB00945	DB01367
DB00945	DB00370
DB00945	DB00227
DB00945	DB00225
DB00945	DB00575
DB00945	DB01609
DB00945	DB00794
DB00945	DB00737
DB00945	DB00257
DB00945	DB00877
DB00945	DB01126
DB00945	DB00317
DB00945	DB00513
DB00945	DB00678
DB00945	DB00904
DB00945	DB01067
DB00945	DB01041
DB00945	DB01029
DB00945	DB01238
DB00945	DB00367
DB00945	DB00339
DB00945	DB00656
DB00945	DB01188
DB00945	DB00421
DB00945	DB01264
DB00945	DB00930
DB00945	DB00451
DB00945	DB00684
DB00945	DB00470
DB00945	DB00178
DB00945	DB00857
DB00945	DB01254
DB00945	DB01016
DB00945	DB00863
DB00945	DB00987
DB00945	DB00188
DB00945	DB00523
DB00945	DB01216
DB00945	DB00501
DB00945	DB00878
DB00945	DB00433
DB00945	DB01194
DB00945	DB00273
DB00945	DB02530
DB00526	DB00945
DB00526	DB00996
DB00526	DB00213
DB00526	DB01212
DB00526	DB00709
DB00526	DB00697
DB00526	DB01413
DB00526	DB00519
DB00526	DB01193
DB00526	DB01248
DB00526	DB00555
DB00526	DB01197
DB00526	DB01115
DB00526	DB00341
DB00526	DB00571
DB00526	DB00530
DB00526	DB00635
DB00526	DB00441
DB00526	DB00275
DB00526	DB00424
DB00526	DB00455
DB00526	DB01009
DB00526	DB00710
DB00526	DB01224
DB00526	DB00924
DB00526	DB00472
DB00526	DB00244
DB00526	DB01233
DB00526	DB00295
DB00526	DB01137
DB00526	DB00642
DB00526	DB00999
DB00526	DB00577
DB00526	DB00586
DB00526	DB00580
DB00526	DB00335
DB00526	DB00531
DB00526	DB00864
DB00526	DB00343
DB00526	DB00757
DB00526	DB01162
DB00526	DB00661
DB00526	DB00630
DB00526	DB00787
DB00526	DB00512
DB00526	DB00422
DB00526	DB00673
DB00526	DB00222
DB00526	DB00612
DB00526	DB00836
DB00526	DB00231
DB00526	DB00373
DB00526	DB00860
DB00526	DB00563
DB00526	DB01036
DB00526	DB01076
DB00526	DB00361
DB00526	DB00381
DB00526	DB00808
DB00526	DB00590
DB00526	DB00252
DB00526	DB00338
DB00526	DB00627
DB00526	DB00927
DB00526	DB01059
DB00526	DB01129
DB00526	DB00327
DB00526	DB00285
DB00526	DB00762
DB00526	DB00654
DB00526	DB00916
DB00526	DB00537
DB00526	DB00741
DB00526	DB00829
DB00526	DB00533
DB00526	DB01156
DB00526	DB00818
DB00526	DB01586
DB00526	DB00884
DB00526	DB00889
DB00526	DB00842
DB00526	DB00230
DB00526	DB00497
DB00526	DB02379
DB00526	DB01085
DB00526	DB00489
DB00526	DB00196
DB00526	DB00445
DB00526	DB00620
DB00526	DB00564
DB00526	DB00115
DB00526	DB00959
DB00526	DB01050
DB00526	DB00465
DB00526	DB00351
DB00526	DB00727
DB00526	DB00402
DB00526	DB01118
DB00526	DB00683
DB00526	DB00319
DB00526	DB00425
DB00526	DB00869
DB00526	DB00745
DB00526	DB01020
DB00526	DB01181
DB00526	DB00477
DB00526	DB00407
DB00526	DB00377
DB00526	DB01229
DB00526	DB01222
DB00526	DB00619
DB00526	DB00281
DB00526	DB01211
DB00526	DB00557
DB00526	DB00603
DB00526	DB00790
DB00526	DB00214
DB00526	DB00773
DB00526	DB00535
DB00526	DB00734
DB00526	DB00544
DB00526	DB00313
DB00526	DB00541
DB00526	DB01112
DB00526	DB01136
DB00526	DB00443
DB00526	DB00813
DB00526	DB00482
DB00526	DB00481
DB00526	DB00567
DB00526	DB00749
DB00526	DB00804
DB00526	DB01062
DB00526	DB00881
DB00526	DB00186
DB00526	DB04441
DB00526	DB00843
DB00526	DB00305
DB00526	DB00332
DB00526	DB00334
DB00526	DB01069
DB00526	DB00175
DB00526	DB00973
DB00526	DB00158
DB00526	DB00502
DB00526	DB01132
DB00526	DB00938
DB00526	DB00448
DB00526	DB01068
DB00526	DB00796
DB00526	DB00795
DB00526	DB00966
DB00526	DB00399
DB00526	DB00331
DB00526	DB00423
DB00526	DB06151
DB00526	DB00950
DB00526	DB01104
DB00526	DB00758
DB00526	DB00390
DB00526	DB00177
DB00526	DB01023
DB00526	DB01039
DB00526	DB00722
DB00526	DB00958
DB00526	DB00328
DB00526	DB00897
DB00526	DB00668
