Drug1	Drug2
DB00005	DB00026
DB00026	DB00005
DB00005	DB00065
DB00065	DB00005
DB00005	DB00072
DB00072	DB00005
DB00005	DB00108
DB00108	DB00005
DB00005	DB00337
DB00337	DB00005
DB00005	DB00531
DB00531	DB00005
DB00864	DB00005
DB00005	DB00864
DB00005	DB01097
DB01097	DB00005
DB00005	DB01281
DB01281	DB00005
DB01656	DB00005
DB00005	DB01656
DB06168	DB00005
DB00005	DB06168
DB00005	DB06273
DB06273	DB00005
DB06372	DB00005
DB00005	DB06372
DB06643	DB00005
DB00005	DB06643
DB00005	DB06688
DB06688	DB00005
DB00005	DB08879
DB08879	DB00005
DB00005	DB08895
DB08895	DB00005
DB00005	DB08904
DB08904	DB00005
DB09033	DB00005
DB00005	DB09033
DB10283	DB00005
DB00005	DB10283
DB00006	DB00009
DB00009	DB00006
DB00006	DB00013
DB00013	DB00006
DB00006	DB00015
DB00015	DB00006
DB00006	DB00029
DB00029	DB00006
DB00031	DB00006
DB00006	DB00031
DB00054	DB00006
DB00006	DB00054
DB00065	DB00006
DB00006	DB00065
DB00078	DB00006
DB00006	DB00078
DB00081	DB00006
DB00006	DB00081
DB00006	DB00086
DB00086	DB00006
DB00163	DB00006
DB00006	DB00163
DB00006	DB00266
DB00266	DB00006
DB00006	DB00269
DB00269	DB00006
DB00304	DB00006
DB00006	DB00304
DB00374	DB00006
DB00006	DB00374
DB00006	DB00378
DB00378	DB00006
DB00396	DB00006
DB00006	DB00396
DB00498	DB00006
DB00006	DB00498
DB00006	DB00569
DB00569	DB00006
DB00682	DB00006
DB00006	DB00682
DB00006	DB00686
DB00686	DB00006
DB00006	DB00932
DB00932	DB00006
DB00006	DB00945
DB00945	DB00006
DB00006	DB00946
DB00946	DB00006
DB00006	DB00974
DB00974	DB00006
DB01109	DB00006
DB00006	DB01109
DB01207	DB00006
DB00006	DB01207
DB00006	DB01225
DB01225	DB00006
DB01254	DB00006
DB00006	DB01254
DB01398	DB00006
DB00006	DB01398
DB01418	DB00006
DB00006	DB01418
DB01609	DB00006
DB00006	DB01609
DB00006	DB03619
DB03619	DB00006
DB04272	DB00006
DB00006	DB04272
DB04865	DB00006
DB00006	DB04865
DB06206	DB00006
DB00006	DB06206
DB06228	DB00006
DB00006	DB06228
DB06271	DB00006
DB00006	DB06271
DB00006	DB06605
DB06605	DB00006
DB06695	DB00006
DB00006	DB06695
DB06730	DB00006
DB00006	DB06730
DB00006	DB06779
DB06779	DB00006
DB00006	DB08794
DB08794	DB00006
DB00006	DB08935
DB08935	DB00006
DB00006	DB09030
DB09030	DB00006
DB09053	DB00006
DB00006	DB09053
DB09070	DB00006
DB00006	DB09070
DB00006	DB09075
DB09075	DB00006
DB00006	DB09079
DB09079	DB00006
DB00006	DB09211
DB09211	DB00006
DB00006	DB11133
DB11133	DB00006
DB11249	DB00006
DB00006	DB11249
DB00635	DB00052
DB00052	DB00635
DB00783	DB00052
DB00052	DB00783
DB01380	DB00052
DB00052	DB01380
DB04574	DB00052
DB00052	DB04574
DB00054	DB00063
DB00063	DB00054
DB00078	DB00054
DB00054	DB00078
DB00081	DB00054
DB00054	DB00081
DB00054	DB00086
DB00086	DB00054
DB00054	DB00159
DB00159	DB00054
DB00054	DB00163
DB00163	DB00054
DB00054	DB00176
DB00176	DB00054
DB00054	DB00201
DB00201	DB00054
DB00054	DB00208
DB00208	DB00054
DB00215	DB00054
DB00054	DB00215
DB00054	DB00233
DB00233	DB00054
DB00054	DB00261
DB00261	DB00054
DB00054	DB00266
DB00266	DB00054
DB00278	DB00054
DB00054	DB00278
DB00285	DB00054
DB00054	DB00285
DB00054	DB00294
DB00294	DB00054
DB00054	DB00304
DB00304	DB00054
DB00054	DB00328
DB00328	DB00054
DB00054	DB00351
DB00351	DB00054
DB00367	DB00054
DB00054	DB00367
DB00374	DB00054
DB00054	DB00374
DB00396	DB00054
DB00054	DB00396
DB00461	DB00054
DB00054	DB00461
DB00054	DB00465
DB00465	DB00054
DB00472	DB00054
DB00054	DB00472
DB00476	DB00054
DB00054	DB00476
DB00482	DB00054
DB00054	DB00482
DB00498	DB00054
DB00054	DB00498
DB00054	DB00500
DB00500	DB00054
DB00554	DB00054
DB00054	DB00554
DB00569	DB00054
DB00054	DB00569
DB00054	DB00573
DB00573	DB00054
DB00054	DB00586
DB00586	DB00054
DB00054	DB00603
DB00603	DB00054
DB00605	DB00054
DB00054	DB00605
DB00054	DB00682
DB00682	DB00054
DB00686	DB00054
DB00054	DB00686
DB00712	DB00054
DB00054	DB00712
DB00054	DB00715
DB00715	DB00054
DB00054	DB00717
DB00717	DB00054
DB00054	DB00749
DB00749	DB00054
DB00054	DB00758
DB00758	DB00054
DB00775	DB00054
DB00054	DB00775
DB00783	DB00054
DB00054	DB00783
DB00784	DB00054
DB00054	DB00784
DB00788	DB00054
DB00054	DB00788
DB00806	DB00054
DB00054	DB00806
DB00054	DB00814
DB00814	DB00054
DB00823	DB00054
DB00054	DB00823
DB00054	DB00861
DB00861	DB00054
DB00054	DB00932
DB00932	DB00054
DB00945	DB00054
DB00054	DB00945
DB00946	DB00054
DB00054	DB00946
DB00054	DB00957
DB00957	DB00054
DB00974	DB00054
DB00054	DB00974
DB00975	DB00054
DB00054	DB00975
DB00054	DB00977
DB00977	DB00054
DB00991	DB00054
DB00054	DB00991
DB00054	DB01009
DB01009	DB00054
DB00054	DB01050
DB01050	DB00054
DB00054	DB01088
DB01088	DB00054
DB00054	DB01104
DB01104	DB00054
DB00054	DB01109
DB01109	DB00054
DB01166	DB00054
DB00054	DB01166
DB01175	DB00054
DB00054	DB01175
DB00054	DB01207
DB01207	DB00054
DB01225	DB00054
DB00054	DB01225
DB01240	DB00054
DB00054	DB01240
DB01254	DB00054
DB00054	DB01254
DB01294	DB00054
DB00054	DB01294
DB00054	DB01296
DB01296	DB00054
DB01357	DB00054
DB00054	DB01357
DB01395	DB00054
DB00054	DB01395
DB01397	DB00054
DB00054	DB01397
DB01398	DB00054
DB00054	DB01398
DB01399	DB00054
DB00054	DB01399
DB00054	DB01418
DB01418	DB00054
DB01551	DB00054
DB00054	DB01551
DB01600	DB00054
DB00054	DB01600
DB00054	DB01609
DB01609	DB00054
DB03619	DB00054
DB00054	DB03619
DB00054	DB04272
DB04272	DB00054
DB00054	DB04574
DB04574	DB00054
DB00054	DB04839
DB04839	DB00054
DB00054	DB04896
DB04896	DB00054
DB00054	DB06209
DB06209	DB00054
DB00054	DB06228
DB06228	DB00054
DB06271	DB00054
DB00054	DB06271
DB00054	DB06441
DB06441	DB00054
DB00054	DB06605
DB06605	DB00054
DB06684	DB00054
DB00054	DB06684
DB06695	DB00054
DB00054	DB06695
DB00054	DB06700
DB06700	DB00054
DB06754	DB00054
DB00054	DB06754
DB06779	DB00054
DB00054	DB06779
DB00054	DB06789
DB06789	DB00054
DB00054	DB06822
DB06822	DB00054
DB00054	DB08794
DB08794	DB00054
DB08813	DB00054
DB00054	DB08813
DB08816	DB00054
DB00054	DB08816
DB00054	DB08879
DB08879	DB00054
DB08887	DB00054
DB00054	DB08887
DB08918	DB00054
DB00054	DB08918
DB00054	DB08935
DB08935	DB00054
DB08976	DB00054
DB00054	DB08976
DB00054	DB09030
DB09030	DB00054
DB00054	DB09053
DB09053	DB00054
DB00054	DB09068
DB09068	DB00054
DB00054	DB09075
DB09075	DB00054
DB00054	DB09079
DB09079	DB00054
DB09123	DB00054
DB00054	DB09123
DB09211	DB00054
DB00054	DB09211
DB00054	DB09255
DB09255	DB00054
DB09539	DB00054
DB00054	DB09539
DB11095	DB00054
DB00054	DB11095
DB11122	DB00054
DB00054	DB11122
DB00054	DB11133
DB11133	DB00054
DB11249	DB00054
DB00054	DB11249
DB00056	DB00072
DB00072	DB00056
DB00056	DB00108
DB00108	DB00056
DB00056	DB00337
DB00337	DB00056
DB00056	DB00363
DB00363	DB00056
DB00056	DB00864
DB00864	DB00056
DB00056	DB01097
DB01097	DB00056
DB01656	DB00056
DB00056	DB01656
DB00056	DB04817
DB04817	DB00056
DB06643	DB00056
DB00056	DB06643
DB00056	DB06688
DB06688	DB00056
DB08879	DB00056
DB00056	DB08879
DB00056	DB08895
DB08895	DB00056
DB00059	DB00072
DB00072	DB00059
DB00108	DB00059
DB00059	DB00108
DB00059	DB00337
DB00337	DB00059
DB00059	DB00864
DB00864	DB00059
DB01097	DB00059
DB00059	DB01097
DB00059	DB01656
DB01656	DB00059
DB06643	DB00059
DB00059	DB06643
DB06688	DB00059
DB00059	DB06688
DB08895	DB00059
DB00059	DB08895
DB00059	DB09208
DB09208	DB00059
DB00060	DB00277
DB00277	DB00060
DB00495	DB00060
DB00060	DB00495
DB00552	DB00061
DB00061	DB00552
DB09208	DB00061
DB00061	DB09208
DB00063	DB00078
DB00078	DB00063
DB00063	DB00081
DB00081	DB00063
DB00086	DB00063
DB00063	DB00086
DB00063	DB00163
DB00163	DB00063
DB00063	DB00266
DB00266	DB00063
DB00374	DB00063
DB00063	DB00374
DB00063	DB00498
DB00498	DB00063
DB00569	DB00063
DB00063	DB00569
DB00682	DB00063
DB00063	DB00682
DB00686	DB00063
DB00063	DB00686
DB00806	DB00063
DB00063	DB00806
DB00932	DB00063
DB00063	DB00932
DB00063	DB00945
DB00945	DB00063
DB00063	DB00946
DB00946	DB00063
DB00974	DB00063
DB00063	DB00974
DB00063	DB01109
DB01109	DB00063
DB00063	DB01207
DB01207	DB00063
DB00063	DB01225
DB01225	DB00063
DB00063	DB01254
DB01254	DB00063
DB01296	DB00063
DB00063	DB01296
DB00063	DB01398
DB01398	DB00063
DB00063	DB01418
DB01418	DB00063
DB00063	DB03619
DB03619	DB00063
DB04272	DB00063
DB00063	DB04272
DB00063	DB06228
DB06228	DB00063
DB00063	DB06271
DB06271	DB00063
DB06605	DB00063
DB00063	DB06605
DB00063	DB06695
DB06695	DB00063
DB00063	DB06779
DB06779	DB00063
DB08794	DB00063
DB00063	DB08794
DB08935	DB00063
DB00063	DB08935
DB09053	DB00063
DB00063	DB09053
DB00063	DB09211
DB09211	DB00063
DB00063	DB11133
DB11133	DB00063
DB11249	DB00063
DB00063	DB11249
DB00072	DB00065
DB00065	DB00072
DB00091	DB00065
DB00065	DB00091
DB00065	DB00108
DB00108	DB00065
DB00177	DB00065
DB00065	DB00177
DB00065	DB00178
DB00178	DB00065
DB00065	DB00187
DB00187	DB00065
DB00065	DB00195
DB00195	DB00065
DB00065	DB00214
DB00214	DB00065
DB00065	DB00218
DB00218	DB00065
DB00232	DB00065
DB00065	DB00232
DB00244	DB00065
DB00065	DB00244
DB00065	DB00264
DB00264	DB00065
DB00275	DB00065
DB00065	DB00275
DB00278	DB00065
DB00065	DB00278
DB00282	DB00065
DB00065	DB00282
DB00287	DB00065
DB00065	DB00287
DB00065	DB00300
DB00300	DB00065
DB00310	DB00065
DB00065	DB00310
DB00324	DB00065
DB00065	DB00324
DB00328	DB00065
DB00065	DB00328
DB00335	DB00065
DB00065	DB00335
DB00337	DB00065
DB00065	DB00337
DB00065	DB00373
DB00373	DB00065
DB00374	DB00065
DB00065	DB00374
DB00375	DB00065
DB00065	DB00375
DB00065	DB00384
DB00384	DB00065
DB00390	DB00065
DB00065	DB00390
DB00065	DB00399
DB00399	DB00065
DB00065	DB00421
DB00421	DB00065
DB00065	DB00436
DB00436	DB00065
DB00065	DB00461
DB00461	DB00065
DB00065	DB00465
DB00465	DB00065
DB00065	DB00479
DB00479	DB00065
DB00482	DB00065
DB00065	DB00482
DB00065	DB00489
DB00489	DB00065
DB00065	DB00492
DB00492	DB00065
DB00500	DB00065
DB00065	DB00500
DB00502	DB00065
DB00065	DB00502
DB00065	DB00512
DB00512	DB00065
DB00519	DB00065
DB00065	DB00519
DB00521	DB00065
DB00065	DB00521
DB00065	DB00524
DB00524	DB00065
DB00065	DB00537
DB00537	DB00065
DB00065	DB00542
DB00542	DB00065
DB00554	DB00065
DB00065	DB00554
DB00563	DB00065
DB00065	DB00563
DB00065	DB00569
DB00569	DB00065
DB00571	DB00065
DB00065	DB00571
DB00573	DB00065
DB00065	DB00573
DB00065	DB00584
DB00584	DB00065
DB00586	DB00065
DB00065	DB00586
DB00065	DB00594
DB00594	DB00065
DB00065	DB00598
DB00598	DB00065
DB00065	DB00605
DB00605	DB00065
DB00065	DB00612
DB00612	DB00065
DB00065	DB00630
DB00630	DB00065
DB00654	DB00065
DB00065	DB00654
DB00678	DB00065
DB00065	DB00678
DB00065	DB00682
DB00682	DB00065
DB00684	DB00065
DB00065	DB00684
DB00691	DB00065
DB00065	DB00691
DB00695	DB00065
DB00065	DB00695
DB00065	DB00700
DB00700	DB00065
DB00710	DB00065
DB00065	DB00710
DB00712	DB00065
DB00065	DB00712
DB00720	DB00065
DB00065	DB00720
DB00722	DB00065
DB00065	DB00722
DB00065	DB00749
DB00749	DB00065
DB00783	DB00065
DB00065	DB00783
DB00784	DB00065
DB00065	DB00784
DB00065	DB00788
DB00788	DB00065
DB00065	DB00790
DB00790	DB00065
DB00065	DB00796
DB00796	DB00065
DB00798	DB00065
DB00065	DB00798
DB00065	DB00808
DB00808	DB00065
DB00814	DB00065
DB00065	DB00814
DB00861	DB00065
DB00065	DB00861
DB00065	DB00864
DB00864	DB00065
DB00876	DB00065
DB00065	DB00876
DB00880	DB00065
DB00065	DB00880
DB00065	DB00881
DB00881	DB00065
DB00884	DB00065
DB00065	DB00884
DB00065	DB00887
DB00887	DB00065
DB00065	DB00896
DB00896	DB00065
DB00065	DB00903
DB00903	DB00065
DB00065	DB00905
DB00905	DB00065
DB00065	DB00930
DB00930	DB00065
DB00960	DB00065
DB00065	DB00960
DB00966	DB00065
DB00065	DB00966
DB00991	DB00065
DB00065	DB00991
DB00994	DB00065
DB00065	DB00994
DB00999	DB00065
DB00065	DB00999
DB00065	DB01009
DB01009	DB00065
DB01014	DB00065
DB00065	DB01014
DB01029	DB00065
DB00065	DB01029
DB00065	DB01032
DB01032	DB00065
DB01050	DB00065
DB00065	DB01050
DB00065	DB01059
DB01059	DB00065
DB00065	DB01082
DB01082	DB00065
DB00065	DB01097
DB01097	DB00065
DB00065	DB01109
DB01109	DB00065
DB00065	DB01133
DB01133	DB00065
DB01136	DB00065
DB00065	DB01136
DB01137	DB00065
DB00065	DB01137
DB00065	DB01155
DB01155	DB00065
DB01165	DB00065
DB00065	DB01165
DB01172	DB00065
DB00065	DB01172
DB01193	DB00065
DB00065	DB01193
DB01197	DB00065
DB00065	DB01197
DB00065	DB01203
DB01203	DB00065
DB01225	DB00065
DB00065	DB01225
DB01250	DB00065
DB00065	DB01250
DB01275	DB00065
DB00065	DB01275
DB00065	DB01281
DB01281	DB00065
DB01340	DB00065
DB00065	DB01340
DB01356	DB00065
DB00065	DB01356
DB00065	DB01359
DB01359	DB00065
DB01395	DB00065
DB00065	DB01395
DB01418	DB00065
DB00065	DB01418
DB00065	DB01432
DB01432	DB00065
DB01600	DB00065
DB00065	DB01600
DB00065	DB01609
DB01609	DB00065
DB00065	DB01656
DB01656	DB00065
DB00065	DB04861
DB04861	DB00065
DB00065	DB05679
DB05679	DB00065
DB00065	DB06168
DB06168	DB00065
DB00065	DB06228
DB06228	DB00065
DB06273	DB00065
DB00065	DB06273
DB00065	DB06372
DB06372	DB00065
DB00065	DB06605
DB06605	DB00065
DB06643	DB00065
DB00065	DB06643
DB06674	DB00065
DB00065	DB06674
DB00065	DB06688
DB06688	DB00065
DB06695	DB00065
DB00065	DB06695
DB06754	DB00065
DB00065	DB06754
DB00065	DB06779
DB06779	DB00065
DB00065	DB06781
DB06781	DB00065
DB00065	DB06813
DB06813	DB00065
DB00065	DB06822
DB06822	DB00065
DB06826	DB00065
DB00065	DB06826
DB08813	DB00065
DB00065	DB08813
DB00065	DB08819
DB08819	DB00065
DB00065	DB08822
DB08822	DB00065
DB00065	DB08879
DB08879	DB00065
DB00065	DB08895
DB08895	DB00065
DB08904	DB00065
DB00065	DB08904
DB08976	DB00065
DB00065	DB08976
DB09026	DB00065
DB00065	DB09026
