Drug1,Drug2,Label
DB00460,DB04571,1
DB00460,DB00855,1
DB00460,DB09536,1
DB00460,DB01600,1
DB00460,DB09000,1
DB00460,DB11630,1
DB00460,DB00553,1
DB00460,DB06261,1
DB00460,DB01878,1
DB00140,DB00460,1
DB00460,DB00821,1
DB08897,DB11315,2
DB00424,DB08897,2
DB00670,DB06148,2
DB01116,DB06148,2
DB00391,DB00517,2
DB01090,DB09076,2
DB01071,DB01168,2
DB00391,DB00462,2
DB00732,DB08897,2
DB00810,DB01409,2
DB00332,DB00986,2
DB00434,DB00805,2
DB00391,DB00670,2
DB00496,DB01409,2
DB01409,DB08897,2
DB00182,DB06153,2
DB06702,DB09076,2
DB00967,DB01409,2
DB00219,DB00391,2
DB00366,DB01037,2
DB00670,DB00986,2
DB00517,DB06148,2
DB01339,DB09076,2
DB00283,DB01247,2
DB00986,DB01090,2
DB00366,DB01168,2
DB00387,DB08897,2
DB00387,DB06148,2
DB01036,DB01409,2
DB00657,DB06148,2
DB01090,DB08897,2
DB01591,DB06148,2
DB00572,DB09076,2
DB00940,DB08897,2
DB09076,DB09300,2
DB00434,DB01247,2
DB00782,DB06148,2
DB00732,DB00986,2
DB00782,DB08897,2
DB00986,DB01116,2
DB00670,DB09076,2
DB00366,DB01247,2
DB01409,DB01591,2
DB00747,DB00986,2
DB00517,DB00986,2
DB00182,DB00366,2
DB01071,DB09244,2
DB00391,DB09076,2
DB00391,DB01591,2
DB00780,DB01071,2
DB00986,DB01199,2
DB00434,DB01037,2
DB00986,DB01591,2
DB00332,DB08897,2
DB01090,DB06148,2
DB08897,DB09076,2
DB00434,DB01171,2
DB00391,DB01199,2
DB00387,DB09076,2
DB00366,DB01367,2
DB00209,DB00391,2
DB00391,DB00732,2
DB00332,DB09076,2
DB00283,DB00614,2
DB00391,DB00908,2
DB00483,DB09076,2
DB06148,DB11315,2
DB00517,DB08897,2
DB08897,DB12278,2
DB00908,DB00986,2
DB00391,DB01116,2
DB06148,DB08897,2
DB00462,DB01409,2
DB00657,DB01409,2
DB00283,DB09244,2
DB00986,DB12278,2
DB09076,DB11315,2
DB00424,DB00986,2
DB00219,DB06148,2
DB01409,DB06702,2
DB00391,DB00782,2
DB00376,DB01409,2
DB00424,DB06148,2
DB00366,DB09244,2
DB00752,DB06153,2
DB00340,DB06148,2
DB00572,DB00986,2
DB00986,DB01062,2
DB00219,DB00986,2
DB00986,DB01409,2
DB00209,DB08897,2
DB00614,DB06153,2
DB01036,DB08897,2
DB00366,DB09241,2
DB01036,DB09076,2
DB00805,DB01071,2
DB01171,DB06153,2
DB00209,DB09076,2
DB06702,DB08897,2
DB00332,DB00391,2
DB00376,DB09076,2
DB00908,DB01409,2
DB01071,DB01171,2
DB00915,DB00986,2
DB06148,DB12278,2
DB00387,DB01409,2
DB00434,DB01168,2
DB00391,DB00967,2
DB01338,DB08897,2
DB01339,DB08897,2
DB00657,DB09076,2
DB00376,DB06148,2
DB00392,DB01409,2
DB00986,DB01338,2
DB00782,DB01409,2
DB01339,DB06148,2
DB00572,DB01409,2
DB00809,DB09076,2
DB01090,DB01409,2
DB00283,DB00805,2
DB00366,DB09245,2
DB00434,DB00752,2
DB00908,DB09076,2
DB00283,DB01171,2
DB00209,DB01409,2
DB01409,DB06148,2
DB08897,DB09300,2
DB00391,DB00424,2
DB01409,DB11315,2
DB00986,DB08897,2
DB01338,DB06148,2
DB00219,DB08897,2
DB01168,DB06153,2
DB00391,DB01338,2
DB00332,DB01409,2
DB00391,DB01339,2
DB00747,DB08897,2
DB00182,DB00434,2
DB00209,DB00986,2
DB00986,DB01173,2
DB00366,DB00752,2
DB01173,DB06148,2
DB00366,DB00614,2
DB00670,DB01409,2
DB00219,DB09076,2
DB00967,DB00986,2
DB00332,DB06148,2
DB00434,DB01367,2
DB00986,DB06148,2
DB00391,DB01036,2
DB00391,DB01337,2
DB00391,DB00940,2
DB00424,DB09076,2
DB00782,DB09076,2
DB00391,DB00392,2
DB00366,DB01171,2
DB00462,DB00986,2
DB00219,DB01409,2
DB01337,DB06148,2
DB01199,DB09076,2
DB00340,DB08897,2
DB00283,DB01168,2
DB01199,DB08897,2
DB00376,DB00986,2
DB01409,DB09076,2
DB00670,DB08897,2
DB00391,DB00657,2
DB00462,DB08897,2
DB00979,DB09076,2
DB00809,DB06148,2
DB00391,DB00810,2
DB00391,DB00496,2
DB01116,DB08897,2
DB00391,DB12278,2
DB01116,DB09076,2
DB00732,DB09076,2
DB00391,DB00809,2
DB00657,DB00986,2
DB01071,DB01626,2
DB00283,DB01367,2
DB01036,DB06148,2
DB00245,DB06148,2
DB00340,DB09076,2
DB01173,DB01409,2
DB09076,DB12278,2
DB00986,DB06702,2
DB01247,DB06153,2
DB06148,DB09300,2
DB01037,DB01071,2
DB00908,DB08897,2
DB01367,DB06153,2
DB00434,DB09245,2
DB00483,DB06148,2
DB00979,DB00986,2
DB00434,DB09241,2
DB01591,DB08897,2
DB00387,DB00986,2
DB00376,DB08897,2
DB00804,DB06148,2
DB06153,DB09244,2
DB00657,DB08897,2
DB01199,DB01409,2
DB00391,DB01409,2
DB00245,DB00391,2
DB00809,DB08897,2
DB01037,DB06153,2
DB00782,DB00986,2
DB01071,DB01247,2
DB01337,DB09076,2
DB00391,DB01090,2
DB00804,DB09076,2
DB00391,DB00483,2
DB01338,DB09076,2
DB00967,DB09076,2
DB06148,DB09076,2
DB00496,DB06148,2
DB00366,DB01626,2
DB00182,DB00283,2
DB01071,DB01367,2
DB00434,DB09244,2
DB00732,DB06148,2
DB00392,DB06148,2
DB00780,DB06153,2
DB01071,DB09245,2
DB00940,DB00986,2
DB00979,DB08897,2
DB00182,DB01071,2
DB01071,DB09241,2
DB01062,DB01409,2
DB00340,DB00391,2
DB00810,DB06148,2
DB00391,DB00804,2
DB00424,DB01409,2
DB00747,DB06148,2
DB00810,DB00986,2
DB00979,DB06148,2
DB00283,DB01626,2
DB00810,DB08897,2
DB00392,DB00986,2
DB01409,DB09300,2
DB00434,DB00780,2
DB00391,DB00747,2
DB00986,DB01337,2
DB00391,DB00572,2
DB01626,DB06153,2
DB00366,DB00805,2
DB00810,DB09076,2
DB00391,DB11315,2
DB00752,DB01071,2
DB00804,DB08897,2
DB00434,DB01626,2
DB00940,DB06148,2
DB00366,DB00780,2
DB00245,DB09076,2
DB00391,DB00986,2
DB00209,DB06148,2
DB01199,DB06148,2
DB00614,DB01071,2
DB00283,DB00780,2
DB00483,DB08897,2
DB00391,DB09300,2
DB01173,DB09076,2
DB00283,DB00752,2
DB00572,DB06148,2
DB00387,DB00391,2
DB00747,DB01409,2
DB00376,DB00391,2
DB00245,DB08897,2
DB00496,DB00986,2
DB01116,DB01409,2
DB01173,DB08897,2
DB00434,DB00614,2
DB00908,DB06148,2
DB00809,DB00986,2
DB00391,DB08897,2
DB00804,DB00986,2
DB00462,DB06148,2
DB00340,DB01409,2
DB00391,DB00979,2
DB01062,DB06148,2
DB00517,DB09076,2
DB00967,DB08897,2
DB01062,DB08897,2
DB00940,DB01409,2
DB00245,DB01409,2
DB00986,DB09076,2
DB00986,DB01339,2
DB00392,DB09076,2
DB00986,DB11315,2
DB00496,DB09076,2
DB00245,DB00986,2
DB00986,DB01036,2
DB00804,DB01409,2
DB01591,DB09076,2
DB00979,DB01409,2
DB00940,DB09076,2
DB00517,DB01409,2
DB01337,DB08897,2
DB00809,DB01409,2
DB01409,DB12278,2
DB00747,DB09076,2
DB00283,DB09245,2
DB00483,DB01409,2
DB01062,DB09076,2
DB00805,DB06153,2
DB00496,DB08897,2
DB00283,DB01037,2
DB00732,DB01409,2
DB00391,DB06702,2
DB00483,DB00986,2
DB00986,DB09300,2
DB00392,DB08897,2
DB00462,DB09076,2
DB00967,DB06148,2
DB00340,DB00986,2
DB01338,DB01409,2
DB01339,DB01409,2
DB06153,DB09245,2
DB00391,DB01062,2
DB01337,DB01409,2
DB06153,DB09241,2
DB00283,DB09241,2
DB00572,DB08897,2
DB04574,DB09275,3
DB00635,DB09275,3
