,accuracy,average_precision,f1,fold,method,precision,recall,roc_auc,run
0,0.6534761195739319,0.6986800998687154,0.6440378845814461,9.0,Naive Bayes,0.662070633768747,0.6269614019012714,0.712056315724387,0.0
1,0.6648150269155881,0.6966441854791063,0.6556856285663862,9.0,Logistic Regression,0.6740445089501693,0.6383003092429275,0.7212428260703108,0.0
2,0.717271790172947,0.7849777778505941,0.6962033105655037,9.0,Random Forest,0.7522606382978724,0.6479212003206963,0.7982694585429028,0.0
0,0.6556811421772755,0.6944476943271836,0.6576768393659805,8.0,Naive Bayes,0.6538868634599553,0.661511005353956,0.7045186340953817,0.0
1,0.6636525877453896,0.701886096734492,0.6650077023343998,8.0,Logistic Regression,0.6623391950902868,0.6676977989292088,0.7152353366049005,0.0
2,0.7224271267102915,0.7818168903853876,0.7104381283356087,8.0,Random Forest,0.7425087559994811,0.6810232004759073,0.7928789731332552,0.0
0,0.6385276614502976,0.6824909660063702,0.6422338568935427,7.0,Naive Bayes,0.635715828114878,0.6488869296892219,0.691590060399714,0.0
1,0.6375358166189111,0.6852943199168778,0.6204708054465728,7.0,Logistic Regression,0.6511261806732865,0.5925721842627287,0.6994753761944318,0.0
2,0.6820035265594004,0.7424410556220349,0.6563039723661486,7.0,Random Forest,0.7140080342101853,0.607229446770994,0.7596640076749498,0.0
0,0.6661055669111459,0.7266194007157245,0.6797370545496483,6.0,Naive Bayes,0.6530747922437673,0.7086689912227967,0.7288382379879377,0.0
1,0.6772874834675965,0.73290630331238,0.6827048114434329,6.0,Logistic Regression,0.6714335542378793,0.6943609474570157,0.7413081087771759,0.0
2,0.7219550318624504,0.7959813251581158,0.7094666750424022,6.0,Random Forest,0.742830833991055,0.678970782734159,0.8004043196999894,0.0
0,0.6554754678806272,0.6974871895372978,0.6517988369863887,5.0,Naive Bayes,0.6588296085777031,0.644916540212443,0.7079798275770757,0.0
1,0.6609762266059687,0.7041141863169722,0.6426762628282021,5.0,Logistic Regression,0.6793462947309101,0.6097622660596864,0.7144460710154639,0.0
2,0.707701062215478,0.7744330157116994,0.6841565894650544,5.0,Random Forest,0.744092732946946,0.6331562974203339,0.7894749853461493,0.0
0,0.6584510620998069,0.7029143183966353,0.6521761631216685,4.0,Naive Bayes,0.6643821172501054,0.6404106108344344,0.7157241962503512,0.0
1,0.6816749669681879,0.720724988367581,0.6812538164054549,4.0,Logistic Regression,0.6821563232446755,0.6803536944811465,0.7406094096248513,0.0
2,0.7122675068604533,0.7781500357695785,0.6897194213064445,4.0,Random Forest,0.7483648471875372,0.6395975200731782,0.7861562827339869,0.0
0,0.6339117859725235,0.6869623153494366,0.6503211547758823,3.0,Naive Bayes,0.6224219989423585,0.6808387563268258,0.6873598164678104,0.0
1,0.6530730296456978,0.6812804958157279,0.6555140723721999,3.0,Logistic Regression,0.6509339797518894,0.6601590744757773,0.7055820365987362,0.0
2,0.6945046999276934,0.7633441649686973,0.6847250205208566,3.0,Random Forest,0.7073697193956213,0.6634851771511208,0.7637208139953752,0.0
0,0.6497973144160122,0.6986224093091903,0.6394052044609666,2.0,Naive Bayes,0.6589595375722543,0.6209779579427414,0.7053096934431894,0.0
1,0.6649987332151001,0.7065476505094292,0.6510523190605001,2.0,Logistic Regression,0.6793336087016384,0.6250316696224981,0.7276027487081971,0.0
2,0.7093362047124399,0.7826526717782638,0.6834954134767914,2.0,Random Forest,0.7501892505677517,0.6276919179123385,0.7933054285472015,0.0
0,0.6680038510911425,0.7251980728023081,0.68346167576113,1.0,Naive Bayes,0.653055257772147,0.7168378262729995,0.7299854217716557,0.0
1,0.6771501925545571,0.724024051985326,0.6788336703203149,1.0,Logistic Regression,0.6753123015032818,0.6823919554985024,0.7421515799763768,0.0
2,0.7289794608472401,0.7976564481525188,0.7204105280582684,1.0,Random Forest,0.7439316239316239,0.6983311938382541,0.8069028103462577,0.0
0,0.6245877610846464,0.6756359106326325,0.5941770647653,0.0,Naive Bayes,0.646551724137931,0.5496518871381458,0.671009963168706,0.0
1,0.6344204226212288,0.6849666089873314,0.5829733872091404,0.0,Logistic Regression,0.6784498135235933,0.5110541101746672,0.6866104149808714,0.0
2,0.6744839379504092,0.7410732082672908,0.6263844104864714,0.0,Random Forest,0.7349893074518835,0.5457432514962746,0.7379108400381345,0.0
0,0.6466139954853273,0.686022138486499,0.6441236644691976,9.0,Naive Bayes,0.648695054945055,0.6396162528216705,0.6956142706459651,1.0
1,0.6439051918735892,0.6896202196672893,0.6202912504513177,9.0,Logistic Regression,0.6643464810518175,0.5817155756207675,0.7010854577602944,1.0
2,0.6952031602708804,0.7602465576923644,0.6686299772992208,9.0,Random Forest,0.7324909261997581,0.6150112866817156,0.7743058818134105,1.0
0,0.6338323692866055,0.6959177917901898,0.6184482656739348,8.0,Naive Bayes,0.6455711818406119,0.5935125326074628,0.6909919101732197,1.0
