,accuracy,average_precision,f1,fold,method,precision,recall,roc_auc,run
0,0.6446619831855349,0.7098633607567382,0.6754192177407478,9.0,Naive Bayes,0.6216137714695118,0.7394218588045607,0.7069431058813861,0.0
1,0.6712541748243694,0.7303742640717932,0.6688476664462465,9.0,Logistic Regression,0.6737799177262528,0.663987101232293,0.7321946626629435,0.0
2,0.696925025912703,0.7638404491627286,0.6928786499544849,9.0,Random Forest,0.7022545007215348,0.683749856040539,0.7654428513999212,0.0
0,0.6442257953271834,0.7181922755506005,0.6707753677387186,8.0,Naive Bayes,0.6241949553629429,0.7248685231485473,0.7107006752189685,0.0
1,0.6704241744978016,0.738084286191846,0.6688611213374624,8.0,Logistic Regression,0.6720483920100961,0.6657039399948271,0.7326265914223722,0.0
2,0.6945534097767049,0.7668990206623664,0.685765601960154,8.0,Random Forest,0.7060797698682678,0.666587636865247,0.7681610552881364,0.0
0,0.6642468053735255,0.7360505906705792,0.6900808090354899,7.0,Naive Bayes,0.6407772102574903,0.7476040301441678,0.7329216761745729,0.0
1,0.6824418414154653,0.7508669340704531,0.6866323128220673,7.0,Logistic Regression,0.67768957676812,0.6958142201834863,0.7470983037779568,0.0
2,0.708439138269987,0.7786432507072883,0.6974510449759341,7.0,Random Forest,0.7247653748481837,0.672120740498034,0.7819630103617624,0.0
0,0.6436167784928568,0.7155502102915756,0.6724832214765101,6.0,Naive Bayes,0.6220946024601296,0.7317540736683554,0.7084237601310059,0.0
1,0.6667579533525035,0.7310415617401695,0.661708831433602,6.0,Logistic Regression,0.6718889673018114,0.6518325802181751,0.7267485860193819,0.0
2,0.6899333607193391,0.7622725469109595,0.6815651623639154,6.0,Random Forest,0.7004697097434662,0.6636542060340499,0.7627978301301859,0.0
0,0.6675530716185153,0.7404037233614904,0.6984402788282671,5.0,Naive Bayes,0.6390655394284004,0.7699779149952675,0.7395064585388302,0.0
1,0.6826970748636589,0.7424248457220879,0.6887297165848697,5.0,Logistic Regression,0.6758797240421747,0.7020777933023843,0.7470075755383503,0.0
2,0.7209852616396989,0.7897382337085085,0.7166170748455024,5.0,Random Forest,0.7280146956238664,0.7055708297651778,0.7987088187817759,0.0
0,0.6450638154002197,0.7085512203485883,0.6780518659076533,4.0,Naive Bayes,0.6203921293535828,0.7475276815146649,0.7079610044071423,0.0
1,0.6693326853182318,0.7328493484683856,0.6703878842771536,4.0,Logistic Regression,0.6682554013479749,0.6725340207928324,0.7323434921291466,0.0
2,0.696834587101682,0.7598878881912163,0.6901630493467229,4.0,Random Forest,0.7056927085633529,0.6753021722593188,0.7685885302727297,0.0
0,0.6505563996222231,0.7157940560514946,0.6752899877899878,3.0,Naive Bayes,0.6306524605352243,0.726727713218084,0.7122324240229683,0.0
1,0.6811481131688087,0.7433271746945117,0.686869908863618,3.0,Logistic Regression,0.6747613199698926,0.6994210158912659,0.7448906063244363,0.0
2,0.7032706442738061,0.7754988070951911,0.6932147443721542,3.0,Random Forest,0.7175312548063191,0.6704923418059376,0.7798259604480263,0.0
0,0.6455646990215771,0.7024544141300835,0.6591333970337752,2.0,Naive Bayes,0.6348304491347404,0.6853711743234195,0.6997380859858582,0.0
1,0.6723903324045876,0.7304132033763387,0.6686038890102687,2.0,Logistic Regression,0.6764218297561946,0.6609645996673794,0.7313047040776852,0.0
2,0.6921855763623405,0.7535465472041109,0.675042468049206,2.0,Random Forest,0.7148548799922732,0.6394306572496167,0.761570348395846,0.0
0,0.6420724571919852,0.6992376333825812,0.6537204117232535,1.0,Naive Bayes,0.6331170284179906,0.6757098846512072,0.6951805533309467,0.0
1,0.6593389535022568,0.7121387060020059,0.6484541544982934,1.0,Logistic Regression,0.669857433808554,0.6283762806581807,0.7175706838764363,0.0
2,0.6858715640149977,0.7494401183321794,0.6621460219610864,1.0,Random Forest,0.7162424983329628,0.6156473144986029,0.7572968633772102,0.0
0,0.647233613297954,0.722541268274985,0.6681930220805875,0.0,Naive Bayes,0.6307192087535533,0.7104010876954453,0.7125378449792245,0.0
1,0.6745466108199382,0.7496063849537234,0.6776288637400352,0.0,Logistic Regression,0.6712714909732533,0.6841078046534067,0.7412349764489616,0.0
2,0.6910045832328239,0.7691651284539301,0.6739178228018005,0.0,Random Forest,0.7133653422174318,0.638604416569812,0.7689496119125327,0.0
0,0.6507272194836253,0.7168048150075375,0.666371402930104,9.0,Naive Bayes,0.6378037080832646,0.697618234174435,0.7098578027394202,1.0
