,accuracy,average_precision,f1,fold,method,precision,recall,roc_auc,run
0,0.6524818611079121,0.7481898697350873,0.6880459841412606,9.0,Naive Bayes,0.6241700116292156,0.7664862374755269,0.7336755019322434,0.0
1,0.7013474605551077,0.7733263632909069,0.7041279693311732,9.0,Logistic Regression,0.6976328819153987,0.7107451341702177,0.7679843766830226,0.0
2,0.7080502130600023,0.7837667970822828,0.7055680735905596,9.0,Random Forest,0.7116182086544994,0.6996199470229183,0.7795414057385548,0.0
0,0.653299853435641,0.742548356721096,0.6792042678366654,8.0,Naive Bayes,0.6319842639499712,0.7340503491680317,0.7262577408559759,0.0
1,0.6851452711440641,0.7590280417753484,0.6732575825355641,8.0,Logistic Regression,0.699674569967457,0.6487628243814122,0.7481756376457918,0.0
2,0.701482886455729,0.777742582949785,0.6887780324479797,8.0,Random Forest,0.7193954187007134,0.6606604017587723,0.7764330617055477,0.0
0,0.6708817988204456,0.7643967322013376,0.7018412875098559,7.0,Naive Bayes,0.6414969562342089,0.7747173984272608,0.7544502921721264,0.0
1,0.7011385976408913,0.7723403374137654,0.7012548361343677,7.0,Logistic Regression,0.7009821976672805,0.7015276867627785,0.7672205435218339,0.0
2,0.7218524737876802,0.7939693471743352,0.7117068356203637,7.0,Random Forest,0.7386496310166318,0.6866603866317169,0.7963676446149685,0.0
0,0.6486831895568032,0.7379008802299042,0.6785885791836308,6.0,Naive Bayes,0.6253559609020242,0.7417271440960336,0.7240373779083025,0.0
1,0.6889063855036743,0.7597637951081182,0.6890305802374787,6.0,Logistic Regression,0.6887556153512873,0.6893057647542106,0.7522636996022959,0.0
2,0.6992902460176184,0.7800435598219623,0.6870747491539511,6.0,Random Forest,0.7161670421070871,0.6602537769866265,0.7750581184399894,0.0
0,0.6790012169288322,0.7736987022267421,0.7103818470172014,5.0,Naive Bayes,0.6471198370068532,0.787352954432776,0.7629184585282099,0.0
1,0.7178866002614144,0.7919464299541449,0.726123149961167,5.0,Logistic Regression,0.7055247326913675,0.7479605174201108,0.7926125436422987,0.0
2,0.7393856762969306,0.8162506161307421,0.7365807546439188,5.0,Random Forest,0.7445946257109305,0.7287375490151891,0.8192503034897187,0.0
0,0.653780322880568,0.7419374111774744,0.6881607871872709,4.0,Naive Bayes,0.6259976800152357,0.7640309356774575,0.7313335256561462,0.0
1,0.6924076578480264,0.7627267740092544,0.6975052731107717,4.0,Logistic Regression,0.6861342218769804,0.709259572310033,0.7579429384556307,0.0
2,0.711478319668667,0.7877108727558879,0.7062329223950602,4.0,Random Forest,0.7193101634746023,0.6936226861634689,0.7898178459776841,0.0
0,0.6584507042253521,0.7490157098814861,0.6866517861347348,3.0,Naive Bayes,0.6342804447305691,0.7484498829712972,0.7347239550154644,0.0
1,0.6944421631831807,0.7628679011691771,0.7009834945701857,3.0,Logistic Regression,0.6862914806145131,0.7163183180716954,0.7619355499390459,0.0
2,0.7118835461750093,0.7889057816147202,0.7015779176590677,3.0,Random Forest,0.7276035463808389,0.6773498131647026,0.7900698930770758,0.0
0,0.6551005421283397,0.7376442556798968,0.671446942029731,2.0,Naive Bayes,0.6410639217381056,0.7048532365709843,0.7212196006483216,0.0
1,0.6938486792371326,0.7695701759534617,0.6927503874624731,2.0,Logistic Regression,0.6952445179255134,0.6902740879932612,0.7614746314949464,0.0
2,0.7057171861163308,0.7778822077429277,0.691197135215992,2.0,Random Forest,0.7270711646203362,0.6586967321108447,0.7769612536491408,0.0
0,0.6497743175793471,0.7310585537318792,0.6658006882249721,1.0,Naive Bayes,0.6366667393057159,0.6977288467508896,0.7145303535439539,0.0
1,0.68170420079765,0.7435473045423718,0.673076923076923,1.0,Logistic Regression,0.6918286564304263,0.6553148807107205,0.7413101126365077,0.0
2,0.6943256991378692,0.7666911105577415,0.6685999093792478,1.0,Random Forest,0.7300407101662332,0.6166981109545531,0.7703053105433805,0.0
0,0.6536589109887941,0.7503590132835125,0.6767237409041134,0.0,Naive Bayes,0.6344707146695325,0.7250060305695051,0.731305841064553,0.0
1,0.6944145961711365,0.7693375949854203,0.6902438482228198,0.0,Logistic Regression,0.6997949203344376,0.6809499791671235,0.7605361511919414,0.0
2,0.701114010657661,0.7838183185855471,0.6838033151991092,0.0,Random Forest,0.7258421985815603,0.6463674042235916,0.7841882681429657,0.0
0,0.6585362877641662,0.744591222690269,0.6753593262415462,9.0,Naive Bayes,0.6436484245439469,0.7103567768070672,0.7281517196768975,1.0
1,0.690614476060325,0.7647757030743865,0.6848777092861404,9.0,Logistic Regression,0.6978169477789596,0.6724095856313144,0.7573210169966029,1.0
2,0.7053174874322807,0.7815817925882483,0.6866639853652841,9.0,Random Forest,0.733067397988864,0.6457855434623456,0.7782750880867138,1.0
0,0.6427885903044371,0.7210782989549662,0.6735341213907615,8.0,Naive Bayes,0.6201566403095242,0.7369654495134363,0.7105585473870375,1.0
1,0.681111061512365,0.7494496329612833,0.6751327322957288,8.0,Logistic Regression,0.6880315143088865,0.6627086867243996,0.7443435140181958,1.0
2,0.6904963842514061,0.76034889988644,0.6765714285714286,8.0,Random Forest,0.7084452693791823,0.6474421926613695,0.7650359974678788,1.0
0,0.6617367329927974,0.7537509672031627,0.6898977232650183,7.0,Naive Bayes,0.6368766617830594,0.7525486759708478,0.7405973166798974,1.0
1,0.6940520207741135,0.7692310971562445,0.7005104816101092,7.0,Logistic Regression,0.6860286434322945,0.7156169185064866,0.7596558033351422,1.0
2,0.7126140759580243,0.7945580973861343,0.7055758093298737,7.0,Random Forest,0.7232896390734422,0.6887088845668854,0.7907478999366641,1.0
0,0.6493774123906928,0.7321035888016345,0.6685836193303033,6.0,Naive Bayes,0.6338622684280466,0.7073293063218266,0.7174935651308831,1.0
1,0.6802778201801252,0.7443911321116762,0.6675736036005396,6.0,Logistic Regression,0.6951973932754061,0.6420611902217764,0.7422545764860187,1.0
2,0.6964803628671741,0.774981394037144,0.6790346942775772,6.0,Random Forest,0.7204443139557644,0.6421266109863271,0.7728686878856452,1.0
0,0.6530961631860126,0.7481255857405,0.6847477076873848,5.0,Naive Bayes,0.6274949948431717,0.7534968431277319,0.7342530860499198,1.0
1,0.6978508984944147,0.7673433957021195,0.6940205830638517,5.0,Logistic Regression,0.7029315798650029,0.6853326857697911,0.7626779516171909,1.0
2,0.7106119475473531,0.7854334713817033,0.703851888667992,5.0,Random Forest,0.7206870229007634,0.6877853326857698,0.7865651759613972,1.0
0,0.6579810847326771,0.7439964795803994,0.6869872423945043,4.0,Naive Bayes,0.6332796584103779,0.7506487379098844,0.7321492768778723,1.0
1,0.6966909005125566,0.7704908805014589,0.6939208345055943,4.0,Logistic Regression,0.700316697608387,0.6876407385961526,0.7616867677731635,1.0
2,0.7088936069827789,0.7781501162910643,0.695704806312769,4.0,Random Forest,0.728720031934628,0.665551480838105,0.7809457066204971,1.0
0,0.6523702984507578,0.7325454802828941,0.6783391598148546,3.0,Naive Bayes,0.6311877589590754,0.7331039723078222,0.7204322583759974,1.0
1,0.6931487188146397,0.7634606727069884,0.6968976732549412,3.0,Logistic Regression,0.688486096807415,0.7055173287179703,0.7599011728417414,1.0
2,0.7025834775634261,0.7792033879052696,0.6907630522088354,3.0,Random Forest,0.7193527744766433,0.6643589851829963,0.7815784702298116,1.0
0,0.6590343139323851,0.7549081031005518,0.6917779473483403,2.0,Naive Bayes,0.6311658022069829,0.7652682226818047,0.7414044282174608,1.0
1,0.6993626809606213,0.7699132920291482,0.7096327096327096,2.0,Logistic Regression,0.6861918089006267,0.7347317773181953,0.76967881832979,1.0
2,0.7226607014730089,0.79489325969033,0.7212429738042212,2.0,Random Forest,0.7249488316561488,0.7175748111256489,0.7980833056218257,1.0
0,0.6712306456166258,0.7657607296567187,0.7011695040710585,1.0,Naive Bayes,0.6426478037484623,0.7714174032009381,0.7543723891878236,1.0
1,0.706519142652392,0.7783524176386063,0.7085036397950929,1.0,Logistic Regression,0.7037449652926557,0.7133271080805229,0.7738038267702889,1.0
2,0.7246520011292319,0.7993659629353159,0.7142100458679408,1.0,Random Forest,0.7423624777434167,0.688114834198354,0.8002019118603702,1.0
0,0.6628681698151534,0.7638147894498375,0.6941941665284763,0.0,Naive Bayes,0.6351743205880369,0.765305707901686,0.748152672835442,1.0
1,0.7048446069469836,0.7802305831059411,0.7119222038283488,0.0,Logistic Regression,0.6952506340877849,0.7294129595774934,0.7761988587274704,1.0
2,0.7202620353443022,0.8022376245353625,0.7130429346863507,0.0,Random Forest,0.7319316407503261,0.695104611009547,0.801194713848188,1.0
0,0.643205180262005,0.7291462217489274,0.6688419236147614,9.0,Naive Bayes,0.6240053295828861,0.7206206056461436,0.712892708502661,2.0
1,0.686277862073387,0.7561496473683469,0.6892858654700927,9.0,Logistic Regression,0.6827396800771505,0.6959587972559999,0.7481736068589321,2.0
2,0.6948368345692731,0.7635890657428943,0.6831389865861912,9.0,Random Forest,0.7103696524989617,0.6579189194965059,0.7631042068377045,2.0
0,0.6595837669094693,0.7533157239518986,0.6926704620183003,8.0,Naive Bayes,0.6313103637235427,0.7672424557752341,0.7418271625658757,2.0
1,0.6918938605619147,0.7654626586982866,0.6978519312209807,8.0,Logistic Regression,0.68461307438182,0.7116129032258065,0.7612731448445678,2.0
2,0.7127471383975026,0.7880055655184615,0.7046424788418947,8.0,Random Forest,0.7251007420782595,0.6853069719042664,0.7900580924526892,2.0
0,0.6547467924015052,0.744850917846299,0.6774121808381077,7.0,Naive Bayes,0.6356806391986166,0.7250079339892098,0.7288110228259079,2.0
1,0.6955728340209457,0.7684826703511272,0.6877187271099536,7.0,Logistic Regression,0.7059314954051796,0.6704220882259601,0.7623749456202193,2.0
2,0.7057850115609557,0.7852002971452481,0.6876293622141998,7.0,Random Forest,0.7328528189606526,0.6476628734642064,0.7870896090010037,2.0
0,0.6464014809463609,0.7294127616860359,0.66608395335451,6.0,Naive Bayes,0.6309624782907226,0.7053458551562218,0.7130235191653542,2.0
1,0.6856262416471013,0.7494714064881286,0.6733671877748718,6.0,Logistic Regression,0.7006907324693076,0.6480946360845223,0.7480512361282167,2.0
2,0.69400171573054,0.7704847643241272,0.6742920306135936,6.0,Random Forest,0.7207140105303711,0.6334883510926494,0.7718315230867303,2.0
0,0.6631716346050971,0.7631991852655129,0.6998169266562416,5.0,Naive Bayes,0.6311507834133085,0.785248111612779,0.7510200206024589,2.0
1,0.7075407099907988,0.7847568877861126,0.7156720997722048,5.0,Logistic Regression,0.6963121888029794,0.7361393447884792,0.7775725108696602,2.0
2,0.7258361329253419,0.7994352313633005,0.7262608026834453,5.0,Random Forest,0.7251375911941635,0.7273874991975692,0.7976053204375981,2.0
0,0.6484659143896297,0.7352904091137524,0.67228863290589,4.0,Naive Bayes,0.6296205829669435,0.7211601230998788,0.7181910073533739,2.0
1,0.6839853585750256,0.7531031694657222,0.673232000578585,4.0,Logistic Regression,0.6969477651051935,0.6510771239391961,0.7459787400984369,2.0
2,0.6981138673878579,0.7750185705402476,0.6815694664748485,4.0,Random Forest,0.7210875504097828,0.646157791662781,0.7753058866453761,2.0
0,0.6675714613826655,0.7574893681672912,0.6975091672524842,3.0,Naive Bayes,0.639882871734091,0.766542083394233,0.7474059774955721,2.0
1,0.6959054559121375,0.7638429740442177,0.7019177633598723,3.0,Logistic Regression,0.6883090817862518,0.7160754181195582,0.7633726048367755,2.0
2,0.7243542897709477,0.7950270009553881,0.7189286436654353,3.0,Random Forest,0.7333637390322301,0.7050508425030798,0.7981616793041431,2.0
0,0.6628135600544477,0.7455668815522724,0.694568940209414,2.0,Naive Bayes,0.6347863416030193,0.766782619968455,0.7372072076808905,2.0
1,0.7016183047771319,0.7752736517855853,0.712297660465407,2.0,Logistic Regression,0.6876847885114342,0.7387377654862477,0.7731466667491147,2.0
2,0.7145388155478254,0.7903422994930399,0.7091789566365837,2.0,Random Forest,0.7227493999147543,0.6961087224250805,0.7952265387237845,2.0
0,0.6546021505376344,0.7422555361816077,0.6783683114386414,1.0,Naive Bayes,0.6346960953308851,0.728494623655914,0.7262219049601111,2.0
1,0.6861827956989247,0.7522211368274214,0.6816818454490919,1.0,Logistic Regression,0.6916011950868651,0.6720430107526881,0.7480378799861256,2.0
2,0.7044193548387097,0.7822143525222569,0.6919206069911574,1.0,Random Forest,0.7224705689610785,0.6638494623655914,0.7768053254711528,2.0
0,0.6770114399168006,0.7672278591803132,0.7015463242039051,0.0,Naive Bayes,0.6520177005521273,0.759218114777347,0.7546720476608777,2.0
1,0.7109057388673536,0.7830122470475352,0.7104129178899518,0.0,Logistic Regression,0.7116260316857983,0.709203933062305,0.776543515947455,2.0
2,0.7237283728845608,0.8013436639367457,0.7117402616619604,0.0,Random Forest,0.7440253680167057,0.6821404935236834,0.8031309930439026,2.0
0,0.6407771210013908,0.7289955079620987,0.6693735498839908,9.0,Naive Bayes,0.6200163035423151,0.727268776077886,0.7119208146545841,3.0
1,0.6823496175243393,0.7508630207941764,0.6785423676629061,9.0,Logistic Regression,0.6867738058140053,0.6705059109874826,0.7452688943283137,3.0
2,0.6929872218358831,0.76679211638799,0.6821316473354407,9.0,Random Forest,0.7071350267067852,0.6588360570236439,0.7667500898297483,3.0
0,0.6593344613649182,0.7459753204859763,0.6764100805760329,8.0,Naive Bayes,0.6441238291533171,0.7121037789058093,0.7308333735747308,3.0
1,0.6916525662718556,0.7608176255048065,0.6885574633412708,8.0,Logistic Regression,0.6955390847988214,0.6817146080090243,0.7553507579538792,3.0
2,0.7080090242526791,0.7862361211214772,0.6889233394623308,8.0,Random Forest,0.7371033276757702,0.6466553863508179,0.78244010422681,3.0
0,0.6596288005563645,0.7567752855901761,0.6958311888831704,7.0,Naive Bayes,0.6289365586490188,0.7786495120944081,0.7434376174237258,3.0
1,0.6974333340577663,0.7713225450982802,0.7036863613144901,7.0,Logistic Regression,0.6894380148055469,0.7185360658944211,0.7650280142746659,3.0
2,0.7194488514115576,0.7965203485610374,0.7184514721919303,7.0,Random Forest,0.7210147306673671,0.7159063742855281,0.7942968538405664,3.0
0,0.6660985228260143,0.760187682794554,0.6925373134328359,6.0,Naive Bayes,0.6417246492528801,0.7520887641200454,0.7430425451809156,3.0
1,0.6976472160951808,0.7720449218659987,0.696222508254519,6.0,Logistic Regression,0.6995186901174036,0.6929572443909721,0.7638256509109913,3.0
2,0.7220439810173117,0.7980838379139198,0.7143331463311313,6.0,Random Forest,0.7347150259067358,0.695051578548671,0.796409364225932,3.0
0,0.6514031669242313,0.7333777196144806,0.6738403830638823,5.0,Naive Bayes,0.6330918254843282,0.7201953011265649,0.7200625004790175,3.0
1,0.6892763555734731,0.756300052649116,0.6876428273913385,5.0,Logistic Regression,0.6912769906296682,0.6840466751774956,0.752115557567782,3.0
2,0.6991869918699187,0.7739628872804283,0.6796956977964324,5.0,Random Forest,0.7267882187938289,0.6383345651638335,0.7737937683837953,3.0
0,0.6575955056179775,0.7468464449148515,0.6862296904923704,4.0,Naive Bayes,0.6332712553684771,0.7488539325842697,0.735846660270168,3.0
1,0.6896966292134832,0.7571105605899692,0.6796060187709548,4.0,Logistic Regression,0.7024486174065281,0.6582022471910113,0.7532144779699532,3.0
2,0.7022584269662921,0.7744013799011461,0.6869321739541369,4.0,Random Forest,0.7242109458685201,0.6533033707865169,0.7792176407019316,3.0
0,0.661435492388584,0.7402303928396724,0.6836442432499115,3.0,Naive Bayes,0.6415599581219296,0.7316373154547333,0.7282160816955099,3.0
1,0.6912612219594517,0.7604721864825338,0.683369635603697,3.0,Logistic Regression,0.7012952491421391,0.6663375657245195,0.7571525521155641,3.0
2,0.7095492847794641,0.7814489482132644,0.6956866896004233,3.0,Random Forest,0.730554502968296,0.6639955915780773,0.7808754033748345,3.0
0,0.6580647204103603,0.7553876322878355,0.6907709488674869,2.0,Naive Bayes,0.6304665992960937,0.7638317184894349,0.7419094084236155,3.0
1,0.6980769636712896,0.77236604376205,0.7032818853207202,2.0,Logistic Regression,0.6913633119200571,0.7156186013129842,0.7663634336403543,3.0
2,0.7177506174403141,0.7962958878907819,0.7125814148449088,2.0,Random Forest,0.7258753202391118,0.6997656893166994,0.795631026527302,3.0
0,0.6638935448264585,0.7649457880184821,0.7005027139266329,1.0,Naive Bayes,0.6316973818205709,0.7861289399452189,0.7540794504372202,3.0
1,0.7163852663423409,0.7951231874543587,0.7311880037197767,1.0,Logistic Regression,0.6949180629718283,0.7714525162503577,0.7927631350409576,3.0
2,0.7222108662769307,0.8032256069940538,0.7208585806716649,1.0,Random Forest,0.7243849075297226,0.717366420015535,0.8048974853735504,3.0
0,0.6581955833224868,0.7376681287777065,0.6781333306096602,0.0,Naive Bayes,0.6407573973633924,0.7201397023732049,0.7257961177488006,3.0
1,0.6904529480671613,0.7556024528399687,0.684982614934599,0.0,Logistic Regression,0.6973054363215497,0.67308776953447,0.7539078983257277,3.0
2,0.7046509609961387,0.7705933535189293,0.6872487538189419,0.0,Random Forest,0.7302772895918765,0.6490086337802073,0.7792017615614574,3.0
0,0.656791216987949,0.7544737382003259,0.6813469820589955,9.0,Naive Bayes,0.6358532102680104,0.7338523577538986,0.7372751080240035,4.0
1,0.704482412997366,0.7706802545815773,0.7021776410063661,9.0,Logistic Regression,0.7076970428770982,0.6967436656488194,0.7669457948412891,4.0
2,0.7150649169017039,0.7911098911686114,0.7043772672309553,9.0,Random Forest,0.7318274328500716,0.6789119134752104,0.7881372667146879,4.0
0,0.6451751899308311,0.7220168286527225,0.6655122284932444,8.0,Naive Bayes,0.6294356713913096,0.705975734210228,0.708930377040953,4.0
1,0.6813584306610727,0.7517002074118312,0.6718974394899997,8.0,Logistic Regression,0.6924576434347324,0.6525229617870507,0.743884631159458,4.0
2,0.6842839324186416,0.7624773772600905,0.6587658557509651,8.0,Random Forest,0.7166933333333333,0.6095022111350493,0.7676727811481157,4.0
0,0.6530527683210894,0.7377171482060753,0.6725225939432377,7.0,Naive Bayes,0.6367876373681366,0.7125067192259452,0.7217662664662572,4.0
1,0.6869064683748433,0.755732586845242,0.6792188719078435,7.0,Logistic Regression,0.6963159875788087,0.6629412291703995,0.7508720782142461,4.0
2,0.7021927074001075,0.7789648119287808,0.6851744426949532,7.0,Random Forest,0.7267019914115668,0.6481365346712059,0.7783153024204689,4.0
0,0.6670549008860875,0.7530995493277101,0.6882630914961405,6.0,Naive Bayes,0.6470469987536687,0.7350872385128345,0.7368375148511339,4.0
1,0.7011966748880972,0.7639683013056022,0.6986433885344451,6.0,Logistic Regression,0.7046647772150723,0.6927240339819128,0.7641192584241793,4.0
2,0.7192609847446789,0.7830581412949508,0.7084479650887012,6.0,Random Forest,0.7368278243709916,0.6821731981364757,0.7815755943463916,4.0
0,0.6481773154000787,0.7500611998897913,0.6843489982801096,5.0,Naive Bayes,0.6205489614243324,0.7627712266594823,0.732806812030457,4.0
1,0.6940501108739353,0.7711113506160635,0.7007176451508271,5.0,Logistic Regression,0.6857726722615717,0.716328518434087,0.7634653759950436,4.0
2,0.7053654695044868,0.7865418344641643,0.7027659885848091,5.0,Random Forest,0.7090214938091923,0.6966198992808738,0.7822375319366927,4.0
0,0.6649871747893001,0.7594272169977044,0.7014504322269894,4.0,Naive Bayes,0.6325976342010111,0.7871218598591263,0.7490336027195925,4.0
1,0.6996864948495582,0.7779490611796583,0.7141306875436013,4.0,Logistic Regression,0.6813593166438635,0.7502137535116649,0.7712759363738764,4.0
2,0.7268331908309922,0.8004442014946432,0.7254217865949111,4.0,Random Forest,0.7291893782010408,0.7216929278123855,0.804214348116436,4.0
0,0.6407341700067898,0.7213940993522925,0.666021908213544,3.0,Naive Bayes,0.6222251811835423,0.7164509275686094,0.70953290021887,4.0
1,0.6817136474144162,0.745150589097819,0.6767002602950011,3.0,Logistic Regression,0.6875296670509257,0.6662067152900979,0.7426862787880062,4.0
2,0.6873863810587643,0.7553869546627031,0.6680311664146994,3.0,Random Forest,0.7121215877817172,0.6290820684670477,0.7606249631718136,4.0
0,0.6589759365600218,0.7459420849786182,0.6868519894121216,2.0,Naive Bayes,0.6349498036636555,0.7479947133351563,0.7338268668816151,4.0
1,0.6882121046395041,0.7626107653198063,0.6815542341126227,2.0,Logistic Regression,0.6964255987062713,0.6673047124236624,0.753622178438776,4.0
2,0.7128794093519278,0.7859001134738716,0.7011456085007471,2.0,Random Forest,0.7310203274148078,0.6736168079482271,0.7859085248120722,4.0
0,0.6656557393403699,0.7597227638451585,0.6976853271753054,1.0,Naive Bayes,0.6366914173759858,0.7716035834713382,0.7475510710734037,4.0
1,0.7039845168498973,0.7796515449410529,0.7085322488752678,1.0,Logistic Regression,0.6978116595398874,0.7195873820307668,0.773275896986354,4.0
2,0.7172429617510325,0.802960961322775,0.7121690650039099,1.0,Random Forest,0.7251819986763732,0.699614916498733,0.8021753252100878,4.0
0,0.6693011552098822,0.7565225174852873,0.6975342867006308,0.0,Naive Bayes,0.6426671293083507,0.7626444012352739,0.7480317130618269,4.0
1,0.7038659499027794,0.7750295805147034,0.7089296354172522,0.0,Logistic Regression,0.6970112299938103,0.7212627244652865,0.7724968868086414,4.0
2,0.7241335925883564,0.7953199105035409,0.7140435117671469,0.0,Random Forest,0.7411518582328329,0.6888482214342903,0.7988888625647009,4.0
0,0.6731418918918919,0.7657081236695598,0.7050482360255922,9.0,Naive Bayes,0.642345503051566,0.7813166785206259,0.7543039123661498,5.0
1,0.7065033783783784,0.7747024623916737,0.709901359871702,9.0,Logistic Regression,0.70177648438518,0.7182165718349929,0.7728247409149014,5.0
2,0.7268181009957326,0.8045322245082769,0.7213367492688234,9.0,Random Forest,0.7361066123733284,0.7071479374110953,0.8039433211055919,5.0
0,0.6588917856227028,0.759462732037824,0.6976427022265999,8.0,Naive Bayes,0.6264734398122161,0.7870544490982135,0.7462079026953405,5.0
1,0.7044512351483033,0.7826590753947977,0.7135385921852507,8.0,Logistic Regression,0.6922535918818447,0.7361740319685444,0.7759198338862817,5.0
2,0.719313616548423,0.7957248187694959,0.7182358367119291,8.0,Random Forest,0.7210043498858694,0.7154885032908795,0.7929807515640723,5.0
0,0.6340741621107677,0.714522799699489,0.6547737848292875,7.0,Naive Bayes,0.6197177119813223,0.6940337532683623,0.6994286913798744,5.0
1,0.6781079153791301,0.7439286820000882,0.6655718272293977,7.0,Logistic Regression,0.6925429129406928,0.6406227715711909,0.7380787524657677,5.0
2,0.6787615878298074,0.7566338380370804,0.6495611248687264,7.0,Random Forest,0.7145098262928207,0.5954361777989066,0.7558323484764461,5.0
0,0.6454623133657132,0.7225236977798956,0.6575518005299509,6.0,Naive Bayes,0.635869108628077,0.6807654254362295,0.7059346922359567,5.0
1,0.676605504587156,0.7460430540689931,0.6597184431562759,6.0,Logistic Regression,0.6960657047281442,0.6269787731606404,0.737630287779321,5.0
2,0.6882870120525274,0.7643091978803311,0.6608604176095705,6.0,Random Forest,0.7246170766383219,0.6074159021406728,0.7646007469331508,5.0
0,0.6745183927054932,0.7643489716307095,0.6983554948013752,5.0,Naive Bayes,0.6507005287737851,0.7535422160640057,0.7541166656223844,5.0
1,0.7035377463907388,0.7760899153640172,0.7061416625131528,5.0,Logistic Regression,0.699993412240058,0.7123988736423368,0.7691051801623245,5.0
2,0.730512224556385,0.802422237252149,0.7230636734225182,5.0,Random Forest,0.7436169961501217,0.7036159656729093,0.8025163629188418,5.0
0,0.6574670661140066,0.7532587413847842,0.688963833870577,4.0,Naive Bayes,0.6309466930584943,0.758731070710387,0.7381852090785532,5.0
1,0.6961259079903148,0.7689093648071157,0.7013652221258747,4.0,Logistic Regression,0.6894774403298708,0.713670127631633,0.76491949973973,5.0
2,0.7161222144703903,0.7876282126677997,0.7110075932444146,4.0,Random Forest,0.7240528409453509,0.6984240981655517,0.79159045089546,5.0
0,0.6521227503461006,0.7456787415517503,0.6840395657823045,3.0,Naive Bayes,0.6265548218673219,0.7531379787724966,0.7306970394743147,5.0
1,0.6913936317489617,0.7629792813463984,0.6906870793922435,3.0,Logistic Regression,0.6922720318946735,0.6891093677895709,0.7567381889776356,5.0
2,0.705549146285187,0.781763062498937,0.6961149674362118,3.0,Random Forest,0.7191566828212256,0.6745039224734656,0.7805533310625528,5.0
0,0.6580776032456049,0.7516356224741789,0.6875600041824698,2.0,Naive Bayes,0.6329809577149258,0.7524394049724331,0.7364718396817982,5.0
1,0.7019972953292416,0.7701888748281946,0.7066149135114652,2.0,Logistic Regression,0.6958328290774134,0.7177363986268595,0.7694008199501072,5.0
2,0.7131488609175075,0.787088808899973,0.7044765242366761,2.0,Random Forest,0.7264388648218548,0.683803183189431,0.7899126470059675,5.0
0,0.6671568000681924,0.756682141290439,0.6944580293041726,1.0,Naive Bayes,0.6418137113103847,0.7565102501811363,0.7441266789684066,5.0
1,0.7009227294037421,0.7742531239620725,0.6994271028537774,1.0,Logistic Regression,0.7029423793021804,0.6959468098708605,0.7689644998693935,5.0
