,accuracy,average_precision,f1,fold,method,precision,recall,roc_auc,run
0,0.676125703564728,0.746525992774443,0.6884728175050756,9.0,Naive Bayes,0.6631899174272056,0.7157598499061913,0.7378996986859752,0.0
1,0.6700281425891182,0.7266327692685035,0.6704146170063247,9.0,Logistic Regression,0.6696303228825456,0.6712007504690432,0.7326539834347687,0.0
2,0.6850375234521576,0.7494984905312774,0.6485213294948966,9.0,Random Forest,0.7335701598579041,0.5811444652908068,0.7465923971009085,0.0
0,0.6784123126771973,0.7554429294669824,0.6661059714045416,8.0,Naive Bayes,0.6926104066462615,0.6415552855407047,0.7296037491053502,0.0
1,0.6804374240583232,0.7493953059705155,0.666243654822335,8.0,Logistic Regression,0.6972111553784861,0.637910085054678,0.7425336218522396,0.0
2,0.6686917780477927,0.7442419689907787,0.6025267249757045,8.0,Random Forest,0.7528840315725561,0.5022276225192386,0.7297300622494141,0.0
0,0.7051282051282052,0.7844803332048765,0.715085694892245,7.0,Naive Bayes,0.6917268548916612,0.7400772743238496,0.7744736878792915,0.0
1,0.6984545135230067,0.7716655077000415,0.6913535861944993,7.0,Logistic Regression,0.7080265095729014,0.6754478398314014,0.7727627316524064,0.0
2,0.7060063224446786,0.7815550077014499,0.6730468750000002,7.0,Random Forest,0.7580290365156181,0.605198454513523,0.7777016557708563,0.0
0,0.688631090487239,0.7600701128267315,0.6843838193791156,6.0,Naive Bayes,0.6938483547925608,0.6751740139211136,0.7492125903714988,0.0
1,0.7092807424593968,0.7700945225297825,0.6982903924873585,6.0,Logistic Regression,0.7257257257257257,0.6728538283062645,0.7787180301570298,0.0
2,0.6865429234338747,0.7556535785637258,0.6367303038451196,6.0,Random Forest,0.7570332480818415,0.5494199535962877,0.7605383261287353,0.0
0,0.6989648033126294,0.7845405277447012,0.7123070834982193,5.0,Naive Bayes,0.6820765441455097,0.7453416149068323,0.7704894787152415,0.0
1,0.7097308488612837,0.7712651407637728,0.7171105730427764,5.0,Logistic Regression,0.6993309720582448,0.7358178053830228,0.7736983741196543,0.0
2,0.7049689440993789,0.7751516534650925,0.6765039727582293,5.0,Random Forest,0.7487437185929648,0.6169772256728778,0.7667872895850211,0.0
0,0.6578197363733523,0.7217063352318316,0.6611395307814429,4.0,Naive Bayes,0.6547868623340322,0.6676166726042038,0.7211423322197331,0.0
1,0.6841824011400072,0.7319438490769645,0.6733001658374793,4.0,Logistic Regression,0.6973282442748091,0.6508728179551122,0.7417630791970149,0.0
2,0.682401140007125,0.748403402757862,0.6460194560254119,4.0,Random Forest,0.7295964125560538,0.579622372639829,0.7565559864905906,0.0
