,accuracy,average_precision,f1,fold,method,precision,recall,roc_auc,run
0,0.6414386584289496,0.6982274954308497,0.6777711679555821,9.0,Naive Bayes,0.6154123154483255,0.7541924095322153,0.7016966336861966,0.0
1,0.6588702559576346,0.7135852213900655,0.6454128440366973,9.0,Logistic Regression,0.671919770773639,0.6209179170344219,0.7164233315078652,0.0
2,0.6661518093556928,0.7171773529361325,0.6485481997677119,9.0,Random Forest,0.6846493379107406,0.6160635481023831,0.7156392630925403,0.0
0,0.6524741081703107,0.7313333550287797,0.6759656652360515,8.0,Naive Bayes,0.6331658291457286,0.7249712313003452,0.7193842696384538,0.0
1,0.6607211354046797,0.7234183700758943,0.6568380213385063,8.0,Logistic Regression,0.6644427001569859,0.6494054468738013,0.7185572936690909,0.0
2,0.6634062140391255,0.7364764471552905,0.6386658431130326,8.0,Random Forest,0.6893333333333334,0.5949367088607594,0.7266072326887174,0.0
0,0.6733651226158038,0.744097441463057,0.7016179215930305,7.0,Naive Bayes,0.6457617411225659,0.7680517711171662,0.7434629498325773,0.0
1,0.6772820163487738,0.7457499124309523,0.6854771784232365,7.0,Logistic Regression,0.6685011330527679,0.7033378746594006,0.7398725025800177,0.0
2,0.6849455040871935,0.7439384275597624,0.6653400868306801,7.0,Random Forest,0.7094907407407407,0.6263623978201635,0.7444556301925176,0.0
0,0.6423781850692892,0.7210558421016537,0.6726677577741408,6.0,Naive Bayes,0.6201433421350434,0.7349128296826106,0.7092563220786509,0.0
1,0.6414841305319624,0.7113258195538594,0.6283595922150138,6.0,Logistic Regression,0.6522366522366523,0.6061689763075547,0.7013829868655514,0.0
2,0.6470719713902549,0.7270313308385501,0.6234199856904363,6.0,Random Forest,0.668200408997955,0.5842646401430487,0.7129291596666698,0.0
0,0.6804952215464813,0.767864321784471,0.7169520877429285,5.0,Naive Bayes,0.6435233160621762,0.8092962641181581,0.7715293655424474,0.0
1,0.6724587315377932,0.733535942771555,0.6833263334733306,5.0,Logistic Regression,0.6613821138211382,0.7067767158992181,0.7396612774295912,0.0
2,0.7156820156385751,0.7758878927464102,0.7074860335195531,5.0,Random Forest,0.728485964104924,0.6876629018245004,0.7825124301687574,0.0
0,0.6347874720357942,0.6948002347213469,0.6771056535355201,4.0,Naive Bayes,0.606794682422452,0.7658463832960477,0.7002967695260085,0.0
1,0.656599552572707,0.7208122161515301,0.6572385560104206,4.0,Logistic Regression,0.6560178306092125,0.6584638329604773,0.7174653182678347,0.0
2,0.6588366890380313,0.7037783541079625,0.6418786692759295,4.0,Random Forest,0.6754530477759473,0.6114839671886652,0.7117823910723631,0.0
0,0.6466524973432518,0.7034723760576077,0.6701934204000661,3.0,Naive Bayes,0.6283323000619963,0.7180304640453419,0.7061891910849709,0.0
1,0.675699610343606,0.7345190322198392,0.6842559061907225,3.0,Logistic Regression,0.6666666666666666,0.7027984413744244,0.7409223536887484,0.0
2,0.6817215727948991,0.7425502231786246,0.657649076014479,3.0,Random Forest,0.7114591920857378,0.6114063053489196,0.7443493674310598,0.0
0,0.6349716446124763,0.6822099594282017,0.6357291077155254,2.0,Naive Bayes,0.6344126506024096,0.6370510396975425,0.6800676098212913,0.0
1,0.6655954631379962,0.7124451422877862,0.6549639165203822,2.0,Logistic Regression,0.6764705882352942,0.6347826086956522,0.7095803688523126,0.0
2,0.6533081285444234,0.7003400567543792,0.6106157112526539,2.0,Random Forest,0.6963680387409201,0.5436672967863894,0.7012419195185837,0.0
0,0.6249413970932959,0.6630324887368089,0.6212121212121212,1.0,Naive Bayes,0.6274509803921569,0.6150961087669948,0.6689662743980961,0.0
1,0.6237693389592124,0.6596707162369022,0.598649662415604,1.0,Logistic Regression,0.6414790996784566,0.5611814345991561,0.676169514004144,0.0
2,0.6371308016877637,0.6773902221818177,0.5765864332603938,1.0,Random Forest,0.6920551543007223,0.49413970932958273,0.6901533269636672,0.0
