,accuracy,average_precision,f1,fold,method,precision,recall,roc_auc,run
0,0.6511473962930273,0.7420376472836059,0.6916325336454067,9.0,Naive Bayes,0.6197133869276477,0.7824360105913504,0.730410753695015,0.0
1,0.6954986760812003,0.7548271412360347,0.6933333333333332,9.0,Logistic Regression,0.6982990152193375,0.6884377758164166,0.7536537276552187,0.0
2,0.6877758164165931,0.7468871027463269,0.6805147888913976,9.0,Random Forest,0.6967175219602404,0.6650485436893204,0.738549017713792,0.0
0,0.6612965093977752,0.7442107402676894,0.6830581478822685,8.0,Naive Bayes,0.6418212478920742,0.729957805907173,0.7256577662835402,0.0
1,0.6540084388185654,0.7328962778224335,0.6240100041684035,8.0,Logistic Regression,0.6832496576905522,0.5742232451093211,0.7136182438800027,0.0
2,0.6626390487149981,0.7462605057798893,0.6336179962507811,8.0,Random Forest,0.6932543299908842,0.5834292289988493,0.7364757684490826,0.0
0,0.6730245231607629,0.77037359330565,0.7100573844759892,7.0,Naive Bayes,0.6378187737384698,0.8007493188010899,0.7659897871207003,0.0
1,0.6897138964577657,0.7580768156632912,0.6908720732948761,7.0,Logistic Regression,0.6883029073698445,0.6934604904632152,0.7542080737847932,0.0
2,0.7004427792915532,0.7619907505860284,0.6859489376896982,7.0,Random Forest,0.7208255159474671,0.654291553133515,0.7618265504235685,0.0
0,0.6439427805096111,0.7289163416917717,0.6758901322482198,6.0,Naive Bayes,0.6202389843166543,0.7425122932498882,0.7173657604289543,0.0
1,0.6662941439427805,0.7387431166596572,0.6651715631307469,6.0,Logistic Regression,0.6674167416741674,0.6629414394278051,0.7303406419727231,0.0
2,0.6598122485471614,0.7467758993621368,0.6334296724470134,6.0,Random Forest,0.6866840731070496,0.5878408582923559,0.7337971599280521,0.0
0,0.702215464813206,0.8012036924710563,0.7351748116669886,5.0,Naive Bayes,0.6619130434782609,0.8266724587315378,0.7977910455985464,0.0
1,0.7400086880973067,0.807829982100787,0.7542599055635393,5.0,Logistic Regression,0.7150642273258077,0.7980017376194614,0.8195513892275142,0.0
2,0.7445699391833188,0.8172512111817276,0.741424802110818,5.0,Random Forest,0.7506678539626002,0.7324066029539531,0.8171597092695432,0.0
0,0.6379567486950037,0.7266490707751472,0.6838163464669489,4.0,Naive Bayes,0.6069364161849711,0.7829977628635347,0.7230945135938154,0.0
1,0.6672259507829977,0.735668200142058,0.6770399855256015,4.0,Logistic Regression,0.6576449912126537,0.6976137211036539,0.7338715417668318,0.0
2,0.6825130499627144,0.7474900252323635,0.6743163128705297,4.0,Random Forest,0.6921868865331763,0.6573452647278151,0.7483641321906866,0.0
