,accuracy,average_precision,f1,fold,method,precision,recall,roc_auc,run
0,0.6438826466916354,0.7059907519521084,0.6181392235609103,9.0,Naive Bayes,0.6663059163059163,0.5764669163545568,0.7023217116245143,0.0
1,0.6466916354556804,0.7028490224933341,0.6235450615231127,9.0,Logistic Regression,0.6672597864768683,0.5852059925093633,0.7040510769154038,0.0
2,0.7050561797752809,0.7807863890362544,0.6724436741767765,9.0,Random Forest,0.7560405300077943,0.6054931335830213,0.7811717290029162,0.0
0,0.649570424368654,0.7038166443273111,0.6568077511473738,8.0,Naive Bayes,0.6435173619785162,0.6706586826347305,0.712345884281605,0.0
1,0.6594636813329862,0.7104718863697979,0.6488590604026846,8.0,Logistic Regression,0.6697146023829316,0.6292632127050247,0.7227719718752731,0.0
2,0.7184326998177558,0.7851582117031728,0.6943620178041543,8.0,Random Forest,0.7592707045735476,0.6396771674043218,0.8059689908976857,0.0
0,0.6848264729620662,0.7403315139290555,0.6838483335582243,7.0,Naive Bayes,0.6859772604223064,0.6817325800376648,0.7514162654858404,0.0
1,0.6631692224912564,0.6920472976166652,0.6654195617316943,7.0,Logistic Regression,0.6610034510220334,0.6698950766747377,0.7163941257182116,0.0
2,0.7437449556093624,0.8123801901309372,0.7282065915251819,7.0,Random Forest,0.7752126366950183,0.6865751950497713,0.8306393365010895,0.0
0,0.6595744680851063,0.7167162994571158,0.6519607843137255,6.0,Naive Bayes,0.6668755875900971,0.6376985316152233,0.7247018989330496,0.0
1,0.6483368294875637,0.6814822717280504,0.627045924042587,6.0,Logistic Regression,0.6674560216508796,0.5912496254120467,0.7065009430591288,0.0
2,0.7329937069223854,0.7793587916857494,0.7144230769230769,6.0,Random Forest,0.7678263864967275,0.6679652382379383,0.81013300712339,0.0
0,0.6508003369839933,0.7121908979747463,0.6222087194288318,5.0,Naive Bayes,0.6776968894771674,0.575119348497613,0.6980038437877467,0.0
1,0.6272114574557709,0.661386595847168,0.5970556988920929,5.0,Logistic Regression,0.6496036988110965,0.5523729289525414,0.6738900729698256,0.0
2,0.7187587756248245,0.7936553179107273,0.6918935548377173,5.0,Random Forest,0.7649659863945578,0.6315641673687167,0.793488477508495,0.0
0,0.6505312868949232,0.7201654570367957,0.6421879721970384,4.0,Naive Bayes,0.6578947368421053,0.6272136953955135,0.7190117492253372,0.0
1,0.6586481700118064,0.7245410510773882,0.6534831460674158,4.0,Logistic Regression,0.6635229692728932,0.6437426210153483,0.717081713499552,0.0
2,0.7193034238488784,0.7855608770908604,0.6924320827943079,4.0,Random Forest,0.7657367668097281,0.6319362455726092,0.8023612576647352,0.0
0,0.6344453949244369,0.6978019314370546,0.6150150150150151,3.0,Naive Bayes,0.6495401205201395,0.5839749073282008,0.6901329525559252,0.0
1,0.6401482748788138,0.6787253679699966,0.6330328583890665,3.0,Logistic Regression,0.6458024325126075,0.6207584830339321,0.6873114335913288,0.0
2,0.6906187624750499,0.7661474814929778,0.650451030927835,3.0,Random Forest,0.7475009255831173,0.5757057313943541,0.7693266365553953,0.0
