,accuracy,average_precision,f1,fold,method,precision,recall,roc_auc,run
0,0.6303191489361702,0.6936660608373111,0.5723076923076923,9.0,Naive Bayes,0.6788321167883211,0.4946808510638298,0.6545948392937981,0.0
1,0.6063829787234043,0.6534413334632216,0.5542168674698795,9.0,Logistic Regression,0.6388888888888888,0.48936170212765956,0.6320167496604798,0.0
2,0.6063829787234043,0.7025555336339849,0.43511450381679395,9.0,Random Forest,0.7702702702702703,0.30319148936170215,0.6524445450430059,0.0
0,0.6584821428571429,0.7007856267099626,0.6805845511482255,8.0,Naive Bayes,0.6392156862745098,0.7276785714285714,0.7153818558673468,0.0
1,0.6183035714285714,0.6602518154407412,0.605080831408776,8.0,Logistic Regression,0.6267942583732058,0.5848214285714286,0.6766581632653061,0.0
2,0.6272321428571429,0.7042175714340768,0.5269121813031162,8.0,Random Forest,0.7209302325581395,0.41517857142857145,0.7324816645408163,0.0
0,0.6754807692307693,0.6910957080865117,0.6731234866828086,7.0,Naive Bayes,0.6780487804878049,0.6682692307692307,0.7332886464497042,0.0
1,0.6322115384615384,0.6266391601878063,0.624078624078624,7.0,Logistic Regression,0.6381909547738693,0.6105769230769231,0.6763128698224852,0.0
2,0.6129807692307693,0.7264586610244255,0.46864686468646866,7.0,Random Forest,0.7473684210526316,0.34134615384615385,0.7595229289940829,0.0
0,0.6741573033707865,0.759832478011542,0.6666666666666667,6.0,Naive Bayes,0.6823529411764706,0.651685393258427,0.7704204014644616,0.0
1,0.6432584269662921,0.7081368811226731,0.6116207951070337,6.0,Logistic Regression,0.6711409395973155,0.5617977528089888,0.7262656230273955,0.0
2,0.6601123595505618,0.7948222583588183,0.5399239543726235,6.0,Random Forest,0.8352941176470589,0.398876404494382,0.8070003787400579,0.0
0,0.6186868686868687,0.651265683654112,0.5571847507331378,5.0,Naive Bayes,0.6643356643356644,0.4797979797979798,0.6123099683705744,0.0
1,0.5378787878787878,0.5618672256651871,0.4633431085043988,5.0,Logistic Regression,0.5524475524475524,0.398989898989899,0.5695847362514029,0.0
2,0.6060606060606061,0.678214628765829,0.4306569343065693,5.0,Random Forest,0.7763157894736842,0.29797979797979796,0.6474594429139884,0.0
0,0.6774193548387096,0.7739175623229262,0.673202614379085,4.0,Naive Bayes,0.6821192052980133,0.6645161290322581,0.7433090530697192,0.0
1,0.7,0.7665701117560377,0.693069306930693,4.0,Logistic Regression,0.7094594594594594,0.6774193548387096,0.7421436004162332,0.0
2,0.635483870967742,0.7769530405562001,0.4840182648401827,4.0,Random Forest,0.828125,0.3419354838709677,0.7669510926118626,0.0
0,0.5821256038647343,0.6129702893284183,0.5506493506493508,3.0,Naive Bayes,0.5955056179775281,0.5120772946859904,0.5882284300683795,0.0
1,0.5603864734299517,0.5624928658719779,0.5357142857142857,3.0,Logistic Regression,0.5675675675675675,0.5072463768115942,0.5923825526850102,0.0
2,0.5531400966183575,0.5990811271803008,0.3416370106761566,3.0,Random Forest,0.6486486486486487,0.2318840579710145,0.5954398002287101,0.0
0,0.6052631578947368,0.593948905185312,0.5296167247386759,2.0,Naive Bayes,0.6551724137931034,0.4444444444444444,0.6420095071987962,0.0
1,0.5146198830409356,0.49893773419236676,0.4391891891891892,2.0,Logistic Regression,0.52,0.38011695906432746,0.5072329947676208,0.0
2,0.5321637426900585,0.6338691080880631,0.19999999999999998,2.0,Random Forest,0.6896551724137931,0.11695906432748537,0.6548339660066346,0.0
0,0.6038961038961039,0.6823415252591825,0.5080645161290323,1.0,Naive Bayes,0.6702127659574468,0.4090909090909091,0.6832939787485243,0.0
1,0.5974025974025974,0.6397522393355825,0.48333333333333334,1.0,Logistic Regression,0.6744186046511628,0.37662337662337664,0.6416343396862877,0.0
2,0.5551948051948052,0.6792319304899233,0.31155778894472363,1.0,Random Forest,0.6888888888888889,0.2012987012987013,0.6931607353685275,0.0
0,0.5369565217391304,0.5517059636466781,0.4688279301745636,0.0,Naive Bayes,0.5497076023391813,0.40869565217391307,0.5635538752362949,0.0
1,0.5630434782608695,0.5608470460445523,0.5085574572127138,0.0,Logistic Regression,0.5810055865921788,0.45217391304347826,0.6001890359168243,0.0
2,0.4956521739130435,0.5601151831682151,0.13432835820895522,0.0,Random Forest,0.47368421052631576,0.0782608695652174,0.5894706994328922,0.0
0,0.6117021276595744,0.6469860800893059,0.574757281553398,9.0,Naive Bayes,0.6351931330472103,0.524822695035461,0.6428373824254312,1.0
1,0.526595744680851,0.5256681674730894,0.5027932960893855,9.0,Logistic Regression,0.5294117647058824,0.4787234042553192,0.5508777224485689,1.0
2,0.5762411347517731,0.6632425344953756,0.3523035230352304,9.0,Random Forest,0.7471264367816092,0.23049645390070922,0.6493385644585283,1.0
0,0.6010362694300518,0.6568704241085666,0.5187499999999999,8.0,Naive Bayes,0.6535433070866141,0.43005181347150256,0.653413514456764,1.0
1,0.6269430051813472,0.6182385098350808,0.6149732620320856,8.0,Logistic Regression,0.6353591160220995,0.5958549222797928,0.63684931139091,1.0
2,0.5621761658031088,0.6830417660367859,0.29288702928870297,8.0,Random Forest,0.7608695652173914,0.18134715025906736,0.6712931890789015,1.0
