,accuracy,average_precision,f1,fold,method,precision,recall,roc_auc,run
0,0.757606490872211,0.8370182922350804,0.7621890547263682,9.0,Naive Bayes,0.748046875,0.7768762677484787,0.8311287024427173,0.0
1,0.718052738336714,0.8200484586883254,0.7010752688172043,9.0,Logistic Regression,0.7459954233409611,0.6612576064908722,0.8104579734950567,0.0
2,0.6805273833671399,0.7622461361527505,0.6115906288532675,9.0,Random Forest,0.779874213836478,0.5030425963488844,0.7620109525239767,0.0
0,0.7072310405643739,0.804350178882723,0.6745098039215687,8.0,Naive Bayes,0.7593818984547461,0.6067019400352733,0.7880114094105863,0.0
1,0.6675485008818343,0.7464537120956137,0.626362735381566,8.0,Logistic Regression,0.7149321266968326,0.5573192239858906,0.7301773933167232,0.0
2,0.6684303350970018,0.7742119473500031,0.5840707964601769,8.0,Random Forest,0.7833827893175074,0.4656084656084656,0.7562778197698833,0.0
0,0.7068014705882353,0.782117266992943,0.6800401203610833,7.0,Naive Bayes,0.7483443708609272,0.6231617647058824,0.7679464478806228,0.0
1,0.7242647058823529,0.7906919493968718,0.7115384615384616,7.0,Logistic Regression,0.7459677419354839,0.6801470588235294,0.8050794766435988,0.0
2,0.6360294117647058,0.7263742545613878,0.5319148936170213,7.0,Random Forest,0.7450331125827815,0.41360294117647056,0.7381258109861593,0.0
0,0.6930455635491607,0.7765837214370032,0.6595744680851063,6.0,Naive Bayes,0.7402985074626866,0.5947242206235012,0.7761560535744066,0.0
1,0.6079136690647482,0.6577278462843716,0.5714285714285714,6.0,Logistic Regression,0.630057803468208,0.5227817745803357,0.6736768858294659,0.0
2,0.6762589928057554,0.7224620807641079,0.6428571428571429,6.0,Random Forest,0.7168141592920354,0.5827338129496403,0.7222135960296512,0.0
0,0.7519607843137255,0.839708661201917,0.7583572110792742,5.0,Naive Bayes,0.7392923649906891,0.7784313725490196,0.8316339869281045,0.0
1,0.6980392156862745,0.7708363941309042,0.6811594202898551,5.0,Logistic Regression,0.7214912280701754,0.6450980392156863,0.7833217993079584,0.0
2,0.6872549019607843,0.7689423884834499,0.6370875995449375,5.0,Random Forest,0.7588075880758808,0.5490196078431373,0.7705613225682428,0.0
