accuracy,average_precision,f1,fold,method,precision,recall,roc_auc,run
0.6667374681393373,0.7126475000583604,0.6727158948685856,0.0,Naive Bayes,0.6608606557377049,0.6850042480883602,0.7207728723646152,0.0
0.6981733220050977,0.7566429932534008,0.7035259753807636,0.0,Logistic Regression,0.6912669126691267,0.7162276975361087,0.7655816777097715,0.0
0.7605140186915887,0.8301269059208725,0.7656168797422306,0.0,Random Forest,0.7496438021575412,0.782285471537808,0.8380155544278652,0.0
0.655161427357689,0.710167707778484,0.658821057055795,1.0,Naive Bayes,0.6519026824703681,0.6658878504672897,0.7112114703438678,0.0
0.6960492778249787,0.7475816332967673,0.7023710482529119,1.0,Logistic Regression,0.6880603096984516,0.7172897196261683,0.7605152368137821,0.0
0.7664613423959218,0.8402984428665461,0.7699550162150853,1.0,Random Forest,0.7586064728921872,0.7816482582837723,0.8420467719220488,0.0
0.6622769753610875,0.7174464974180452,0.6661066778664427,2.0,Naive Bayes,0.6586378737541528,0.6737468139337298,0.7191098197612265,0.0
0.701465590484282,0.7523580298067425,0.7036997997259408,2.0,Logistic Regression,0.6984724837832182,0.7090059473237044,0.7644859091233923,0.0
0.7678419711129991,0.8339277935966505,0.7708114908785909,2.0,Random Forest,0.7610766045548655,0.7807986406117248,0.8427441694355636,0.0
0.6619583687340697,0.7158019552334635,0.6651236191478169,3.0,Naive Bayes,0.6589535126120492,0.671410365335599,0.7211289700858063,0.0
0.6985981308411215,0.7524997286531051,0.7020159596808064,3.0,Logistic Regression,0.6941445182724253,0.7100679694137638,0.7664941414638688,0.0
0.7774001699235344,0.850707627897244,0.7806613645876936,3.0,Random Forest,0.7693894389438944,0.792268479184367,0.8525363830541337,0.0
0.6619583687340697,0.7155661859255517,0.6675023503603885,4.0,Naive Bayes,0.656731757451182,0.6786321155480034,0.7194174181728672,0.0
0.6967926932880204,0.7530814761479012,0.7010158131741544,4.0,Logistic Regression,0.6913860772567652,0.7109175870858114,0.7652555818870463,0.0
0.7771877655055225,0.8417802288057908,0.7809106098579783,4.0,Random Forest,0.7680772391125719,0.7941801189464741,0.8490800741195773,0.0
0.6606839422259984,0.7095411219167607,0.6644260056716731,5.0,Naive Bayes,0.6571784749636401,0.6718351741716228,0.7159388672293729,0.0
0.6927570093457944,0.7412509118147372,0.6949920927780706,5.0,Logistic Regression,0.6899727862675319,0.7000849617672048,0.7587942106171169,0.0
0.7650807136788446,0.8291185276789648,0.7669616519174042,5.0,Random Forest,0.7608695652173914,0.7731520815632965,0.8393599101729625,0.0
0.6488954970263382,0.7073779525903074,0.6540393470071159,6.0,Naive Bayes,0.6445957095709571,0.6637638062871708,0.7096590412818904,0.0
0.6928632115548004,0.7422749479733999,0.6965372507869884,6.0,Logistic Regression,0.6883036084612194,0.7049702633814783,0.756337348384391,0.0
0.7666737468139337,0.8323841146809065,0.7696823566411574,6.0,Random Forest,0.7598840819706065,0.7797366185216652,0.8385715595356771,0.0
0.6600807308264287,0.7147038817681832,0.6614473127380448,7.0,Naive Bayes,0.6587987355110643,0.6641172721478649,0.721011954901841,0.0
0.6953473550031868,0.7561858678458372,0.6941778630838131,7.0,Logistic Regression,0.6968529222864484,0.691523263224984,0.7668848528440504,0.0
0.7638623326959847,0.8336696658020333,0.7651843244956164,7.0,Random Forest,0.7609243697478991,0.769492245591672,0.8403384587067732,0.0
0.6675164648396006,0.7139170045204722,0.6702486304256215,8.0,Naive Bayes,0.66478578892372,0.6758019970257064,0.7233989995147556,0.0
0.6994901210962396,0.74813247258171,0.7042960175603638,8.0,Logistic Regression,0.6932098765432099,0.715742511153601,0.7650313468014698,0.0
0.7697046951349055,0.8448443283318465,0.7732217573221758,8.0,Random Forest,0.7615907685967442,0.7852135117909497,0.8486706602847852,0.0
0.6567877629063098,0.7094020990527529,0.6587092003802684,9.0,Naive Bayes,0.6550420168067227,0.6624176758019971,0.7130134349624788,0.0
0.6983216486084555,0.75401160710061,0.6993436375185264,9.0,Logistic Regression,0.6969824857564887,0.7017208413001912,0.7642349882417054,0.0
0.7654557042702358,0.8284680621900886,0.7692307692307693,9.0,Random Forest,0.7570458753342934,0.781814319099214,0.8376187254209939,0.0
0.6566482582837723,0.704905887609504,0.6622087556159231,0.0,Naive Bayes,0.6516553567756529,0.6731096006796942,0.7112601050003284,1.0
0.6979609175870858,0.7397974108240396,0.7025726835390086,0.0,Logistic Regression,0.69200659250103,0.7134664401019541,0.7581291610151812,1.0
0.7657179269328802,0.8311107891854213,0.7691985771081817,0.0,Random Forest,0.7579381443298969,0.7807986406117248,0.8412573836251171,1.0
0.6580288870008496,0.7089108903177538,0.6609098567818029,1.0,Naive Bayes,0.6553884711779449,0.6665250637213254,0.7160200302599599,1.0
0.7006159728122345,0.7389019962312537,0.7014087490731913,1.0,Logistic Regression,0.6995563067821677,0.7032710280373832,0.760885185035468,1.0
0.7696474086661003,0.8328281468253325,0.7711301044634378,1.0,Random Forest,0.7661983644369889,0.776125743415463,0.8428432433739568,1.0
0.661321155480034,0.7072339808790065,0.6653373911218385,2.0,Naive Bayes,0.6575399294752126,0.673322005097706,0.7186917782707213,1.0
0.6921197960917587,0.7454096395698139,0.6972956040513731,2.0,Logistic Regression,0.6857670979667283,0.7092183517417162,0.7621369634938704,1.0
0.7674171622769753,0.8302467900092201,0.7728215767634855,2.0,Random Forest,0.755271695052717,0.7912064570943076,0.8411313756515599,1.0
0.6610025488530161,0.7106231278646553,0.6627218934911243,3.0,Naive Bayes,0.6593776282590412,0.6661002548853017,0.7164598626030351,1.0
0.6943500424808836,0.7480782687888549,0.6998331247392574,3.0,Logistic Regression,0.6875,0.7126168224299065,0.7576612216303853,1.0
0.7627442650807137,0.8318275175818879,0.7666109486000836,3.0,Random Forest,0.7543174342105263,0.7793118096856415,0.839683569751301,1.0
0.6675870858113849,0.7209964343829656,0.6717701342281879,4.0,Naive Bayes,0.6634217067108533,0.6803313508920985,0.7253219722535225,1.0
0.701465590484282,0.7550929472002506,0.7055619566355923,4.0,Logistic Regression,0.696011572638975,0.7153780798640612,0.7684693040425775,1.0
0.7785683942225998,0.8432070026492244,0.7829255596043727,4.0,Random Forest,0.7678170308352052,0.7986406117247239,0.8516458454995167,1.0
0.6637638062871708,0.7142240794852732,0.6680645837701824,5.0,Naive Bayes,0.6596273291925466,0.6767204757858963,0.7230161120571358,1.0
0.6963678844519966,0.7451929298494661,0.6996533249290892,5.0,Logistic Regression,0.6921637913115777,0.7073067119796091,0.7634727472679775,1.0
0.7670985556499575,0.8391319512402375,0.7722031785602992,5.0,Random Forest,0.7556413905265298,0.7895072217502124,0.8436234731966197,1.0
0.6628079864061173,0.7126089235352626,0.6667366432245199,6.0,Naive Bayes,0.6590578958290102,0.6745964316057774,0.7182480208672453,1.0
0.6999787595581988,0.7496020900615795,0.7010265636575299,6.0,Logistic Regression,0.6985867960345918,0.703483432455395,0.7645266485434147,1.0
0.7646559048428208,0.8377884685689918,0.7695028084044102,6.0,Random Forest,0.7539747248267428,0.7856839422259984,0.8421025799647592,1.0
0.6548757170172084,0.7012415696318228,0.6562268543011323,7.0,Naive Bayes,0.6536677908937606,0.6588060335670278,0.7073966337286375,1.0
0.688655194391332,0.7420031785998344,0.6917008520037867,7.0,Logistic Regression,0.685,0.698534098151689,0.7537698510221839,1.0
0.763331208837901,0.8271445141262177,0.7665549036043587,7.0,Random Forest,0.7562538763696506,0.7771404291480773,0.8377508350052394,1.0
0.6629487996600807,0.7169288668183104,0.6638415086343893,8.0,Naive Bayes,0.6620879120879121,0.6656044189504993,0.7216464149038025,1.0
0.6974718504355215,0.7526509466764593,0.6986243386243386,8.0,Logistic Regression,0.6959730128610584,0.7012959422137243,0.7649964124597527,1.0
0.7651370299553856,0.839594346387398,0.7669933607334808,8.0,Random Forest,0.760978670012547,0.7731038878266412,0.8424976628067831,1.0
0.659124707881878,0.7096573720203462,0.6621038222596609,9.0,Naive Bayes,0.6563674321503131,0.6679413639260675,0.7119884685980663,1.0
0.6995963458678564,0.7521823602538054,0.7031905961376994,9.0,Logistic Regression,0.6948765816220701,0.7117059698321648,0.7635003740998597,1.0
0.7697046951349055,0.8362225163505843,0.7719814892721919,9.0,Random Forest,0.7644240783170173,0.7796898236668791,0.8418058364633194,1.0
0.667268479184367,0.7244156249714644,0.6730668892831055,0.0,Naive Bayes,0.6615384615384615,0.6850042480883602,0.7235775310413628,2.0
0.6966864910790145,0.7538667662193366,0.6994316985897707,0.0,Logistic Regression,0.6931581143095537,0.7058198810535259,0.7665034804006845,2.0
0.7665675446049278,0.840254344615078,0.7698429319371728,0.0,Random Forest,0.7591904171829822,0.7807986406117248,0.844469707195908,2.0
0.6683305012744265,0.716139840271696,0.6723323890462701,1.0,Naive Bayes,0.6643168152602115,0.6805437553101105,0.7222555075364769,2.0
0.6999787595581988,0.7444027091197186,0.7037852574184753,1.0,Logistic Regression,0.6949679022571961,0.7128292268479184,0.7645953596582472,2.0
0.7729396771452847,0.8350087111188969,0.7773844231570178,1.0,Random Forest,0.7624591503267973,0.7929056924384027,0.844291229736763,2.0
0.6601529311809685,0.7098709115844017,0.6637242538881883,2.0,Naive Bayes,0.6568219633943427,0.6707731520815633,0.7169648419256365,2.0
0.6940314358538657,0.7475040498855049,0.6977866358963601,2.0,Logistic Regression,0.6893264248704664,0.7064570943075617,0.761332641921161,2.0
0.7692225998300765,0.8337269039554198,0.7726273935335356,2.0,Random Forest,0.7613941018766756,0.784197111299915,0.8443448722289074,2.0
0.6499575191163977,0.7050361595907442,0.6537087623450305,3.0,Naive Bayes,0.6467775467775467,0.6607901444350043,0.7097909594038672,2.0
0.6950934579439252,0.7410881883974731,0.6987724268177526,3.0,Logistic Regression,0.6904416338378603,0.7073067119796091,0.7588867427881754,2.0
0.7667799490229397,0.8293612175008369,0.7701005025125627,3.0,Random Forest,0.759289843104872,0.7812234494477485,0.8400595634683169,2.0
0.6627017841971113,0.7130164397639747,0.6654024441635061,4.0,Naive Bayes,0.6601170568561873,0.6707731520815633,0.7182363359173164,2.0
0.699447748513169,0.7526437426866901,0.7019797809604044,4.0,Logistic Regression,0.6961152882205514,0.7079439252336449,0.7663675921026702,2.0
0.7625318606627017,0.8369621206306543,0.7651753833228314,4.0,Random Forest,0.7567511425010386,0.7737892948173322,0.8408762467255071,2.0
0.6569668649107901,0.707648865555311,0.6633312486971022,5.0,Naive Bayes,0.6512484650020467,0.6758708581138487,0.7149987475899227,2.0
0.6943500424808836,0.7489280973090171,0.6985756179304565,5.0,Logistic Regression,0.6890495867768595,0.7083687340696686,0.7594082344338421,2.0
0.7680543755310111,0.8330494076528947,0.7707808564231738,5.0,Random Forest,0.7618257261410788,0.7799490229396772,0.8411420680574796,2.0
0.6612149532710281,0.7167561888751492,0.6654080134256346,6.0,Naive Bayes,0.6572731040198923,0.6737468139337298,0.7202442073326984,2.0
0.6989167374681393,0.7517783901983546,0.7021120100872124,6.0,Logistic Regression,0.6947390309835725,0.70964316057774,0.7659809962110082,2.0
0.7777187765505522,0.8436547215111317,0.7786356425171866,6.0,Random Forest,0.7754371181799031,0.7818606627017842,0.8500202388746646,2.0
0.659974506054812,0.7152721373725743,0.6632298790110468,7.0,Naive Bayes,0.6569403918299291,0.6696409602719354,0.7177115623057371,2.0
0.7024644147015084,0.7496013536046036,0.7064249030499947,7.0,Logistic Regression,0.6971452213487794,0.7159549606968345,0.7648273374674109,2.0
0.7720416401104737,0.835495007567898,0.7765979596085779,7.0,Random Forest,0.76137987344356,0.792436796260888,0.8438741390591712,2.0
