Drug	feature0	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24	feature25	feature26	feature27	feature28	feature29	feature30	feature31	feature32	feature33	feature34	feature35	feature36	feature37	feature38	feature39	feature40	feature41	feature42	feature43	feature44	feature45	feature46	feature47	feature48	feature49	feature50	feature51	feature52	feature53	feature54	feature55	feature56	feature57	feature58	feature59	feature60	feature61	feature62	feature63	feature64	feature65	feature66	feature67	feature68	feature69	feature70	feature71	feature72	feature73	feature74	feature75	feature76	feature77	feature78	feature79	feature80	feature81	feature82	feature83	feature84	feature85	feature86	feature87	feature88	feature89	feature90	feature91	feature92	feature93	feature94	feature95	feature96	feature97	feature98	feature99
DB00742	0.0412317	-0.0211259	0.0388529	0.00324638	-0.0372359	-0.100486	-0.0181252	-0.0700225	-0.00401307	-0.0516096	0.0935821	0.0759177	0.0830339	0.0185327	-0.0840781	0.0120952	0.0927604	-0.0248253	-0.0568431	0.0739774	0.0497419	0.0841868	0.0275409	0.000567571	-0.0304711	-0.0290484	-0.0984453	-0.0611231	-0.0267562	-0.0697473	0.0227906	-0.0614458	0.163927	0.0329405	0.0159745	-0.141669	-0.00375138	-0.0928845	-0.0425595	0.0207721	0.117766	0.0273293	-0.00495293	0.0168723	-0.0696053	0.0540259	-0.0103198	-0.0898415	0.0388829	-0.0890037	-0.0530259	-0.0627832	0.0290482	0.129808	-0.0466498	0.095731	0.0990622	0.0275541	0.0433084	0.254249	-0.0668882	-0.0799252	0.0368711	-0.00582302	0.0576538	0.100339	-0.139732	-0.0333102	-0.0776037	0.0531779	-0.0613829	0.00754696	-0.0752255	-0.00390641	-0.13271	0.0344967	0.0364741	-0.0707923	-0.0954759	-0.0690189	-0.0771514	-0.0671336	-0.0243702	-0.00293969	-0.102354	-0.0145445	0.0285132	0.0117654	-0.0123356	0.0483274	-0.0484408	-0.0624741	0.0958704	-0.0504328	0.109991	0.0818399	-0.00335119	0.0237783	0.0438709	0.0540846
DB05107	0.0735839	-0.0151716	0.0598336	0.00941176	0.0124674	0.0238245	-0.00912952	-0.0364768	0.0671379	-0.0541802	0.00112412	0.0238307	0.0468071	-0.0250532	-0.0072435	-0.0186193	0.0603299	-0.0537164	-0.0673559	0.0251202	0.060128	0.0412988	0.0334189	-0.0703322	-0.0220325	-0.0533443	-0.0645862	-0.0186958	0.00928463	-0.0847292	0.027922	-0.0286917	0.100027	0.00401366	0.0158579	-0.0712225	0.0175814	-0.0943868	0.00772264	0.072615	0.0467248	-0.0150958	-0.0131852	0.0179141	-0.0100311	0.0321967	-0.00033981	-0.0262959	0.0492493	-0.0816113	-0.0183785	0.0150361	0.0651235	0.100705	-0.0269454	0.0353733	0.103745	0.0359667	-0.0544501	0.201062	-0.0549967	-0.062521	0.00804166	0.0365309	0.051288	0.0703142	-0.0372804	-0.0491643	-0.0350868	-0.00694539	-0.0522526	-0.032266	-0.0238392	-0.0829512	-0.0315244	0.0857518	0.0136097	-0.0791669	-0.0787432	0.00497633	-0.0900297	-0.027597	-0.106884	-0.0376337	-0.0639983	-0.0121541	0.0259366	0.01093	0.000197866	0.0560887	-0.0839794	-0.023343	0.0211592	0.03015	0.0873519	0.0487279	-0.00370687	-0.0395924	-0.0442907	0.0753353
DB00743	0.000282179	-0.0273562	0.0424838	0.0191822	-0.0716604	-0.0459575	-0.0295371	-0.0164884	0.0375673	-0.0218376	0.0902068	0.0847004	0.0769094	0.0839409	-0.0660471	-0.0165327	0.0268456	-0.0119503	-0.0442357	-0.000635868	0.0571126	0.0650556	0.0542531	0.0319753	-0.0540694	-0.0673861	-0.0668578	-0.0659677	-0.00319604	-0.0844907	0.0564847	-0.0554081	0.170794	0.0187595	0.0385485	-0.0693475	0.0256547	-0.0624682	-0.0209763	0.0431588	0.121039	0.00687495	-0.0269081	0.000848478	-0.0520917	-0.00437298	-0.0231576	-0.105002	0.0220891	-0.0893553	-0.0622752	-0.0561482	-0.0336389	0.141519	-0.0441402	0.0442127	0.0960227	0.0672316	0.0125403	0.235091	-0.0746083	-0.0302025	0.0213991	0.0278329	0.0689241	0.103533	-0.110482	0.0194463	-0.0984332	0.0356486	-0.0887207	-0.0056231	0.0194906	-0.0239357	-0.0918785	0.082877	0.040957	-0.0912754	-0.104561	-0.0597162	-0.0661722	-0.0268134	-0.103457	-0.0163063	-0.10038	-0.0287716	0.0805498	0.0140601	-0.0174917	0.0331878	-0.0404938	-0.0696411	0.0782903	-0.0321709	0.0793305	0.0454131	0.0296572	0.0250401	-0.00296591	0.0805694
DB05101	0.0216254	-0.0279163	-0.0287092	-0.0308128	-0.0181944	-0.0763484	-0.0142051	-0.00679871	0.0322229	-0.0230582	0.0141114	0.0218242	0.0205282	-0.0820865	-0.0478474	-0.055755	0.0534551	-0.0458334	-0.0279069	0.0574822	0.0349515	0.0480761	-0.0320254	0.0150673	-0.0356426	-0.0488855	-0.0381812	-0.0152428	-0.0415244	-0.047907	-0.0282757	-0.0378536	0.0601861	0.0325509	-0.0385112	-0.077329	0.0475789	-0.035186	0.0337865	0.0262783	0.19632	0.00345437	0.0160269	0.00836507	0.0475485	-0.0193163	-0.00723199	-0.0638182	-0.00706151	-0.0274741	0.00977053	0.0127067	0.0402627	0.0608119	0.00638792	0.0338888	0.033354	-0.00933346	-0.0285624	0.172513	-0.0271285	-0.0281655	0.0619944	-0.0275685	0.0661581	0.0135006	-0.033143	-0.0123425	0.000959476	-0.000810402	0.0105777	-0.0771457	-0.0243415	0.0181613	-0.0545055	0.0623424	-0.000743139	-0.0584076	-0.0533083	0.0296251	-0.0626654	-0.0276124	-0.0392096	0.00190898	-0.0761711	-0.0279331	0.0868203	0.0293139	0.0337462	0.0482088	-0.0321492	-0.0491799	0.01239	-0.0193247	0.0539701	0.0431363	0.0147144	0.0194618	-0.0118203	0.0227909
DB05100	-0.00292474	-0.0553409	-0.0169368	0.00370741	-0.0441594	0.0249847	-0.011721	-0.013871	0.0485612	-0.0269568	0.0531539	0.0395451	0.11621	0.0399099	-0.0632636	-0.0357966	0.102924	-0.0515433	-0.0438123	0.0447546	0.0484387	0.0792687	0.0429053	-0.0420255	0.0105281	-0.0659515	-0.028761	0.0104639	0.000256303	-0.0830487	0.0419208	-0.0445155	0.0446112	-0.00235224	0.00946505	-0.120999	0.0754735	-0.0927313	-0.059532	0.071212	0.142193	-0.0253497	0.0404869	0.0693836	-0.064665	0.0527311	-0.0189092	-0.0154477	0.0441894	-0.0464544	-0.0198484	0.00945101	0.0479151	0.0402729	-0.0056341	0.018715	0.0442403	0.0166277	-0.0237522	0.168557	-0.00749546	0.0332711	0.0400026	0.00626355	0.0491055	0.0719783	-0.0395806	-0.0426034	-0.0361702	-0.0193559	-0.0549971	0.0151096	0.0501603	-0.0892801	-0.0306976	0.0222446	-0.0126169	-0.0831756	-0.0962896	-0.031201	-0.0944749	-0.0824076	-0.055732	-0.0236863	-0.0918952	-0.0338327	0.0163131	0.0308932	-0.00384254	0.00551646	-0.03016	-0.0275581	0.0189383	-0.07151	0.0327966	0.0808629	-0.00858959	-0.0201152	-0.0467229	0.0396943
DB09161	0.101886	-0.0293459	0.0484824	0.0276075	-0.0479842	-0.124	-0.0336692	-0.0136877	0.0343981	-0.00828606	0.0907708	0.0686385	0.0307477	0.0363228	-0.0334519	0.0385173	0.118273	-0.0301984	-0.0657417	0.0623695	-0.0180265	0.0624737	0.0376077	0.0393651	-0.00564837	-0.0305299	-0.067941	0.014804	-0.006664	-0.00277858	0.0332269	-0.0360359	0.0611987	0.0139413	0.0439084	-0.0864089	-0.0124754	0.00368967	-0.0658414	0.0973093	0.0684003	-0.00172539	-0.0331967	0.0312275	-0.0613119	0.0205519	-0.00304169	-0.0828741	0.0322737	-0.0416311	-0.0304418	0.0105153	0.00840648	0.0956052	-0.0521598	0.031139	0.0325788	0.0200306	0.0185583	0.185876	-0.0843593	0.0460175	0.0705496	-0.0173961	0.0678968	0.0704868	-0.031283	0.00378757	-0.0493715	0.0442579	-0.0558737	0.0240553	0.0416879	-0.0402709	-0.0424573	-0.00535207	0.0202688	-0.0667522	-0.0690862	-0.0727847	-0.077665	-0.0401078	-0.0572001	-0.0389943	-0.0490753	-0.0335815	0.0214891	0.00429243	-0.0125333	0.0304364	-0.0457323	0.00214985	0.0718055	0.0325778	0.0498302	0.0434327	0.00209022	-0.0533906	0.00998198	0.0547395
DB09162	0.061338	-0.0223767	-0.0455268	-0.0503714	-0.0674529	-0.0513072	-0.0012396	0.0517333	0.0616261	0.0353904	0.0209806	0.065808	0.0539162	-0.0056809	-0.0230762	-0.0068736	0.0389653	0.00956945	-0.0432278	0.0608561	0.00324666	0.0667206	-0.00612558	0.0411164	-0.0255958	-0.0806841	0.0136888	-0.0182965	-0.0323207	-0.0701698	0.0266624	-0.0350543	0.063429	0.0189353	0.0343396	-0.0800206	-0.014776	-0.0439947	-0.0311478	0.0254625	0.109273	-0.00814718	-0.00683452	0.011771	-0.0290351	0.0319432	-0.00877225	-0.0437052	-0.0100461	-0.00510673	0.00506695	0.0244003	0.0162886	0.0908312	-0.0351226	0.0381774	0.0801565	0.0459103	-0.0075626	0.193451	-0.0395769	-0.0103361	0.0377495	-0.0440526	0.0848118	0.0368358	-0.0466605	0.0155455	-0.0437557	0.0287136	-0.0472154	5.88379e-05	-0.00154789	0.0367624	-0.0615372	-0.00499163	0.0296825	-0.0765805	-0.0164518	-0.0419834	-0.0465046	-0.00549421	-0.0130031	-0.00634461	-0.0920179	-0.0157953	0.0517035	-0.00593	0.0267746	0.0383556	0.00662769	-0.0261104	0.0481183	-0.0180621	0.00421859	0.00815028	0.0341057	-0.0123496	0.0249458	0.0165877
DB05109	0.0803189	-0.0196261	0.0264335	-0.00754284	-0.0306427	0.0269941	0.019625	-0.0479604	0.0216757	-0.0638401	0.0942887	0.0226911	0.137002	-0.0341493	-0.0912847	-0.0558416	0.103235	0.000816935	-0.0296402	0.0686684	0.0498902	0.131255	0.0510322	0.0499845	-0.0335358	-0.0023674	-0.0980053	0.00202623	-0.0306489	-0.0312318	-0.0313543	-0.0616295	0.104293	0.0243452	-0.0134391	-0.129237	0.0215867	-0.106825	-0.0121339	0.0479015	0.0678359	0.0366737	0.0460586	0.0475964	-0.0534077	0.0124386	-0.000109402	-0.1067	0.0611016	-0.0430338	0.00116655	-0.0875831	-0.00235798	0.0600205	-0.0258565	0.0876424	0.0739393	0.0440408	0.00670268	0.245154	-0.04204	-0.0350032	0.0681563	0.0202907	0.0461397	0.10877	-0.11427	-0.0659421	-0.0544764	0.0289319	-0.0451882	-0.0358471	0.0059516	-0.0776574	-0.0718925	0.0650004	0.0371838	-0.105276	-0.0914507	-0.0839088	-0.108306	-0.0600694	-0.0787968	-0.0733991	-0.0582952	-0.00296011	0.0776937	0.0250497	-0.0254617	0.0269228	-0.0433678	-0.0854545	0.0631337	-0.0374099	0.0917935	0.0641455	0.0461102	-0.0101549	0.046551	0.0511599
DB01319	0.0114003	-0.0259612	0.0499674	-0.0262894	-0.0475269	-0.0516009	0.028248	-0.017867	0.0035982	-0.0555061	0.106256	0.02665	0.115551	-0.0134591	-0.0763255	-0.0316543	0.0891849	-0.0602614	-0.0818577	0.0811155	0.0501947	0.0951487	0.0333847	-0.0525501	-0.0275584	-0.0508264	-0.108981	-0.0121368	-0.0106582	-0.00667343	-0.0252073	-0.0417214	0.167993	0.0414664	-0.0220744	-0.0894382	0.0427237	-0.0944728	-0.00688962	0.026952	0.0628	0.0429277	-0.0292292	0.0371564	-0.0666369	0.0335257	-0.0392397	-0.0864534	0.0335453	-0.077664	-0.0494908	-0.0685148	0.0244499	0.121378	-0.0293753	0.0644618	0.112708	0.0729833	-0.0168858	0.238467	-0.0738741	-0.0543697	0.0698925	0.0353793	0.0467156	0.103023	-0.0961683	-0.0381376	-0.0602318	0.00270526	-8.72766e-06	0.00306307	-4.73764e-06	-0.0545248	-0.109688	0.0201782	0.0282212	-0.0664531	-0.0979405	-0.0935363	-0.0808215	-0.0630205	-0.105621	-0.0328455	-0.0804008	0.00109187	0.043621	0.0339345	-0.0272299	0.0609306	-0.0837727	-0.0604828	0.0566869	0.000824671	0.0251741	0.0488039	0.00809156	-0.0162557	0.0470666	0.0867365
DB01178	0.0129826	-0.00863349	-0.00631306	-0.0214827	-0.0382255	-0.0952152	-0.0148585	-0.060795	-0.0172771	-0.0562569	0.0974603	0.019258	0.121585	0.0397825	-0.066119	-0.0108253	0.0493709	-0.0250524	-0.0332621	0.0503051	0.0589451	0.0664518	0.0326448	-0.0623264	-0.00915912	-0.0436089	-0.0541746	-0.009928	0.0191163	-0.0854779	0.0570693	-0.0534105	0.145293	0.00369067	0.0142828	-0.104954	0.0632585	-0.0924266	-0.00364306	0.0284831	0.137008	-0.00881523	-0.0245357	0.0187617	-0.0702459	0.0137767	0.0081936	-0.0575978	0.0531413	-0.0347486	0.00589965	-0.0539684	0.048618	0.139436	-0.0392731	0.0243603	0.00852121	0.0194251	-0.00280837	0.209406	-0.0609914	0.0308399	0.0757121	0.0216996	0.0637238	0.0800857	-0.118282	-0.0392993	-0.0599133	0.0329162	-0.0559536	-0.00642148	-0.069018	-0.0742154	-0.0374326	0.0824268	-0.00955184	-0.0941428	-0.114447	-0.0874081	-0.121003	-0.109755	-0.0414604	-0.0327671	-0.0939449	-0.0308795	0.0387599	0.0366033	0.00678424	0.0558517	-0.0718216	-0.0670098	0.0251846	-0.0667456	0.106415	0.120707	0.00235914	-0.0114885	-0.0344212	0.055425
