Drug	feature0	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24	feature25	feature26	feature27	feature28	feature29	feature30	feature31	feature32	feature33	feature34	feature35	feature36	feature37	feature38	feature39	feature40	feature41	feature42	feature43	feature44	feature45	feature46	feature47	feature48	feature49	feature50	feature51	feature52	feature53	feature54	feature55	feature56	feature57	feature58	feature59	feature60	feature61	feature62	feature63	feature64	feature65	feature66	feature67	feature68	feature69	feature70	feature71	feature72	feature73	feature74	feature75	feature76	feature77	feature78	feature79	feature80	feature81	feature82	feature83	feature84	feature85	feature86	feature87	feature88	feature89	feature90	feature91	feature92	feature93	feature94	feature95	feature96	feature97	feature98	feature99
DB00742	0.00621986	-0.053732138	0.123064116	0.014853359	0.028346619	0.07530698	0.031237494	0.047630996	0.08165913	0.05339645	-0.056552283	0.14593203	-0.017144736	0.08135036	-0.031484738	0.046803754	-0.030286506	-0.04277789	0.048168242	-0.10604061	0.0773657	0.10248904	0.06792948	0.0077122115	-0.0028678724	-0.07922017	0.055597614	-0.046385817	-0.01619508	0.035456795	-0.042667218	-0.10346627	0.04409928	0.09829384	-0.01855705	0.0025256085	0.1164849	-0.04905256	0.089261346	-0.076984935	0.0045941966	0.096531495	0.07787104	-0.035417564	-0.07892438	0.057948668	-0.034946337	-0.052024145	-0.0011978002	0.041795176	-0.14219095	0.09550307	-0.078853786	-0.06720203	-0.07600834	0.17005979	0.027548993	-0.1428095	-0.0022149584	-0.094076656	0.11797331	0.12650463	-0.053061277	-0.055634215	0.0130345095	-0.08741304	0.04596718	0.05019027	0.04951518	-0.09324954	0.07644627	-0.0038607973	-0.10294863	0.08198719	0.12308812	-0.029093862	0.08994396	0.007974354	-0.10197638	0.026298104	-0.09771661	-0.03795248	-0.05916097	-0.009991199	-0.051503535	-0.11199446	0.023132477	-0.04261705	0.04727401	0.0492245	-0.0731193	0.062838875	-0.05152515	-0.07872767	0.019090606	-0.01806705	0.007187335	0.13929439	0.011621391	0.042407338
DB05107	-0.020970128	-0.055715375	0.10303969	-0.006798381	-0.019350022	-0.008949218	0.011175936	0.06341544	0.07673004	-0.007539062	-0.02965372	0.08159671	0.0026502279	0.010374866	0.0029445663	0.05615991	0.037763223	-0.017429527	0.02886241	-0.058839835	0.012943067	0.030210301	-0.04146022	0.04065412	-0.006477168	-0.065997854	0.052786622	0.03855833	0.030847063	0.015676316	0.017895788	-0.021123853	0.04951497	0.07330051	0.0064374655	0.04464284	0.05611881	-0.09147612	0.07360287	-0.050080348	0.073298156	0.058770463	0.02776542	-0.018131148	-0.045609698	0.09129114	-0.086934105	0.02600234	0.03960572	0.02268386	-0.045768034	0.04707726	0.017167838	-0.027248003	-0.07002866	0.08581163	0.04660374	-0.07495491	0.046346776	-0.063875824	0.08265867	0.075087585	0.0006585084	-0.040177386	-0.023587158	-0.039129872	-0.053011496	0.057501066	0.027782891	-0.08582879	0.04985556	0.028421525	-0.05165215	0.06543353	0.097172774	0.012408776	0.06083927	-0.0043648854	-0.03840157	0.028198697	-0.069715135	0.03526056	-0.004656291	-0.041489832	-0.0065978295	-0.073187135	0.010665925	-0.022426922	0.051346622	0.06546272	-0.029486232	0.05046007	-0.018372016	-0.028174287	0.05647873	-0.007763927	-0.029390775	0.10978468	0.0032787668	-0.016228924
DB00743	0.0008949953	-0.005144803	0.106890745	0.020693846	0.02778092	0.07240337	0.055760294	0.055769097	0.08068384	0.039858762	-0.018116727	0.078506105	0.013309546	0.06472357	-0.06784978	0.07142274	-0.0416361	-0.0040679844	0.031793714	-0.039761946	0.092176355	0.07165936	0.06746027	0.0074949553	0.026879273	-0.01369838	0.042044163	0.014256418	-0.02109283	0.050700817	-0.040430006	-0.092319526	0.074702926	0.034200244	-0.01047151	0.0034566547	0.1172563	-0.0423162	0.093589135	-0.03410612	0.0041495636	0.0972387	0.07220353	0.041231465	-0.074279666	0.04295679	-0.0708814	-0.04942717	0.035507448	0.030271566	-0.10252442	0.09067329	-0.055295505	-0.057579435	-0.012156626	0.14337936	0.010527423	-0.058290876	0.07499042	-0.065977655	0.088829994	0.1024615	-0.093514115	-0.060006928	-0.022404766	-0.08053465	0.031299066	0.030336685	0.07049999	-0.08591644	0.078836344	0.020769954	-0.082754485	0.043924905	0.053264152	-0.0060115196	0.06901415	-0.00078389933	-0.07571977	-0.006162543	-0.0987668	-0.04997614	-0.037717264	-0.05875716	-0.017785367	-0.099922545	0.050548453	-0.0029839873	0.005285992	0.05782445	-0.007581249	0.06001693	-0.04752626	0.0024018306	0.011939876	-0.038050517	-0.02705963	0.123140335	0.031885754	0.015306169
DB05101	-0.010579459	-0.032903254	0.05524055	0.010766781	0.037825853	0.035679303	-0.023094758	0.051525593	0.03750367	-0.035541512	-0.019687641	0.038850084	0.0149269225	0.017537143	-0.035494883	0.030034192	0.030136092	-0.03252124	0.052226838	-0.027483063	0.061978236	0.0070456797	-0.059702728	0.039203078	-0.019879805	0.031510964	-0.002038466	-0.03818121	0.0128145125	0.017824627	-0.035130095	-0.0031690141	0.036906384	0.004234177	-0.031471137	0.050217945	0.028178291	-0.060186833	0.031041496	-0.028190175	0.039976347	0.039982803	-0.008843425	-0.00859583	0.0009851807	-0.006584571	-0.030155538	-0.0003886005	0.03853453	-0.0022816171	-0.06380497	0.018130569	-0.020519005	-0.04363018	-0.018421613	0.07208098	0.0039956933	-0.06764403	0.020912401	-0.055811718	0.040070318	0.074906975	0.00049179955	-0.029824521	0.05174668	-0.054091606	-0.018653411	-0.0039558196	-0.009529155	-0.076622635	0.056534633	-0.024665521	-0.00908363	0.048113637	0.0101364385	-0.0015463771	0.063039266	0.009343612	-0.03261297	-0.0034474386	-0.0065525575	0.017848741	-0.026252352	-0.039001003	-0.033681486	-0.060022846	0.021026567	-0.007770655	0.06859237	0.044191286	-0.04950891	-0.0010709283	0.033960555	-0.010287783	0.0582027	-0.013334804	-0.051998362	0.08681059	-0.029798996	-0.008242356
DB05100	-0.040447664	-0.09030324	0.0989266	-0.051209256	0.02136579	0.015367486	0.0045346785	0.061091017	0.07889381	-0.017821556	-0.018147545	0.07864011	0.009552899	0.039532848	-0.05214539	0.05668183	0.021799766	-0.0639062	-0.008827668	-0.04340469	0.009157943	0.07078479	-0.05865533	0.04913718	0.02061857	-0.06676303	0.04369807	-0.027492577	0.052364927	0.0139654875	-0.031263243	-0.054447602	0.055466548	0.039660834	-0.009185614	0.052990306	0.07774449	-0.033227313	0.07350966	-0.033231426	0.02033369	0.058882236	0.078418136	0.022503957	-0.007012599	0.10818834	-0.06846133	0.022549694	0.026991706	0.050934315	-0.06736178	0.082118526	-0.036290392	-0.038927138	-0.04958701	0.09896529	0.043223582	-0.08973743	0.04692564	-0.051838476	0.106165305	0.08387893	-0.03446255	-0.03071419	-0.019374028	-0.06362771	-0.035836432	0.0058357655	0.042726014	-0.119526684	0.0504289	-0.031682428	-0.02010646	0.11528403	0.09578366	0.000557053	0.06766808	0.027437158	-0.060921006	0.01764815	-0.011685841	0.042720508	-0.026776899	-0.015731895	0.008341145	-0.03316639	0.0027139233	-0.037621025	0.035031907	0.08479679	-0.062314153	0.024725819	0.0003535205	-0.06834671	0.08057347	-0.0114921015	-0.050713807	0.09500814	-0.007922274	0.0035085813
DB09161	-0.015725128	-0.021717856	0.100420654	-0.05603128	-0.021139264	0.006680365	0.039296597	0.029889539	0.0990717	0.014025018	-0.06965677	0.09304781	-0.05863731	0.024199218	0.0028439714	0.06805986	-0.032945555	-0.043387726	-0.025044939	-0.024335599	0.05783023	0.091491155	0.019136548	0.0015669491	-0.024835989	-0.0703188	0.048133153	-0.02802023	0.0149380965	0.018569635	0.002426914	-0.042356756	0.07052183	0.038261175	-0.0028809635	-0.025493534	0.082385115	-0.011448684	0.07606369	-0.01838412	0.022244439	0.030599836	0.08553268	-0.034065213	-0.087169096	0.055286057	-0.04666002	0.014919003	0.012127808	-0.014689052	-0.068026885	0.033290446	-0.0324485	-0.051142566	-0.06458551	0.123882085	0.012732466	-0.07273309	0.008603239	-0.06914843	0.0859229	0.10031767	-0.026487553	-0.017570868	0.0053297556	-0.05705635	0.027787494	0.009467235	0.010097521	-0.04968764	0.046003845	0.002793712	-0.04522939	0.07943161	0.07774668	0.019655302	0.064267986	-0.020002412	-0.016644802	0.06855767	-0.03139869	0.018576449	0.04851417	-0.01826366	-0.062700935	-0.030275721	0.02092665	0.008352499	-0.0023536975	0.06956582	-0.015826682	0.030940248	-0.01820498	-0.08999463	0.0029896824	-0.064049885	-0.020425707	0.096036434	-0.0125752315	-0.018231891
DB09162	-0.009217425	-0.01047953	0.020299517	-0.014597061	0.04856848	0.045290254	0.009675272	0.03782958	0.037939653	-0.019020412	-0.022729479	0.06520418	-0.0079422435	0.042537544	-0.03377834	0.05777239	0.021154925	-0.02952822	0.027363896	-0.028870912	0.054264996	0.027021758	-0.018875431	0.024157934	0.012606267	-0.010809401	0.03133925	-0.019299563	-0.014370196	0.029488858	-0.036573216	-0.02166754	0.03375578	-0.03417318	-0.033212166	-0.017356435	0.09254845	-0.043412853	0.06869855	-0.009607533	0.030549519	-0.015432034	0.024300607	0.00064250256	-0.03229999	0.03596387	-0.026596615	0.0392365	-0.00481886	-0.009015743	-0.07536758	0.08754149	-0.029820383	-0.022030197	0.0023329626	0.0906281	0.040164325	-0.04638664	0.024330204	-0.030611506	0.046349112	0.08958565	-0.006184964	0.0152002545	0.02865155	-0.025732603	0.04018542	-0.008071135	0.0028961406	-0.05188644	0.04831483	-0.03469774	-0.017929174	0.067915544	0.038212184	-0.03127951	0.030063013	-0.018641192	-0.0062393593	-0.00249343	-0.022351421	0.016165221	-0.018236194	0.01801705	-0.009101657	-0.017651144	-0.0037952168	0.0064424956	0.02656419	0.06781019	-0.01562144	-0.024299895	0.018039819	-0.04619188	0.007225272	-0.05903082	-0.01248192	0.079761036	-0.015239051	-0.049568072
DB05109	-0.05810077	-0.046099797	0.09932362	0.004176562	0.022599692	0.0018751975	0.019907922	0.074562214	0.04314392	-0.015492426	-0.026075348	0.10161002	0.0047990317	0.0600445	-0.005741453	0.047292393	0.011924058	-0.043063205	0.009975443	-0.06046066	0.067282416	0.08991562	-0.007500711	0.03680225	0.052218508	-0.08584303	0.075696565	-0.025610004	-0.02383914	0.05719177	-0.024285184	-0.077953875	0.06565431	0.06819615	0.022857744	0.020996988	0.11687238	-0.022435367	-0.019815046	-0.016544525	0.032875203	0.10570383	0.025080502	-0.044359732	-0.033448383	0.09550053	-0.07567652	0.024251834	0.022569831	-0.0012743187	-0.0833818	0.10623608	-0.041359924	-0.059180208	-0.08191888	0.15853405	-0.0070820823	-0.10880377	0.042982873	-0.07793537	0.105743304	0.10176469	-0.013988512	-0.057439886	0.010007466	-0.0863861	-0.024211807	0.07643682	0.030992076	-0.11102213	0.070177145	-0.004285309	-0.110481225	0.053687386	0.0785915	-0.022482375	0.10294326	0.037830375	-0.090431765	0.035539817	-0.043377	0.0052134222	-0.006907982	-0.05930545	0.0043160273	-0.11129394	0.028383642	-0.006671852	0.05551459	0.08553186	-0.07045213	0.031563293	-0.047185	-0.07522479	0.055233818	-0.07872645	-0.013520416	0.13537586	-0.038284995	-0.0006585998
DB01319	-0.043287843	-0.057038452	0.102188595	0.009089738	0.017346844	0.032854885	0.01864516	0.060289245	0.05406861	0.025158176	-0.06030599	0.122363	-0.0043224036	0.06417362	-0.058941863	0.05201512	0.010077749	-0.0089362925	0.038649693	-0.10234091	0.05607272	0.09094065	0.01010854	0.038747232	0.018133247	-0.05501521	0.055045154	0.017978169	-0.016690338	0.059577785	-0.02039631	-0.018372133	0.030230196	0.019819446	-0.014642564	-0.01543007	0.10156033	-0.014387907	0.057985254	-0.027720062	0.07491261	0.101023085	0.015593363	-0.040046614	-0.08595091	0.06962824	-0.056403175	0.022253333	0.012475935	0.037509013	-0.109763026	0.0973584	-0.063663594	-0.07906094	-0.04495862	0.1399021	-0.024341587	-0.13076909	0.009015479	-0.072223514	0.09227178	0.08183558	-0.049746007	-0.039315544	0.012553731	-0.073255405	0.038428925	0.06999785	0.040305898	-0.07332865	0.054759696	0.00027364446	-0.07853612	0.0763307	0.075941026	-0.011524489	0.09191733	0.02099891	-0.101804584	0.024952056	-0.07320191	-0.0046829088	-0.027108045	-0.07599234	-0.013261904	-0.090404846	0.039437853	-0.06687147	0.075780675	0.032229774	-0.073118754	0.057168704	-0.06279696	-0.073906876	0.046067674	-0.0080658225	-0.035668455	0.1257628	0.030657494	-0.0053468165
DB01178	-0.048616007	-0.08186392	0.101504155	0.043973055	0.010217409	0.012577604	0.002263814	0.08276971	0.036554128	0.0047369474	-0.07079321	0.15682915	0.0011464076	0.07443665	-0.02855027	0.013010564	-0.0018028002	0.00013815658	0.064508185	-0.02902626	0.097183175	0.07444931	-0.010217894	0.04589262	-0.011659547	-0.061986726	0.06704307	-0.022214994	0.046807814	0.05483437	-0.061179467	-0.07730005	0.04640583	0.068812735	0.015356789	0.036965553	0.084154114	-0.0062039774	0.070161924	-0.046246506	0.0003179398	0.101241246	0.0296559	0.03196019	-0.08142724	0.068331756	-0.061809022	0.010880184	0.030868793	0.024014622	-0.11019686	0.06726367	-0.025564406	-0.06604202	-0.08538601	0.13060297	-0.035179965	-0.07139018	0.07854989	-0.08002647	0.110390894	0.11374336	-0.023298714	-0.08929806	-0.0057863104	-0.0651997	-0.06170718	0.06802034	0.073816635	-0.11653484	0.07576392	0.03221346	-0.088779576	0.08035293	0.11737069	-0.015646998	0.088026434	0.020348266	-0.081117734	-0.014062982	-0.052092545	-0.01922702	-0.0865191	-0.007997729	0.023426939	-0.110961854	0.030614253	-0.077021755	0.072990164	0.061866134	-0.07533044	0.057758447	-0.07646249	-0.09943132	0.038896915	-0.034548394	0.0072074975	0.12131702	-0.018881861	0.04817327
