Drug	feature0	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24	feature25	feature26	feature27	feature28	feature29	feature30	feature31	feature32	feature33	feature34	feature35	feature36	feature37	feature38	feature39	feature40	feature41	feature42	feature43	feature44	feature45	feature46	feature47	feature48	feature49
DB00742	-0.112292565	0.09038829	0.24759698	-0.07513285	-0.060289543	-0.106887385	-0.06411761	-0.20532006	0.107400686	-0.08238175	0.1663109	-0.09491246	-0.090272225	-0.11026978	-0.14635342	-0.036168978	0.15139076	-0.020472063	-0.009925444	-0.079281844	0.07174855	0.09191956	0.1946285	-0.08427288	-0.009654058	-0.1060304	-0.14073245	0.03943122	0.12064981	0.10774475	0.20242664	0.06933885	0.006322729	-0.07120466	-0.20481886	-0.011978302	0.12639149	0.046115313	0.023194177	-0.07170059	-0.07476196	-0.20703596	0.21180218	0.0800748	-0.13618428	0.107913606	0.10993018	-0.011278552	-0.121125065	-0.078641936
DB05107	-0.050454717	0.11196867	0.121736005	-0.010064286	-0.20612003	-0.09481021	-0.085798636	-0.1378408	0.037340406	-0.045848135	0.11264564	0.0293313	-0.025565397	-0.034605045	-0.06124868	-0.020738982	0.18123999	0.11100848	-0.026966337	0.035244536	0.13697818	-0.019523153	0.16928981	-0.06285193	0.038549483	-0.071167424	-0.104151	-0.0064124675	0.088973224	0.053651243	0.116681635	0.043160327	0.117553286	-0.011522977	-0.0963272	0.0066837734	0.050357495	-0.014923977	-0.021409879	0.051079333	-0.09941862	-0.17906167	0.20239535	0.059303045	-0.1418793	0.040348265	0.0052536405	-0.033303116	-0.13140024	-0.07793228
DB00743	-0.09143233	0.07464393	0.19546483	-0.08189724	-0.039285447	-0.14917886	-0.21991201	-0.16189776	0.014807048	-0.03975716	0.13894191	-0.0876836	-0.06461582	-0.11024573	-0.15188065	-0.082000844	0.1724359	0.0024554408	0.015761452	-0.0884892	0.08955418	0.10527094	0.17991532	-0.011712141	-0.03876657	-0.049394652	-0.111251555	0.07983041	0.108514115	0.073400885	0.18940726	0.11168731	0.047021024	-0.08629675	-0.10652524	-0.036566537	0.11575271	0.018663406	0.06192422	-0.08906209	-0.07447295	-0.17275627	0.15363598	-0.05927703	-0.13754897	0.12080224	0.1294802	0.055226255	-0.070846535	-0.10759739
DB05101	-0.042516146	0.03231419	0.10618313	-0.0270489	-0.031432908	-0.03882919	-0.08196297	-0.07698054	0.10648926	-0.04195781	0.040876225	-0.08021225	-0.046020888	-0.020896237	-0.1315996	-0.107179694	0.086573556	0.013288352	-0.119837366	0.050460134	-0.0040341723	0.004963676	0.14054064	-0.008789031	0.052373376	0.03213827	-0.09773872	0.025166437	0.0506477	0.039005555	0.078455776	0.07124207	0.03655415	-0.03571979	-0.04173426	-0.057138328	-0.012333119	0.039037034	-0.032169145	0.021782793	-0.012618516	-0.14869629	0.09269523	0.011534636	-0.10751555	0.11253557	0.08169329	-0.014780318	-0.09412578	-0.0053372234
DB05100	-0.06635274	0.12105737	0.017526569	0.009029973	-0.17817637	-0.08946463	-0.115253255	-0.16112971	0.014916743	-0.12852275	0.11045618	0.02303306	-0.003985959	-0.08001257	-0.11760635	-0.064526945	0.16291709	0.08762918	-0.0354772	0.015834415	0.120854646	0.006378799	0.19366963	-0.053335384	0.06808695	-0.033793196	-0.12470454	0.044155926	0.053563908	0.059139725	0.14770655	0.06285859	0.113454215	-0.11481789	-0.079422556	-0.02127526	0.08011539	0.013685318	-0.029337674	0.04433615	-0.08547069	-0.17368886	0.13264881	0.034645166	-0.15584545	0.034078043	0.015279335	-0.063184075	-0.11306382	-0.11144331
DB09161	-0.10374009	0.09274038	0.03272089	-0.05778935	-0.07958531	-0.03800913	-0.094290964	-0.116628416	0.063686915	-0.0655993	0.14110316	-0.05759453	0.059688505	-0.10882174	-0.14277118	-0.041439414	0.12593037	0.029462686	-0.052285776	-0.10216987	-0.011045879	-0.010290044	0.1098732	-0.038827408	-0.0043833875	-0.06852445	-0.083902344	0.062159136	0.08181243	-0.0035979378	0.10386634	0.06344428	0.06614206	-0.08446909	-0.10127004	-0.048878856	0.04772816	0.047301836	-0.030014688	-0.04264932	-0.04094853	-0.18314797	0.115691595	-0.03086807	-0.1264392	0.062334236	0.05944367	-0.018844925	0.017241485	-0.06413637
DB09162	-0.1178372	0.0490286	0.13822035	-0.015116596	-0.06511131	-0.065135695	-0.07603925	-0.05949553	0.035318527	-0.037652716	0.12634559	-0.055737507	-0.051807385	-0.11588407	-0.12079162	-0.034267608	0.08983551	-0.02225657	-0.0646353	-0.016624404	-0.04204694	0.021448232	0.117001355	0.044281416	0.022546124	0.0031421585	-0.11216578	0.054269932	-0.042696454	0.031179426	0.12795003	0.062480852	0.04090721	-0.011502691	-0.062463865	-0.0020960262	0.019190505	0.060172006	-0.0005226411	-0.018375315	-0.0023639211	-0.13580607	0.07651087	-0.034599658	-0.1216898	0.12531435	0.028116072	-0.044287164	-0.050573766	0.008654506
DB05109	-0.0031019433	0.10789859	0.23065436	-0.08022558	-0.06444135	-0.11793407	-0.059123106	-0.18690741	0.023710178	-0.08579331	0.0759582	0.043448742	-0.071947865	-0.0588148	-0.16525838	-0.013929531	0.18011379	0.02777109	-0.07586165	-0.086052865	0.14729428	0.023523308	0.17610005	-0.08789924	0.040514596	-0.045218166	-0.15014613	0.046179194	0.12539399	0.09479369	0.13436505	0.06088857	0.028155679	-0.078764245	-0.16992159	-0.0398771	0.13843809	-0.08971622	-0.041963354	0.010791865	-0.098016806	-0.15237917	0.15861768	-0.009416807	-0.20787473	0.042613234	0.12035327	-0.05089478	-0.12949829	-0.14306277
DB01319	-0.055030033	0.08987301	0.20885669	-0.059133902	-0.054714616	-0.104516245	-0.08191755	-0.16709484	0.11786451	-0.104892835	0.1099185	0.00507644	-0.070519544	-0.08912674	-0.15989394	-0.050597884	0.2082301	0.050087173	-0.0144405225	-0.088394515	0.04485037	0.015341808	0.21526696	-0.079936095	0.0023332485	-0.0645356	-0.12420271	0.040465593	0.14264508	0.09702459	0.18270192	0.07199501	0.07834928	-0.10185324	-0.1388848	-0.0012527064	0.14119872	-0.028255157	-0.0135186715	-0.0248417	-0.097670265	-0.18411674	0.2434381	0.090444446	-0.14772849	0.07039931	0.02899711	-0.0507431	-0.108422525	-0.11286077
DB01178	-0.11243898	0.08839339	0.20517643	0.010896785	-0.08870776	-0.1216316	-0.10489383	-0.1446384	0.0013732956	-0.09896336	0.11271839	-0.060482353	-0.06822702	-0.100208566	-0.13448891	-0.044471104	0.1751009	0.029608909	-0.033788502	-0.078441754	0.11968983	0.063888624	0.18220328	-0.057674848	-0.017620929	-0.101915196	-0.12233642	0.018303026	0.13170967	0.099459805	0.21215901	0.0772471	0.047120247	-0.099166766	-0.08520228	-0.010157527	0.13712811	0.041460093	-0.02329723	-0.014000755	-0.12683293	-0.19378427	0.17135198	-0.04948432	-0.11913868	0.073789574	0.12343131	0.03659209	-0.12831485	-0.14180943
DB01179	-0.10435386	0.07833256	0.23034468	-0.07323063	-0.07060592	-0.1181762	-0.096884355	-0.19589572	0.07625408	-0.05026218	0.13179079	-0.047399927	-0.060058657	-0.08779219	-0.16962	-0.038046706	0.15774803	0.007959261	-0.0045972313	-0.047325823	0.10703631	0.064453974	0.21451735	-0.09913569	0.00983331	-0.0799905	-0.15666166	0.02111448	0.13523544	0.10676634	0.20519806	0.051137038	0.04493273	0.0011223691	-0.19871153	-0.016329601	0.13846572	0.025282465	-0.011816479	-0.055045806	-0.09554367	-0.1730946	0.27212313	-0.050796777	-0.18650275	0.09101676	0.11769453	-0.013641931	-0.029534483	-0.1128754
DB01176	-0.11219458	0.10184188	0.24793223	-0.03327903	-0.08813042	-0.1261505	-0.1104316	-0.20177089	0.026645916	-0.059371803	0.16122764	-0.05930634	-0.0661972	-0.08869825	-0.15749675	-0.06453265	0.13467728	0.00835807	-0.01235525	-0.066134974	0.113714285	0.036592446	0.1490808	-0.053963367	0.01216246	-0.06400933	-0.120453306	0.07033379	0.13931872	0.059425857	0.2096849	0.06370464	0.012308317	-0.09094189	-0.18696716	-0.018724335	0.12194601	0.03604084	-0.009885687	-0.0526124	-0.10228435	-0.19319546	0.1757938	0.049060974	-0.10358319	0.09639026	0.13121095	0.054160133	-0.06996181	-0.14533696
