Drug	feature0	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24	feature25	feature26	feature27	feature28	feature29	feature30	feature31	feature32	feature33	feature34	feature35	feature36	feature37	feature38	feature39	feature40	feature41	feature42	feature43	feature44	feature45	feature46	feature47	feature48	feature49	feature50	feature51	feature52	feature53	feature54	feature55	feature56	feature57	feature58	feature59	feature60	feature61	feature62	feature63	feature64	feature65	feature66	feature67	feature68	feature69	feature70	feature71	feature72	feature73	feature74	feature75	feature76	feature77	feature78	feature79	feature80	feature81	feature82	feature83	feature84	feature85	feature86	feature87	feature88	feature89	feature90	feature91	feature92	feature93	feature94	feature95	feature96	feature97	feature98	feature99
DB00742	0.019839808	0.06984172	0.031313926	-0.06567602	0.036575347	0.09892962	0.0641188	-0.0398882	0.033733442	-0.12360585	-0.08329629	0.040583506	-0.019870276	-0.1243342	0.06678553	0.07571301	-0.05230889	-0.021652855	0.153145	-0.06456907	-0.07522383	0.17764327	-0.07946734	-0.089506954	0.06600072	0.08944313	-0.057911206	-0.027494125	-0.068196855	0.061580066	0.107922375	-0.022683842	0.12611698	-0.08157618	-0.037912853	0.017298099	0.11416455	-0.11153668	-0.051669244	0.003034742	0.056610495	0.04250032	0.10861086	0.00041450583	0.002568569	-0.03729666	0.0011113432	0.0026390143	-0.03835758	-0.0041644126	-0.041027155	0.00986599	-0.062377777	0.049156554	0.02367976	0.09412765	0.12409513	0.050096203	0.031735826	-0.0470232	-0.11368309	-0.023388926	-0.03028488	0.007653985	-0.013749208	0.084340736	-0.008384764	0.13179247	-0.041774347	0.07312901	-0.0030749305	0.032774102	-0.041652933	-0.04349812	0.089078635	0.091784015	-0.019272443	0.08880155	0.020461394	-0.11217885	0.0911898	-0.113090165	-0.076491944	0.056352686	-0.029966183	0.0021499489	-0.03598418	0.12811053	-0.048481725	-0.010672472	-0.078127064	-0.091862656	-0.019580401	0.016031628	-0.040226366	-0.04484439	-0.004843501	0.021889437	-0.02305462	-0.14974937
DB05107	-0.006697459	0.04024004	0.04758789	-0.012043161	0.047342442	0.092864275	-0.009090751	-0.026734738	0.021614857	-0.07627706	-0.0062941164	0.012523027	0.037400622	-0.08145537	-0.018164791	0.04439048	-0.005731616	0.021144973	0.1017227	-0.06511898	-0.028345915	0.105121516	0.0032036486	-0.07944269	0.0714351	0.116458975	0.016458048	-0.051866274	-0.013828646	0.048983816	0.0542993	-0.0036386405	0.096125446	-0.056709386	0.012849659	0.02406137	0.09013337	-0.07555118	-0.05050525	-0.036841087	0.04026053	-0.02687936	0.07209362	0.03528813	-0.039351773	-0.067819424	-0.0028478461	0.04215942	-0.08812437	-0.058687754	-0.014822027	-0.008197464	-0.021339789	0.076899916	0.027240792	0.033053588	0.07181085	0.022684708	0.048625365	-0.06941178	-0.063632645	-0.009114848	0.0033175442	0.040917333	-0.005504811	-0.0004682762	0.049207926	0.08825876	-0.002686075	0.03492045	0.032767512	-0.029658364	-0.053806555	-0.016699346	0.050429277	0.04599993	-0.014965728	0.008921528	0.067925386	-0.08615488	0.06736722	-0.09635113	-0.047528002	-0.017537102	-0.048402343	0.060549118	0.033017457	0.073825896	-0.08657406	0.036766957	-0.0706316	-0.01825116	-0.009097736	0.013305925	0.019669566	-0.051524147	0.0023891614	0.035379063	-0.058468554	-0.0697684
DB00743	-0.0042295894	0.07455152	0.054820947	-0.038241588	0.017147738	0.11973144	0.06431725	-0.018272469	0.018194951	-0.068400376	-0.06721269	0.00042119646	-0.027079822	-0.064236864	0.08543629	0.0138863325	0.0050289007	-0.048236787	0.14559036	-0.029802285	-0.06714327	0.11911899	-0.077744976	-0.08699	0.08986654	0.09896347	-0.03704494	0.029101688	-0.058341775	0.06575	0.063004464	0.00133172	0.06207421	-0.06343604	-0.0147653	0.03369187	0.12405139	-0.07204085	-0.040495172	0.00265607	0.024644604	-0.010414288	0.10214442	-0.00869152	0.0011775354	-0.03503147	-0.021670604	-0.04115271	-0.04461761	-0.028318403	0.022013757	0.030888906	-0.056421835	0.061168	0.043216303	0.055268236	0.119892366	0.055383015	0.0328578	-0.045771997	-0.086661495	-0.04442075	-0.04985454	0.0323617	-0.00070605264	0.06302264	0.08053889	0.12640136	-0.06406821	0.08244804	0.0072351927	0.023673289	-0.064669326	0.034610577	-0.01012662	0.07042675	-0.024914162	0.0842024	0.03240495	-0.10031953	0.046551235	-0.11612485	-0.06715324	0.01714189	-0.023489803	0.0062747803	0.025285315	0.116035424	-0.05598886	0.0012300779	-0.07308852	-0.09132807	-0.0010980164	-0.046545178	-0.05000333	-0.05222819	0.0043623555	-0.004883487	-0.0064104367	-0.12598683
DB05101	-0.0007324519	0.02691896	0.02520472	-0.040519513	0.055620007	0.09313981	0.0033974126	-0.0141040515	-0.0067805443	-0.02557407	-0.059771422	0.016356034	-0.06541926	-0.019259892	0.015203463	0.019040786	-0.033902865	0.0019233675	0.060448397	-0.01230683	-0.0059085125	0.09862813	-0.0305148	-0.04043332	0.050957214	0.08270249	-0.010379478	-0.048196618	-0.0014003549	0.03156981	0.05381048	-0.0069084037	0.07867114	-0.02603494	0.014772771	-0.024748525	0.045666967	-0.022112526	0.00055518525	-0.060062688	0.033196338	0.01990201	0.02553673	0.032236498	-0.009755546	0.01923879	0.06346688	-0.013681615	-0.07025175	-0.012609918	-0.0064258813	0.017265428	-0.029321365	0.060805604	0.0139017515	0.048297055	0.05525925	0.05903648	-0.012017427	-0.016190093	-0.022693107	-0.038418222	0.013482735	0.044624753	-0.019605726	0.010273159	-0.023919938	0.019750915	-9.868038e-05	0.042989783	-0.06366298	0.035112992	-0.026551943	-0.039091676	0.008271381	0.03472016	-0.04487186	0.02823992	0.0065023713	-0.026208408	0.029735792	-0.072032705	-0.01820587	0.024081701	-0.043058094	0.015698586	0.026600985	0.05410638	-0.033919983	0.013577316	-0.040294778	0.0007008354	-0.042110715	0.025928	0.016060093	0.001369781	-0.053428277	0.019219166	-0.029191373	-0.04473595
DB05100	-0.03303802	0.04137682	0.026588922	-0.0065463614	0.058201097	0.0858866	-0.025792954	-0.013510894	0.050130185	-0.10399922	0.04133051	0.035185464	-0.044759814	-0.103535615	-0.016969766	0.06797741	-0.0690557	0.016273534	0.050408747	-0.020765642	-0.023329072	0.1593502	-0.040069632	-0.0645386	0.05003201	0.11017778	0.037428018	-0.049805686	-0.028481456	-0.016965514	0.081437856	0.0037138662	0.07400461	-0.08437001	0.01261897	0.010523913	0.076229215	-0.09272289	-0.057626043	-0.03874599	0.054550476	-0.0119734835	0.039104935	0.05659184	-0.025018962	-0.029935103	0.015587769	0.007090809	-0.09955016	-0.079452015	-0.018482117	0.002301936	-0.004190512	0.08381811	-0.005244389	0.08569708	0.09762323	0.033403173	0.048170853	-0.008087449	-0.03449616	0.004357675	0.007124397	0.004107628	-0.025055306	0.0524999	0.016576933	0.0869587	-0.0030325651	0.060714602	0.008695835	-0.0053181583	-0.04840464	-0.0010517935	0.03355376	0.080520116	-0.011049408	0.013809502	0.043655116	-0.10514766	0.04009291	-0.1197446	-0.041969314	0.051073123	-0.027214255	0.010079382	0.032121934	0.10630351	-0.04816701	0.0002738015	-0.020927219	-0.007340338	-0.066081226	-0.0048319194	0.026141716	-0.04380749	-0.017480101	0.008598676	-0.078160346	-0.0671533
DB09161	-0.007065084	0.033036727	0.014082715	0.025831897	0.039991464	0.08755301	0.00031056465	-0.018687053	0.0027474323	-0.08244213	-0.008594039	0.004214518	-0.042239614	-0.08904445	0.028372573	0.008987779	-0.0064867516	-0.004075694	0.120356336	-0.022544375	-0.02628328	0.108826675	-0.04436441	-0.0478752	0.014855444	0.103225574	-0.0250906	-0.04842221	-0.042273432	-0.013755017	0.055494793	0.017841196	0.09573405	-0.087624796	-0.0382104	0.047385145	0.10697748	-0.049443997	-0.019469336	-0.019776352	0.027323343	-0.043600697	0.061849516	0.055292547	-0.06363645	-0.02404343	0.0058047	0.0025608689	-0.06879192	-0.039629035	-0.06884094	0.0302699	0.0041190567	0.019678567	-0.022128649	0.023168487	0.13843393	-0.012241244	0.008420773	-0.050456095	-0.04051249	0.030135643	-0.026989078	0.02214758	-0.0018160205	0.02316043	-0.014870845	0.0918056	-0.004596716	0.03368593	0.030137777	-0.023064354	-0.0026048366	-0.017105294	0.008208918	0.0780547	0.025825737	0.02395776	0.03333835	-0.03843096	0.05632556	-0.07130026	-0.07992455	0.042017505	-0.00067674345	0.012358164	-0.024425557	0.09878958	-0.028480629	0.010717081	-0.06317162	-0.030590484	-0.018984275	-0.0062290244	-0.023426283	-0.03960535	0.023749225	0.040390372	-0.0121588055	-0.09936808
DB09162	-0.0035982635	0.05311413	-0.00025948486	0.020998064	0.039592005	0.0605437	0.046496276	-0.010768576	0.031833	-0.0035717785	-0.046964183	0.00063451915	-0.05761074	-0.06953262	0.044498105	-0.018280644	0.0033265017	-0.010946687	0.115916125	0.016848624	-0.028499616	0.15660739	-0.04454696	-0.042538136	0.02968026	0.044940785	-0.0066474658	0.00560339	-0.044571806	0.027537838	0.06772547	-0.010552604	0.012250895	-0.05831446	-0.0055721095	0.00459262	0.04318508	-0.017549843	-0.048424874	-0.00773637	0.029755197	0.02578127	0.050487716	0.0442203	-0.030285588	0.009632511	0.058429528	-0.020974418	-0.08140624	-0.031623907	-0.025006557	-0.0005522284	-0.046022348	0.000101259095	-0.028024394	0.04246258	0.10079323	0.026679663	-0.016542468	-0.016634377	-0.03999048	0.010913635	-0.017407686	0.017747726	-0.005793933	0.051790494	-0.052242883	0.03652104	-0.028132368	0.01691535	-0.01287479	-0.0033837305	0.034199823	0.012694206	0.038638424	0.057023853	-0.005813323	0.013978155	-0.0024837498	-0.030800825	0.025629465	-0.032474205	-0.0423733	0.08848295	-0.033664845	0.02290825	-0.022356315	0.06852306	0.005233706	0.007761866	-0.016547555	0.008564366	-0.051842734	0.039348204	-0.010797072	-0.0037660943	-0.01130485	-0.007650108	0.026827198	-0.036240503
DB05109	-0.017719204	0.080483876	-0.011217381	-0.018569173	0.0329793	0.12386128	0.052680634	-0.041342027	0.031120414	-0.082953505	-0.015871003	0.04354025	-0.04468132	-0.06557284	0.0760333	0.08557298	-0.06076468	-0.011164056	0.12396301	-0.060136322	-0.026501836	0.14068024	-0.019575521	-0.068698995	0.08123886	0.09261724	-0.004867588	-0.0532419	-0.0065382514	-0.00044868106	0.09973427	-0.05245061	0.12653604	-0.09175143	0.025371008	1.8371036e-05	0.13207586	-0.10466666	-0.035952255	-0.06484062	0.05479535	0.041211642	0.071582176	0.03658753	0.016904892	-0.018062063	0.0020316332	0.019818187	-0.10236362	0.014400022	-0.06935924	-0.04899386	-0.050292905	0.0837081	0.010791296	0.087863855	0.09494915	0.0054612216	0.040914036	-0.068946175	-0.07503746	-0.036801185	0.00021674822	0.023557806	-0.010121884	0.07739751	0.06420682	0.11200109	-0.02371639	0.0829136	0.014796404	0.030325858	-0.061398245	0.014940949	0.012692411	0.07667184	-0.030170344	0.07856668	0.06567358	-0.10941678	0.041713335	-0.13816185	-0.078149244	0.004545341	-0.056528535	0.06535976	0.044642594	0.12726659	-0.0855514	-0.009529737	-0.07024233	-0.06574543	-0.0077489205	0.007889444	-0.020780707	0.025210056	-0.02406602	0.005346926	-0.016464666	-0.14686882
DB01319	-0.0035090651	0.06894398	0.014633743	0.016224982	0.060679704	0.09116573	0.058049235	-0.019998178	0.031702787	-0.068977684	-0.03565182	0.031278532	0.0065862034	-0.07143213	0.053709153	0.07532706	-0.058490176	-0.0074649854	0.14725743	-0.03795373	-0.027340613	0.17685322	-0.059803005	-0.09452017	0.0679161	0.1184889	-0.030217867	-0.049532432	-0.02203418	0.05251088	0.09226113	-0.019545568	0.10005318	-0.078572914	0.009505441	0.021032711	0.08808304	-0.07925028	-0.03973384	-0.03629658	0.045419082	0.02864684	0.08044499	0.037661072	-0.004944885	-0.03674689	0.013597965	-0.0063033416	-0.0762841	0.0046114507	-0.026306601	-0.039080475	-0.06471667	0.027935695	0.023881052	0.08427182	0.072320685	0.027446683	0.049790338	-0.06294625	-0.11993608	-0.0059550293	-0.023691371	0.022181483	0.0051641483	0.07423204	0.008591993	0.10981273	-0.025486153	0.078708865	0.024661234	0.03551164	-0.07147117	-0.049416013	0.0121167265	0.038919188	-0.007063037	0.10097195	0.03781428	-0.118408605	0.05578873	-0.108717285	-0.014822939	0.01999174	-0.038208835	-0.0015034056	0.037720166	0.11814411	-0.039723378	0.0031501707	-0.07448833	-0.037157748	-0.054283675	-0.0030341512	-0.013919717	0.00952883	-0.053026076	-0.0015145815	-0.011202255	-0.12731032
DB01178	-0.04230356	0.00652148	0.007083079	-0.05377723	0.009831648	0.13932832	0.057730682	-0.03054334	0.024613703	-0.09115483	-0.039170615	-0.013650786	-0.012492275	-0.080996454	0.026262494	0.04227382	-0.055348873	0.005177228	0.087068066	-0.067119434	-0.06261292	0.07204966	-0.047899123	-0.08199131	0.08769106	0.12537667	0.026586367	-0.023424292	-0.023990225	0.06476991	0.098521836	-0.044538226	0.12763111	-0.093817785	0.041370794	0.010183468	0.1343301	-0.12621798	-0.016241878	-0.06521419	0.05175384	0.016723303	0.06515866	-0.03177119	-0.0059876256	-0.013728812	-0.039938565	0.0071593653	-0.09142115	0.006663518	-0.0064521004	-0.019475907	-0.07012747	0.04692599	0.0030252691	0.08379815	0.08071093	-0.011830827	0.04891388	-0.09274107	-0.09485733	-0.035437237	0.0042842105	-0.014880123	-0.021665826	0.08087388	-0.0042075785	0.10630791	-0.05750179	0.09221399	-0.0008078037	0.012218023	-0.07572954	-0.006509492	-0.0059892936	0.08719152	-0.009169281	0.08256718	0.07480596	-0.072353415	0.089346915	-0.12093438	-0.05280544	0.060690336	-0.0543799	0.015003772	0.028033923	0.106574036	-0.057563197	-0.027005956	-0.0921546	-0.040545113	-0.0041709803	-0.03232852	0.015271464	0.01823717	-0.0039326455	0.0006044323	-0.023488872	-0.16575995
