Drug	feature0	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24	feature25	feature26	feature27	feature28	feature29	feature30	feature31	feature32	feature33	feature34	feature35	feature36	feature37	feature38	feature39	feature40	feature41	feature42	feature43	feature44	feature45	feature46	feature47	feature48	feature49
DB00742	0.07492469	0.07052033	0.063574314	-0.0062816823	-0.10392574	-0.036446486	-0.19607453	-0.15246604	-0.13008492	-0.03190895	0.14445275	-0.1229845	0.17384537	-0.05074416	-0.21631755	0.014241606	-0.18145311	-0.17404547	0.10856755	-0.11512078	0.11532372	-0.07751919	-0.03781907	-0.11277476	-0.073802225	0.17193194	0.21428406	0.022513838	0.21091026	-0.0751139	0.054183308	0.27250805	-0.014921142	-0.0007192363	-0.120068416	0.13106786	-0.040209483	0.028451426	-0.14297822	0.04207043	-0.06524554	-0.00041175133	-0.018364014	-0.17561193	-0.02725375	-0.06360053	0.07285807	-0.029377595	-0.15816872	0.12557611
DB05107	0.121414244	0.04913545	0.083039634	-0.07790646	-0.07887254	0.07184319	-0.17409644	-0.04036172	-0.11233284	-0.041833844	0.10987974	-0.022140928	0.15644842	-0.056545272	-0.14132185	0.052068725	-0.036030468	-0.16947356	0.0143965315	-0.05331415	0.053244323	-0.15941359	-0.08285812	-0.0845867	-0.039367277	0.12743577	0.14355606	0.12540042	0.19120868	-0.11681929	0.13375191	0.1346434	-0.06272089	-0.0039812364	-0.03363038	0.0632495	-0.07680156	-0.01510288	-0.0629211	-0.019574828	0.00061724265	0.117712215	-0.06722663	-0.07982097	-0.056540146	-0.094961494	0.008143593	-0.16580713	0.030012975	0.12715359
DB00743	0.08728507	0.050482865	0.08419728	0.04654254	-0.13599837	-0.0657903	-0.16952708	-0.13050565	-0.14178598	-0.040646426	0.06305779	-0.12643628	0.15826386	-0.06635284	-0.20621902	0.0047152545	-0.14867081	-0.069985986	0.15504748	-0.0581494	0.119652964	-0.075578675	-0.03845698	-0.12972997	-0.11005229	-0.004004549	0.16581179	-0.0404947	0.17358862	-0.0797895	0.047958326	0.14538741	-0.043770216	-4.935288e-05	-0.12490697	0.13174269	0.062337857	0.03699577	-0.14777528	0.00457633	-0.10586642	0.0039364435	0.032748476	-0.05757792	-0.03141416	-0.030786937	0.0944222	-0.054001827	-0.09891171	0.17467973
DB05101	0.03842881	0.075515136	0.03042244	-0.015375106	-0.018992862	0.054281186	-0.069449924	-0.0962665	-0.1591666	-0.022311326	0.026166104	-0.010946533	0.093422145	-0.0481365	-0.086581625	0.062444795	0.009429596	-0.07346012	-0.029835915	-0.04595168	-0.056148294	-0.0793397	-0.031665124	-0.024221223	-0.09520902	0.026632762	0.09153467	0.12384269	0.10791567	-0.021644626	0.017313596	0.12884524	-0.11525783	-0.12739094	-0.10581292	0.03398881	0.07089179	0.013159124	-0.07491606	0.011821703	-0.040128853	0.03413474	-0.028103933	-0.07989097	-0.04845796	-0.023492763	0.018690376	-0.12313019	-0.000368512	0.11455096
DB05100	0.11390879	0.020846946	0.07098626	-0.07499797	-0.07558971	0.03996524	-0.06890892	-0.05174766	-0.06581261	-0.062286045	0.08864944	-0.0023042317	0.14675301	-0.026053872	-0.14970523	0.016182397	-0.025800657	-0.16998634	0.04400603	-0.050493594	0.083321996	-0.12831561	-0.08685346	-0.028670648	-0.052346397	0.14066233	0.17641252	0.09722655	0.19940019	-0.12522821	0.10920925	0.20498048	-0.06165861	-0.0247597	-0.06430146	0.06293816	-0.07351358	-0.026656883	-0.07550763	-0.0170609	-0.008832989	0.109028526	-0.08177095	-0.15257238	-0.043210655	-0.12437934	0.029368188	-0.19816363	-0.045858894	0.124718025
DB09161	0.08362163	0.030722136	0.047505144	-0.027447741	-0.08425024	0.06242994	-0.094543956	-0.13089104	-0.050582692	0.009612525	0.040442977	-0.011189228	0.09356898	-0.10244197	-0.15103136	-0.032160606	-0.012971865	-0.07562091	0.08195761	-0.03164087	0.070692725	-0.07164482	-0.08642477	-0.06511462	-0.021605019	0.017315555	0.091978356	0.14461303	0.14827622	-0.06358917	0.07586996	0.24731643	-0.09328282	0.028821666	-0.06801406	0.102952905	-0.06201585	0.0013159179	-0.11641875	-0.023371316	-0.0968385	0.06489015	-0.08413827	-0.08554089	-0.047963932	-0.06276383	0.040907204	-0.07043243	-0.12189452	0.12638347
DB09162	0.023848485	0.05924476	0.053854685	0.025225354	-0.07703437	0.024177175	-0.047667563	-0.12062909	-0.14789376	-0.026867485	-0.023814423	-0.056629285	0.047678318	-0.048447303	-0.108154505	-0.039470978	0.0125605725	-0.08265474	0.02243924	-0.069486775	-0.034612607	-0.063267626	0.006958031	-0.063332595	-0.014875112	0.036542423	0.07585803	0.08108978	0.11090663	0.013775226	0.039653722	0.17071748	-0.13016753	0.010878524	-0.14680423	0.050877064	0.0842905	0.055051573	-0.14227906	0.043564115	-0.058358107	0.074242905	-0.01803266	-0.04630588	-0.03249445	-0.02263541	0.05429964	-0.0806472	-0.019204872	0.0937127
DB05109	0.04609276	0.02404904	0.0021706745	-0.044441666	-0.083512224	0.022057524	-0.1860016	-0.15259929	-0.115644515	-0.044788383	0.09171532	-0.14366947	0.19423793	-0.09033398	-0.20180978	0.104719654	-0.049016304	-0.16924964	0.002831472	-0.067376316	0.15501678	-0.053553406	-0.12346543	-0.07045588	-0.15646894	0.18418702	0.14359605	0.012256896	0.21180499	-0.08495092	0.06425373	0.17137155	-0.030074183	-0.10007986	-0.041198365	0.15910773	0.040967528	0.021712668	-0.14653423	0.010638712	-0.011796065	0.011547923	-0.060707465	-0.18705453	-0.031688027	-0.15393177	0.02753602	-0.18056363	-0.11227381	0.14017442
DB01319	0.08210743	0.01733262	0.03099422	-0.023008524	-0.10772538	0.020592028	-0.18159364	-0.114800595	-0.117692575	-0.05933799	0.13032377	-0.1599488	0.1871222	-0.046608955	-0.20410539	0.022436721	-0.054048438	-0.07806046	0.035869256	-0.08661951	0.14050196	-0.11299301	-0.050691642	-0.080246024	-0.10891644	0.037534457	0.19499652	0.016335959	0.2087588	-0.10015453	0.0941231	0.16908166	-0.04602206	-0.052890107	-0.10876924	0.15624577	0.025539506	0.005171528	-0.12967663	-0.006997845	-0.06905297	0.054440986	-0.0564329	-0.18836978	-0.024095971	-0.09880785	0.07745765	-0.14853781	-0.031076128	0.12704447
DB01178	0.18010277	0.032580342	0.055809986	0.053304397	-0.075081065	-0.014539016	-0.12685302	-0.08679462	-0.14050813	-0.05323664	0.10932411	0.0018448081	0.17382771	-0.031664938	-0.19972691	0.008473599	-0.06855696	-0.16296817	0.06128045	-0.111182444	0.12845638	-0.11955868	-0.072149426	-0.12222472	-0.100198455	0.13218522	0.18493874	-0.038716517	0.21130955	-0.13096541	0.034828223	0.20123252	0.0032885494	-0.119620524	-0.12166229	0.10111411	-0.032140672	0.061250545	-0.112614974	0.01649891	-0.0032843947	0.06328656	0.009355335	-0.061247922	0.0050311275	-0.06363228	0.050452724	-0.0606666	-0.12953867	0.051495343
DB01179	0.12723881	0.011161173	0.075515725	-0.0013057516	-0.08820121	-0.02238659	-0.20969078	-0.13414288	-0.14747863	-0.07548106	0.140565	-0.15377566	0.21430022	-0.041308798	-0.18433963	0.106947854	-0.12410818	-0.15879354	0.03284217	-0.085055105	0.1436857	-0.105458036	-0.05934576	-0.11226237	-0.099456295	0.18974502	0.2087751	-0.0016910882	0.21322286	-0.07369542	0.06111207	0.1891246	-0.012592593	0.008799032	-0.13527691	0.14060268	0.05606694	0.0072661527	-0.13891162	0.057693075	-0.094176725	0.049341578	-0.03116141	-0.17546898	-0.0061247665	-0.09919652	0.05574506	-0.17858735	-0.13612683	0.14221826
