Drug	feature0	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24	feature25	feature26	feature27	feature28	feature29	feature30	feature31	feature32	feature33	feature34	feature35	feature36	feature37	feature38	feature39	feature40	feature41	feature42	feature43	feature44	feature45	feature46	feature47	feature48	feature49	feature50	feature51	feature52	feature53	feature54	feature55	feature56	feature57	feature58	feature59	feature60	feature61	feature62	feature63	feature64	feature65	feature66	feature67	feature68	feature69	feature70	feature71	feature72	feature73	feature74	feature75	feature76	feature77	feature78	feature79	feature80	feature81	feature82	feature83	feature84	feature85	feature86	feature87	feature88	feature89	feature90	feature91	feature92	feature93	feature94	feature95	feature96	feature97	feature98	feature99
DB00742	-0.0869353	-0.0645466	-0.0261499	-0.0722081	-0.012036	0.0125075	-0.0835099	0.0473144	0.0659078	-0.0472635	0.144678	-0.0485693	-0.00783695	-0.169568	0.0208308	-0.113054	-0.00182641	0.106719	0.0478202	0.0177505	-0.123786	-0.0681898	-0.124755	-0.120655	-0.0931822	-0.0241224	-0.129837	-0.0617197	0.0822539	0.0122256	0.0661969	0.0437434	-0.0552768	-0.195833	-0.116331	-0.0477134	-0.00831526	0.104661	-0.00578386	0.0693737	0.00663188	0.151955	-0.0529233	-0.105927	0.010939	-0.108506	-0.153537	0.120079	-0.137263	0.0148194	0.1043	0.132777	0.050305	0.0134529	-0.0637578	-0.0755878	-0.175731	-0.126608	-0.160972	-0.0622772	0.051305	-0.02224	-0.0324596	0.0623263	-0.0419723	0.231211	-0.0918413	-0.0270074	-0.0418799	0.0572502	-0.0549838	-0.0190744	0.0725055	0.0403855	-0.0381353	0.18693	0.00782905	-0.0025279	-0.171925	-0.154819	-0.000950767	0.00357229	-0.0677981	-0.0483658	-0.106805	0.0333611	-0.0468586	0.0688851	-0.00251686	-0.0483531	0.062965	-0.0944827	0.0135476	0.0369833	0.107597	0.161354	-0.0691921	0.00149554	-0.0294133	-0.00313023
DB05107	0.0351119	-0.0646567	0.00569637	-0.00885906	-0.00246727	-0.00598567	-0.0508966	0.118175	-0.00161665	-0.0124815	0.136656	-0.121177	-0.00882638	-0.151465	-0.0638188	-0.0452954	0.0564719	0.11352	0.0690808	0.0147157	-0.0887376	0.0440251	-0.0932861	-0.0279918	-0.0234498	0.017029	-0.113793	-0.0476901	0.00777959	0.0453882	0.124013	0.0235995	-0.0720303	-0.159093	-0.118521	-0.0455406	0.0179461	0.00550709	0.0199392	0.0467936	-0.0604861	0.145052	-0.043356	-0.0845047	0.0405391	-0.0358236	-0.148242	0.0111496	-0.0698665	-0.0460147	0.0774322	0.0826663	0.141037	0.02979	-0.012945	-0.076012	-0.125489	-0.0841102	-0.159015	-0.0890513	0.0809885	-0.00722508	-0.0387384	0.0600559	-0.0283354	0.141401	-0.0700597	0.00795075	-0.0723038	0.0416655	0.0617878	-0.011327	0.0801429	0.0663121	-0.0408584	0.097034	0.0278706	0.00551052	-0.128834	-0.13297	-0.0253416	-0.0260448	-0.0196417	0.033391	-0.120127	0.00372875	-0.0694734	0.0238148	-0.0280839	-0.00275269	0.0409908	-0.0286793	0.0433671	0.0856785	0.104397	0.0678501	0.00532777	0.0810589	-0.0168706	-0.0228639
DB00743	-0.0364159	-0.0988601	-0.0317922	-0.00795504	-0.0597068	-0.0105957	-0.0988222	0.12068	0.13214	-0.0322408	0.131475	-0.0841828	0.0291199	-0.174075	-0.04733	-0.0774608	0.0185446	0.102243	0.0492957	0.00703453	-0.0686678	-0.0504019	-0.116015	-0.0823453	-0.0895343	-0.0791726	-0.128188	-0.0506947	0.0809223	-0.0240976	0.0999507	0.0512584	-0.0782668	-0.160927	-0.0437896	-0.00901027	0.0155835	0.102831	-0.0298473	0.019768	0.0474844	0.186622	-0.0514061	-0.121559	0.000275148	-0.0716108	-0.152618	0.129638	-0.119365	0.00328987	0.13309	0.144894	0.048833	0.0199898	-0.0356506	-0.101134	-0.172265	-0.0338354	-0.215589	-0.0885754	0.0781836	-0.059891	0.00674795	0.0956005	-0.0206068	0.14154	-0.0206378	0.0221536	-0.0560007	0.0524942	-0.0291842	-0.0439401	0.0621841	0.0565609	-0.0255804	0.171751	0.021336	-0.0480723	-0.188111	-0.140351	0.0298392	-0.00279144	-0.00856751	-0.0619276	-0.0948088	0.0726505	-0.00224126	0.0218787	0.0196794	-0.0380744	0.0627449	-0.110097	0.0613828	0.0513907	0.123857	0.0688598	-0.0950998	0.0905554	-0.00718131	0.0116654
DB05101	-0.00123205	-0.0363858	-0.055568	-0.0515894	0.0145649	0.0391627	-0.0304333	0.0581504	0.0163592	0.0102093	0.0990765	-0.0885677	-0.0399938	-0.0868464	-0.00673761	-0.0647679	0.00420259	0.0663139	0.0610595	0.0015189	-0.0402473	0.0144507	-0.0161823	-0.055146	-0.0451086	-0.0213666	-0.0873881	-0.0417863	0.0667482	-0.0393253	0.131531	0.017028	-0.0492106	-0.145129	-0.0794416	-0.0621448	0.0127742	-0.0056932	0.00244327	0.0327575	-0.0567771	0.150102	-0.0288842	-0.12941	0.0101817	-0.0167097	-0.0828062	0.0247897	-0.11104	-0.0518057	0.0996536	0.150841	0.132811	0.0210375	-0.00442826	-0.0535281	-0.115807	-0.153824	-0.084324	-0.0746515	0.0765229	-0.00339773	-0.0427468	-0.00506781	-0.0109314	0.15559	-0.0391046	0.0538737	-0.0372348	0.00574161	0.00254124	-0.0198365	0.0810921	0.0707723	-0.00944553	0.128304	-2.86985e-05	0.0291393	-0.0294422	-0.0724149	0.010643	-0.0181112	0.0566142	-0.0512635	-0.0892073	0.0493032	-0.0601651	0.0140898	-0.0217006	-0.0639075	0.0053287	0.0423864	0.0237363	0.0449815	0.0928895	0.0504369	-0.00814093	0.0310968	-0.0713382	-0.0152682
DB05100	0.00860606	-0.103453	-0.0446639	-0.0601337	0.000429172	-0.0174209	-0.0358001	0.108554	0.0109309	-0.0627014	0.110215	-0.146119	0.0284042	-0.154614	-0.0548227	-0.0752653	0.090017	0.0869112	0.0428723	-0.0384617	-0.098203	0.00223543	-0.0982651	-0.0247783	0.00251773	-0.0378822	-0.102466	-0.0226328	0.0838579	-0.030868	0.111373	0.0189243	-0.0907714	-0.16173	-0.0404742	-0.00968459	0.0233526	-0.0131993	0.0130746	0.0177249	-0.0476372	0.135832	-0.0368569	-0.141042	0.0163541	-0.00568807	-0.14913	0.00685089	-0.052479	0.0167516	0.100722	0.0987898	0.140785	0.0243021	-0.0175529	-0.0671122	-0.127049	-0.101134	-0.146138	-0.0790637	0.105128	0.00450159	0.0275993	0.0314125	-0.00446259	0.16516	-0.0941177	0.0769538	-0.0700987	-0.00740791	-0.00152486	-0.0174894	0.055059	0.0751732	-0.0596027	0.0522552	-0.016382	-0.0109155	-0.126235	-0.137178	-0.00484833	-0.0329385	-0.0739672	0.00586168	-0.0756991	-0.0334076	-0.0355224	-0.00628458	0.000924057	-0.0120946	0.0661856	-0.0680925	0.0357691	0.0231978	0.113607	0.0666799	-0.00953144	0.0694441	-0.029772	-0.00693184
DB09161	-0.0260563	-0.133941	-0.067421	-0.0546033	-0.016154	-0.0260936	-0.0786731	0.0598355	0.0308243	-0.0016103	0.112538	-0.0893765	-0.0398975	-0.108651	-0.0546482	-0.0932515	0.110066	0.102987	0.041523	-0.0133233	-0.090897	-0.0187511	-0.106517	-0.0403674	-0.0130027	0.0367776	-0.0828556	-0.0447427	0.0567301	0.0149331	0.0635722	0.0401911	-0.0393503	-0.139153	-0.0329236	-0.0322477	-0.0354432	-0.00957927	0.000158847	0.0622652	0.0423408	0.126402	-0.0353739	-0.129232	0.0565209	-0.0323068	-0.144586	0.019846	-0.12219	0.00134791	0.105928	0.0489484	0.0307045	0.00468607	-0.0267713	-0.0388879	-0.130422	-0.0892697	-0.144729	-0.0338226	0.0411435	0.00434505	0.0281093	0.045544	-0.0215889	0.197056	-0.0848266	0.0721286	-0.0486076	-0.00283181	0.0554525	-0.023377	0.0642358	0.045619	0.00384948	0.119291	-0.0625556	-0.0153069	-0.12767	-0.152391	0.000674627	-0.096924	-0.061021	0.00266259	-0.0720046	0.0352817	-0.030819	0.0016889	0.00376691	0.00825904	0.0469048	-0.0909719	-0.0271703	0.0103594	0.108297	0.0529937	-0.0244091	0.0180834	-0.017048	-0.012447
DB09162	-0.0706098	-0.0587844	-0.0488212	-0.0188991	0.0198928	0.055471	-0.024286	0.0730126	0.0350258	0.0279555	0.152461	-0.0654858	-0.000203	-0.0807323	-0.0410812	-0.0808676	-0.00238907	0.1168	0.0548011	-0.0118838	-0.090317	0.034785	0.0307577	-0.0819227	-0.0838118	0.0347969	-0.0775177	-0.0355479	0.0518527	0.00454273	0.110423	0.0645202	-0.0427301	-0.100827	-0.0156238	-0.0199487	-0.0462081	-0.00329131	0.0376319	0.0485646	-0.0561508	0.0978462	-0.0364601	-0.115566	0.0265922	-0.0406292	-0.0408173	0.0611979	-0.12693	-0.0452649	0.131584	0.109725	0.0754225	-0.00194415	-0.0628296	-0.0522061	-0.139726	-0.119445	-0.140958	-0.0621837	0.0532263	-0.0337063	-0.0128241	0.0972822	-0.0453348	0.170331	-0.040977	0.0356091	-0.0384072	0.0169283	-0.0249567	0.00521709	0.0513779	0.0791331	-0.00427261	0.173024	-0.00324796	0.0413046	-0.121245	-0.129873	-0.00415213	-0.000449011	-0.00406307	-0.0542467	-0.0791291	0.0329498	-0.0164708	0.0114821	-0.019499	-0.0254758	0.018222	-0.00359219	0.0524711	0.0145825	0.0608546	0.089121	-0.0302033	-0.026746	-0.02536	0.0607696
DB05109	-0.0465988	-0.0341086	0.049857	0.00161805	-0.00961856	0.013901	-0.0780277	0.0545438	0.016389	0.000174975	0.166673	-0.0587054	0.00785242	-0.197112	0.00107841	-0.0949284	0.0438357	0.0803887	0.0698667	0.0172265	-0.102005	-0.054636	-0.12163	-0.117737	-0.101241	0.0346883	-0.138764	-0.0362687	0.101386	0.0154442	0.0762154	0.0814411	-0.0511647	-0.16126	-0.0579603	-0.00704976	0.0225641	0.0928644	-0.0157474	0.0575947	-0.0458051	0.209683	-0.0605689	-0.064235	-0.0297686	-0.0581535	-0.158024	0.133023	-0.0779978	-0.055539	0.0571997	0.130921	0.045503	-0.030554	-0.0955286	-0.1089	-0.213036	-0.121103	-0.155942	-0.0806682	0.134475	0.0109167	0.0279406	0.150796	-0.00892952	0.172769	-0.11079	-0.00954727	-0.0744372	0.0540119	-0.0419338	-0.0302887	0.074655	0.0428254	-0.0732241	0.192109	0.0286874	-0.0102005	-0.107275	-0.162773	-0.0170334	-0.0228044	-0.0243549	-0.0650414	-0.0844827	0.0303644	-0.0284235	0.0600256	-0.0479101	-0.0488313	0.045503	-0.0979161	0.000151039	0.0411192	0.0986742	0.106621	-0.0915278	-0.000408765	-0.0298337	0.00689289
DB01319	-0.0726009	-0.0435491	0.0273049	-0.017618	-0.00984577	0.000274794	-0.120291	0.0567273	0.049994	-0.0471551	0.160408	-0.0590858	-0.00260125	-0.223695	0.00887923	-0.139821	0.000226905	0.0707679	0.0846071	0.0264996	-0.11502	0.0106439	-0.111648	-0.0683231	-0.0668311	-0.0222482	-0.135028	-0.0530905	0.104371	-0.0171477	0.0706329	0.0637104	-0.0309829	-0.182563	-0.0222275	0.00621219	0.0202403	0.00405563	0.00199754	0.0568514	-0.0327384	0.159691	-0.0653433	-0.0772765	-0.00217894	-0.0445109	-0.161867	0.107896	-0.0840961	0.0182812	0.118637	0.137569	0.0185097	-0.0246215	-0.0397539	-0.121986	-0.18727	-0.105857	-0.135839	-0.11731	0.0818682	-0.0105733	-0.010444	0.1268	-0.0362524	0.166935	-0.0820434	0.001302	-0.113029	0.0536392	-0.0630834	-0.0635444	0.0929507	0.0376195	-0.062355	0.161826	-0.000347041	-0.0257297	-0.144511	-0.178368	-0.0280556	-0.0307998	-0.0364856	-0.0150108	-0.113913	0.0629532	-0.0227737	0.0226416	-0.0754902	-0.0429405	0.0382649	-0.0940123	0.0644641	0.0533729	0.118299	0.0899508	-0.0270145	-0.0024401	-0.00716904	0.0370468
DB01178	-0.0186621	-0.0672654	-0.0430187	-0.00894205	-0.0226247	0.0080195	-0.0517239	0.120473	0.0385528	-0.0514195	0.140655	-0.086716	0.0240337	-0.165951	-0.0335658	-0.0997202	-0.0110239	0.147817	0.0618589	0.0295595	-0.0993084	-0.02036	-0.0704287	-0.141228	-0.0621414	0.0286166	-0.118031	-0.0525739	0.0927403	-0.0316701	0.0784574	0.0597121	-0.0707217	-0.198337	-0.089277	-0.0335419	-0.0154813	0.0967367	0.00734138	0.0608027	0.0450335	0.165625	-0.04998	-0.0731819	-0.0202814	-0.0789478	-0.130313	0.0915947	-0.10776	0.00536271	0.104178	0.131183	0.0656979	0.0419597	-0.0752554	-0.125159	-0.169013	-0.0472576	-0.149608	-0.120638	0.105606	-0.0519684	-0.0561551	0.058527	-0.0420025	0.180571	-0.0903194	-0.0231155	-0.0539953	0.067612	-0.0353466	-0.0285797	0.0735438	0.0548242	-0.0814557	0.165742	0.0226984	-0.0456397	-0.109659	-0.184754	-0.0228522	-0.0162283	-0.00084467	-0.0472994	-0.0750973	0.0477736	0.0139505	0.0302767	-0.0126879	-0.0219226	0.0624352	-0.124452	0.0307676	0.0757015	0.151712	0.122521	-0.0834373	0.0474691	-0.0124167	0.0131895
