Entity	feature0	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24	feature25	feature26	feature27	feature28	feature29	feature30	feature31	feature32	feature33	feature34	feature35	feature36	feature37	feature38	feature39	feature40	feature41	feature42	feature43	feature44	feature45	feature46	feature47	feature48	feature49	feature50	feature51	feature52	feature53	feature54	feature55	feature56	feature57	feature58	feature59	feature60	feature61	feature62	feature63	feature64	feature65	feature66	feature67	feature68	feature69	feature70	feature71	feature72	feature73	feature74	feature75	feature76	feature77	feature78	feature79	feature80	feature81	feature82	feature83	feature84	feature85	feature86	feature87	feature88	feature89	feature90	feature91	feature92	feature93	feature94	feature95	feature96	feature97	feature98	feature99	feature100	feature101	feature102	feature103	feature104	feature105	feature106	feature107	feature108	feature109	feature110	feature111	feature112	feature113	feature114	feature115	feature116	feature117	feature118	feature119	feature120	feature121	feature122	feature123	feature124	feature125	feature126	feature127	feature128	feature129	feature130	feature131	feature132	feature133	feature134	feature135	feature136	feature137	feature138	feature139	feature140	feature141	feature142	feature143	feature144	feature145	feature146	feature147	feature148	feature149	feature150	feature151	feature152	feature153	feature154	feature155	feature156	feature157	feature158	feature159	feature160	feature161	feature162	feature163	feature164	feature165	feature166	feature167	feature168	feature169	feature170	feature171	feature172	feature173	feature174	feature175	feature176	feature177	feature178	feature179	feature180	feature181	feature182	feature183	feature184	feature185	feature186	feature187	feature188	feature189	feature190	feature191	feature192	feature193	feature194	feature195	feature196	feature197	feature198	feature199
<http://bio2rdf.org/drugbank:DB00682>	0.18831733	0.023552211	-0.103550784	0.22172497	-0.77301425	0.066485465	0.16018629	0.46829176	0.2827748	-0.41822264	-0.2917141	0.008739667	-0.35905546	-0.56964207	0.54113865	-0.14232571	0.6403174	0.56608826	0.12881288	0.16420345	0.29736978	0.45290762	0.739861	0.34733942	0.62350833	0.45336205	-0.08098883	0.048563126	0.3512197	-0.050775047	-0.23695906	0.32927954	-0.05800623	-0.1897607	0.90734	-0.061807048	1.126629	0.098992646	0.35292178	-0.5310386	-0.17669386	-0.102490604	0.5434687	0.7849864	0.08361179	-0.74892765	0.00910232	-0.25645047	0.06465516	0.2801701	0.49218747	0.011101412	0.12700598	-0.1301913	0.52010983	-0.1523255	0.3088495	0.088908836	-0.4055743	0.41362932	-0.09068182	0.12616621	-0.27135533	-0.43090248	0.136375	-0.07500428	0.1913703	-0.14924206	-0.29605618	-0.04245812	0.13465996	0.18142022	0.026751325	0.47568086	0.13984561	-0.11858821	0.84255445	-0.5989885	0.6219061	0.36850098	-0.52730423	0.123867415	0.2238371	0.2476108	0.020677323	-0.12128914	0.29573223	-0.012563001	-0.18989727	0.07139208	0.2419541	0.6394966	-0.23327753	-0.06680499	-0.48372102	-0.72045094	0.17024831	-0.4848469	0.42696983	-0.7259112	0.027957575	0.036088374	-0.58606833	0.4640871	-0.28713512	-0.16573034	0.20226045	0.39699328	-0.67319846	-0.0018734869	0.034260526	-0.38824937	-0.6325382	0.412937	0.38604078	-0.083961934	-0.0102894865	-0.33591455	0.11398831	0.10152676	-0.10091221	-0.23757264	-0.46001422	0.18891543	-0.06448277	-0.16089474	0.029679276	0.20044358	-0.24451327	-0.21913604	0.586644	-0.3671519	0.39523754	0.08232421	0.069567636	0.4106413	-0.041393965	-0.39050314	-0.7461832	-0.055865385	0.10545146	-0.051436126	-0.41419452	-0.045078672	-0.5882448	-0.1369168	-0.8327716	0.03411539	-0.54414624	0.63544756	0.726276	-0.6544073	-0.01278398	0.4707187	0.2885143	0.0981757	0.54863846	-0.14544743	-0.31233814	0.6548221	0.03748009	-0.022179728	-0.5816113	0.1198183	0.13005956	-0.114737734	0.03073598	-0.05445565	0.42718092	0.38939834	-0.114065535	0.11678045	0.3992249	-0.28599995	0.12536652	0.14496174	0.25106388	-0.07696838	-0.50119686	-0.6310169	0.38866714	-0.25460774	0.078010485	-0.14919417	0.23996332	-0.4295647	-0.04362487	0.43962944	0.64787257	-0.6443212	-0.6607998	-0.058322333	0.20950037	-0.26928028	0.5261481	-0.5583902	0.47915363	0.46324277	0.28524587	0.46309015
<http://bio2rdf.org/drugbank:DB00564>	0.3281672	0.07076931	0.17583764	0.021838704	-0.42599362	-0.36189726	-0.10036939	-0.2358935	-0.030771047	-0.17850484	-0.47441497	0.39769942	0.15739256	-0.6162369	-0.21296452	0.2699852	0.11327463	0.246048	0.056321595	0.040660266	0.14634964	0.7572728	0.14125733	-0.25139984	-0.13026194	-0.24316867	-0.31507316	-0.13736074	-0.30223432	-0.06752054	0.6127659	0.5282434	-0.09145573	0.34017783	0.52157295	0.23673812	0.5930564	0.5173807	-0.1404832	-1.0116404	0.23922376	-0.22666866	0.21406607	0.006196158	0.31229362	-0.25992092	-0.01604015	0.26849318	0.30047652	0.15033326	0.9135292	0.29170445	-0.47037053	-0.36313525	0.023274496	0.15488192	0.6419023	0.08851634	0.33892387	-0.0016864107	0.3691382	-0.24032903	-0.008581515	-0.47518972	0.5985336	-0.044144083	-0.033315662	0.16830485	-0.53347564	0.030722165	-0.49472296	0.37032148	-0.33445686	0.05191113	0.10794664	-0.2325843	0.3706217	-0.62461686	-0.49293026	0.2581275	-0.8144187	1.0038904	0.38692823	0.5474649	0.70058274	-0.73951	-0.5208841	-0.06743291	0.26517728	-0.39137816	0.16911325	-0.05530597	0.4657926	0.14319858	-0.1820297	0.056633506	0.7215639	-0.35555777	-0.41316026	-0.59635127	0.79519457	-0.046340197	-0.22505043	0.13693462	-0.21158828	0.42511392	0.59931743	0.35948724	-0.1876148	0.072583966	-0.024749514	-0.28145403	-0.3635098	-0.11299595	-0.28066552	0.50085974	-0.03203585	-0.6607641	-0.597042	0.11704245	0.024876904	-0.5345676	-0.1312537	0.07040428	-0.01823184	-0.13360345	-0.0037005206	-0.586831	-0.47181493	-0.1755899	0.19494575	-0.98920375	0.37650436	0.40948352	0.14152056	0.12568693	-0.09586228	0.06721023	-0.8067876	0.117271446	0.17521079	0.20974085	-0.067808345	0.6152981	-0.41074577	-0.23750195	-0.616046	0.24216329	-0.005631208	0.07562166	1.0788617	0.047637504	0.35919803	0.7671318	-0.3754794	-0.18895064	-0.024404738	-0.07292456	0.25127316	0.33679068	-0.30152926	-0.4645241	-0.37931693	-0.011259567	0.31745574	0.14705247	0.65324134	-0.54141986	0.2814843	0.4101998	-0.19356975	0.16563828	-0.35516348	-0.18777527	0.32654408	0.04970134	-0.14318253	0.1879979	-0.5602941	0.1629197	1.030729	-0.1834612	-0.36047214	0.8172487	-0.5591401	0.039534062	0.3254637	0.015713261	0.63102275	-0.1214798	-0.4827763	-0.0342741	0.29316005	-0.20370775	0.28608203	-0.4016256	0.37271512	0.48661295	-0.23066771	0.7699766
<http://bio2rdf.org/drugbank:DB00252>	0.17779078	-0.45388865	0.3106611	0.027300611	-0.3044783	0.2570239	0.09166252	0.11415758	-0.3447886	-0.7943728	-0.9708316	-0.13267268	0.1388256	-0.92492026	-0.04342832	-0.42310435	0.4183589	0.4606694	0.15152055	-0.33966735	0.08334614	0.2993168	0.2190678	-0.0996143	0.33745727	-0.1572429	0.27712587	0.11624398	0.6775772	0.24876325	0.081702895	0.6452425	0.19033642	-0.44034988	1.1261573	0.252491	0.27712238	0.20084536	-0.01287057	-0.70677024	0.13691409	0.1846588	-0.41424552	0.31152874	0.05099599	-0.5159062	-0.46051437	0.009327912	-0.16679658	0.49294207	0.37844422	0.39412633	-0.26514828	-0.18257983	0.34664768	0.009479617	0.20977351	-0.08650882	-0.08252102	0.0026051414	0.07785827	-0.011570765	0.40794513	-0.15035063	-0.34863275	-0.11210166	-0.3399789	-0.11035336	-0.6317612	-0.46974763	-0.10749809	0.3928438	0.05697174	0.2640272	0.39554006	-0.33644098	0.5063227	-0.1561242	-0.7608897	0.62816465	-0.5761301	0.5274554	0.18052013	0.080078214	0.2854461	-0.5094921	-0.1510212	0.19615138	0.4319066	0.008523436	0.37051082	0.35750887	0.35389772	0.15269907	-0.5092861	-0.64204514	0.72023004	0.27608275	-0.42517194	-0.5253068	0.26243684	-0.14836632	-0.07058114	0.18288125	-0.541931	0.09416103	0.5663722	0.33659837	-0.18441573	0.25279287	0.31798795	0.01359716	-0.29682085	0.21928939	-0.7039781	0.03644284	0.03601554	-0.28798765	-0.7014957	-0.002385974	-0.39545992	-0.78724325	-0.3585636	-0.09153093	-0.4018171	-0.063172445	-0.020923577	-0.07550577	-0.5053921	-0.26055643	0.36642805	-0.9279771	0.3931011	0.4195179	0.020425078	0.010415428	0.24025263	0.024888545	-0.5349905	-0.34846714	0.24492475	-0.15833887	-0.019162295	0.65147156	-0.36534172	-0.10031507	-0.9668705	0.32234237	-0.09852427	0.70459574	0.76581097	0.062100176	-4.3834198e-06	1.0212816	-0.5595247	0.17776024	0.49717292	0.46563542	-0.49378052	0.46339452	-0.27586272	-0.3011167	-0.7338501	-0.3636101	0.34943634	-0.18137197	0.3021302	-0.21794188	-0.14384565	-0.039421935	-0.13321298	-0.07527532	-0.3885463	-0.0072984938	0.16303866	-0.117618024	-0.20889556	0.2575941	-0.355447	-0.046254054	0.7741313	-0.14057401	-0.14572859	-0.13758606	-0.19413893	-0.045608576	0.072158046	0.5838417	0.28267685	-0.44661197	-1.1510142	-0.32709995	0.4442451	0.0057676877	0.34918216	-0.39048973	0.7028612	0.59659916	0.12683728	0.8457043
<http://bio2rdf.org/drugbank:DB00669>	-0.23882942	0.48609394	-0.098696455	0.41211638	0.07431427	0.93114066	-0.11296417	-0.046636187	0.25796732	-0.43093875	-0.40686482	0.86220944	-0.032042116	0.058169916	0.04211113	-0.13603768	-0.53015536	0.6052819	0.40105608	0.056073267	-0.11024077	0.24275126	0.20774263	0.7246106	-0.13983287	0.84954727	-0.18966103	-0.38381568	0.2937639	0.68395233	-0.13590387	0.17638932	-0.28522858	-0.15975527	0.95684403	-0.102751665	1.136564	0.26193103	-0.338948	-0.291077	0.031877227	-0.4788853	0.052950043	-0.007304025	1.1197433	-0.2978391	0.34859398	-0.044010222	-0.3266672	0.041635938	0.29710826	0.55564547	-0.058918722	0.21041457	0.06772568	-0.0031756756	1.0496527	-0.14232379	0.4841132	-0.06822372	0.2888872	-0.014180496	0.16061686	0.78359	-0.24204092	-0.28586316	0.13540828	-0.20820636	0.3772973	0.34102315	-0.13224187	0.15014492	-0.21678184	-0.14764206	0.6073415	-0.12314821	-0.074576594	0.11628644	-0.038822047	0.55392355	-0.64944166	0.62881964	0.26374507	0.09513103	0.11180984	-0.20283501	0.34427828	-0.12241991	-0.074989945	-0.10731467	0.30097857	0.07147046	0.71576333	-0.34955928	-0.3717276	0.0031596816	0.85840374	0.08226094	0.14523882	-0.5933252	-0.4190293	0.045934606	0.06274673	0.079600655	0.20828667	-0.9447396	0.7849793	0.64953464	0.24378708	-0.034272477	-0.1256655	-0.27910596	0.08053858	0.35443088	0.29623517	-0.36561155	0.21428965	-0.3957584	-0.35075262	-0.103737086	-0.6984786	-0.06795948	0.114061296	-0.32616797	0.17359535	-0.2679658	-0.24070501	0.44568217	0.3621103	-0.7702072	0.046642896	-1.0200857	0.78390527	0.07872412	-0.5757861	-0.3819928	0.09277907	-0.5465026	-0.31211576	-0.30008483	-0.040906623	0.5068583	-0.28178468	0.9266593	-0.11499884	-0.5188696	-0.6340764	0.43642	-0.72307307	0.7730235	0.19359678	0.29472834	0.06948468	0.39455414	0.22585806	0.112216875	0.7326207	0.3473463	0.0030204481	0.36653382	-0.96936	0.9522717	-0.5149467	-0.37520117	0.031724837	0.42073593	0.7730927	0.031241339	0.031005127	0.35355353	-0.17369968	-0.20817861	-1.6752428	-0.100432135	-0.32978767	-0.54162896	-0.016556585	0.62316984	-0.18965328	0.302814	0.59234685	0.14583874	0.21027784	0.536695	-0.36359504	0.56063616	0.05275933	1.2207223	-0.26142526	0.39848045	-1.2304404	-0.009467918	-0.07827163	-1.0386609	-0.07598313	-0.21675082	0.8428128	0.14364368	-0.25901484	0.8416373
<http://bio2rdf.org/drugbank:DB01418>	-0.63565874	0.009232582	0.03129697	-0.09453356	-0.7245375	-0.30518907	0.34160858	0.69286495	0.20711014	0.005977516	0.25048426	-0.16289164	-0.24649677	-0.75890374	0.6566091	0.6382627	0.6751473	0.2070406	0.16760291	0.19921537	0.15793784	0.27043653	0.41821948	0.5998983	0.23743244	0.5139619	0.43285686	-0.038697347	0.23402826	0.3900509	0.073795214	0.68319005	-0.37417468	-0.29813358	1.2318134	0.25217244	0.87284106	0.24100974	0.56607187	-0.5117353	-0.11726268	0.113315135	0.15358005	0.20679638	-0.033811178	-0.9601721	-0.37718046	-0.23309305	-0.17515199	0.6127883	0.81864864	0.13815913	-0.17083624	0.4135065	0.6816638	-0.13396513	0.739978	0.219822	-0.22882013	-0.012010468	-0.056249302	0.1276948	-0.4337858	-0.15618844	0.1471246	-0.2516081	-0.22336158	0.25467274	-0.09426977	0.14353538	0.055989746	-0.12256467	0.111436404	-0.03005708	0.30690134	-0.27749178	0.48434845	-0.7635573	0.13126661	0.32559803	-0.35499632	0.7375884	0.5472071	0.16638981	0.38118798	0.1703948	-0.020309296	-0.03923628	0.79793566	-0.22351842	-0.057907548	0.4807258	-0.53490674	-0.02903251	-0.41180834	-0.2726239	0.82988274	-0.15036114	0.1630632	-0.36592993	0.2304993	-0.027768193	-0.7560305	0.27309272	-0.28907433	-0.12149458	0.18162347	0.5139508	-0.7751591	-0.19928141	-0.4273344	-0.2873296	0.11282265	-0.267909	-0.22698934	-0.04989931	-0.028450437	-0.19644204	-0.2994064	-0.2336491	-0.32318532	-0.11502418	-0.2999777	0.17270179	-0.23788951	0.1361619	-0.017981248	0.031472582	0.27732837	-0.44673586	0.72042173	-0.29343268	-0.022384817	-0.021925064	0.24107327	0.5353618	-0.6609613	-0.4268676	-0.77808416	-0.15576619	-0.05394978	0.37205282	-0.61043125	0.20644768	-0.019280117	-0.27905607	-0.77133924	0.07591075	-0.37100068	0.830705	0.47975072	-0.28265616	-0.055820417	0.08244744	-0.23320235	0.078521654	0.6855549	-0.19029148	-0.3321539	0.3499885	-0.29708302	-0.58643144	-0.6058615	0.30889833	0.06278758	0.16213007	0.62031513	-0.46863443	-0.066422395	0.39444467	-0.026387686	0.0800294	0.18582822	0.18150522	-0.4730909	-0.22193688	-0.05192724	0.19412935	0.038745183	0.058091737	0.5878895	-0.11640167	-0.20131603	0.09792365	0.5538448	-0.23019189	-0.11580289	0.53259236	0.29272386	-0.516901	-1.023936	-0.4459439	0.6109087	-0.029521741	0.9855448	-0.0046522794	0.6607461	-0.20710553	0.15118271	0.3411962
<http://bio2rdf.org/drugbank:DB00338>	-0.7228646	-0.0365401	-0.04397951	0.19017078	-0.15405661	-0.3091598	-0.014254428	0.30921	0.56237113	-0.8208711	-0.1742196	0.08180928	0.5408474	-0.6436415	0.2592564	-0.42289913	0.4145386	0.11053911	0.020286206	0.69930744	0.537626	0.077277936	0.06802181	0.1407313	-0.28065887	-0.3099092	0.30876094	-0.51123184	0.31189957	-0.06519524	0.1803708	0.1122367	0.14785048	-0.41735294	0.8011886	-0.08478331	1.1613464	0.70123315	-0.5822966	-0.49932042	0.05597338	-0.2562839	0.32549	0.55648017	0.6374224	-0.75352293	-0.43727836	0.35158086	-0.12142944	0.27220285	0.946752	0.64646673	0.060337797	0.16961282	0.53263986	0.2950309	0.041256074	-0.38959825	-0.21101134	0.29367995	0.16389857	-0.3649298	-0.45531848	-0.105011255	0.15637407	0.29459274	-0.03873324	-0.16285105	-0.26441315	-0.04403369	-0.029548312	0.013438031	0.36517048	-0.04735807	0.1244036	-0.08986889	0.3359177	-0.8426729	-0.59599113	0.7851753	-0.31257758	0.23099566	0.28694427	0.15161738	-0.025653375	-0.64934367	-0.019752845	-0.14280078	-0.14163984	0.5520206	0.36549258	0.15319312	-0.1604341	-0.0061803875	-0.79209673	-0.54120165	1.0382951	0.06951045	-0.36673322	0.0630512	0.016969178	0.92852384	-0.38642472	0.4059494	-0.45807913	-0.2771768	0.53946525	0.1139651	-0.44758725	-0.1308531	-0.07831601	-0.5792728	0.35363656	-0.014365302	-0.38291043	0.067664385	-0.27929395	-0.4694013	-0.65323645	0.38918456	-0.64343	-0.32031053	0.20035763	0.29037276	-0.043432508	-0.21643575	0.09456645	0.08596935	-0.10973943	-0.3953234	0.5965229	-0.3217946	0.141564	0.003243969	0.0422657	-0.1134398	-0.6965806	-0.7500843	-0.22482435	-0.42312455	-0.36687234	0.5801399	-0.0337633	0.079684354	0.05744969	0.22858709	-0.84759426	0.17032605	-0.45013905	0.16085751	0.8149004	-0.5231671	0.67433167	0.22142498	-0.16759373	-0.32393163	0.010499537	0.016982041	0.5224183	0.70669895	0.021094002	0.1002415	-0.020949109	-0.33406502	0.037597314	-0.027198732	-0.054940257	0.064723544	-0.14669865	0.3715345	-0.38530746	0.41634494	-0.41834918	0.47681633	-0.32732606	0.0269129	-0.18965197	0.30341598	0.18453069	-0.17736094	0.64436185	0.16777556	0.355766	0.51268625	0.11473746	-0.44415238	0.040492017	0.6186037	0.16732569	-0.12140874	-0.32047898	-0.15577152	0.79381853	-0.58333653	0.49818537	0.19630805	0.37042192	0.3018336	-0.82701063	0.28182754
<http://bio2rdf.org/drugbank:DB00051>	-0.23121066	0.10331832	0.0018811107	0.527397	-0.688452	0.06481785	-0.23153134	0.18969105	0.5981909	-0.7395003	-0.104138024	0.4300644	-0.052540183	-0.37645227	-0.16858746	-0.17151906	0.30955815	0.32695293	0.39712825	0.41033366	-0.04840828	-0.27075163	0.11325887	-0.19643696	0.00876359	-0.45278868	0.11308331	-0.11500898	-0.22781236	-0.9745482	0.7226867	-0.32378381	0.46511444	-0.5324015	0.45286456	-1.009536	0.06874701	0.4498518	-0.20467241	-1.0773212	0.08413679	-0.35767213	-0.42573464	0.5832276	0.83175534	-1.3098202	0.25673103	0.6546205	-0.85567147	0.45507225	0.8008717	-0.09294291	-0.11322193	-0.10479182	0.6449209	0.07466375	0.5723441	0.13045175	-0.024335826	0.6695216	0.36886543	0.5058356	0.095925026	-0.58125514	-0.09080409	0.30795744	-0.48434094	0.26898	-0.15696822	0.27682632	-0.36637095	-0.21268466	-0.006522768	-0.08520154	0.34528106	-0.47411463	0.28400287	-0.4828094	-0.032410767	-0.4625613	-0.59539527	0.87121576	0.42076403	0.6726893	0.096224025	-0.4448727	-0.54017603	-0.6957628	0.17455082	-0.36545202	0.24962775	0.2902921	0.31229615	0.1939697	-0.775052	-0.39931902	0.72676235	0.37446034	-0.024889262	-0.13197601	0.025927776	0.4317328	-0.39444593	0.06612307	-0.2941259	0.3347601	-0.23302752	-0.18932669	-0.03501416	-0.37416926	0.11956938	0.42815703	-0.07186976	0.09591516	0.18112566	0.312291	0.22893485	-0.46619257	-0.22386225	0.2509072	-0.6815331	-0.94023585	-0.08819366	-0.57089627	-0.03666137	-0.15002424	-0.20900452	-0.3947577	0.31525806	-0.606961	-0.17770913	-0.2261861	0.018762337	0.43451923	-0.46701875	0.35051334	0.15162662	-0.17481124	-0.15094157	0.2998859	0.39951646	0.5197779	0.104576595	0.64730567	-0.3433361	-0.02980185	0.080408655	0.69519705	-0.35402608	0.5312903	0.8612131	-0.019799544	-0.21498178	0.8986781	-0.5542854	-0.37962678	0.35795465	0.3720047	-0.22385037	0.90906316	-0.5845433	-0.36352196	-0.09125802	0.028056506	-0.46622273	0.305351	0.34329942	0.34830764	-0.021451078	0.20737039	-0.38211882	0.38543618	0.6030551	-0.28305176	0.50088197	-0.024714293	0.0062906775	-0.23405595	-0.36714503	-0.8182794	0.3322588	-0.2854705	-0.41726518	-0.13080984	-0.31896317	0.040152248	-0.14013003	0.79532665	0.15195969	0.28213242	-0.5170082	-0.28083584	0.32100588	-0.6765808	0.26857045	-0.8686448	0.20503616	0.6547946	-0.60837346	0.42885968
<http://bio2rdf.org/drugbank:DB00005>	0.14376037	0.95489275	-0.022973958	1.000119	-0.34601846	0.12941533	-0.4139663	0.4754464	0.29239532	-0.31245556	-0.25087956	0.2391381	-0.5090859	-0.2806786	0.34228185	-0.2927443	-0.07770104	0.55022615	0.4105457	0.46690387	-0.43965033	0.17560907	0.1321352	-0.22782512	-0.09926363	-0.35353184	-0.11924876	-0.048810173	-0.2918101	-0.47921485	0.71770275	-0.32192442	0.136502	-0.5724009	0.82409954	-0.47365323	0.17685798	0.5551077	0.07219984	-1.406013	0.15155692	-0.25280774	0.13499267	0.4050376	1.0553907	-1.4365119	-0.603602	0.24997103	-0.55768615	0.30219468	0.6827767	-0.08918552	-0.19452977	-0.19219407	0.715514	0.58426166	0.8457328	0.17316003	-0.046694778	0.33342522	0.42650783	0.09505997	-0.1177625	-0.47338256	0.14031121	0.3464895	0.056548197	-0.5785235	-0.3120156	0.436968	-0.26081163	-0.18150865	0.15948911	-0.10441562	0.11894017	-0.39075682	0.21788433	-0.6306596	0.15445949	-0.23601899	-0.90868825	0.23785207	0.48997337	0.6810971	0.087730914	-0.7497438	-0.6120756	-0.6702458	0.4883042	-0.0024351142	-0.16173245	0.07073805	0.5631103	0.12351037	-0.5685905	-0.03301477	1.0893509	0.07231394	-0.23224133	-0.38661665	0.2934074	0.69268185	0.167123	0.031497028	-0.11758245	0.063953675	-0.097966224	0.15932359	0.03279105	-0.51153433	0.21758512	-0.081010304	-0.23276646	-0.0712064	-0.02466975	0.13603172	-0.04319286	-0.49552566	-0.11143822	-0.008359935	-0.48324436	-0.81075495	-0.36061117	-0.54299223	0.20465423	0.17151166	-0.9172432	-0.020479092	-0.029075539	-0.4033341	-0.24619873	-0.23561381	0.12069485	0.63091856	-0.35304257	-0.35163745	-0.054166608	-0.8254691	-0.10065858	0.23024456	0.7644889	0.64428246	-0.3248174	0.31376708	-0.4364552	0.094407186	0.12793615	0.48223922	-0.30700567	0.28372535	0.80190176	0.39444494	-0.091069676	0.76671255	0.0034326315	-0.02485456	0.47793773	0.35561708	-0.3923087	0.5703627	-0.81959784	-0.17472263	-0.2741049	0.077967644	-0.5748466	0.3441892	0.6136511	0.59744	0.043381076	0.2036271	-0.31570375	-0.06540821	0.8646926	-0.5649363	0.039694607	0.14978462	0.37591535	-0.09767715	-0.34203884	-0.05617153	-0.08931269	-0.097420335	-0.08424027	-0.08094418	-0.38445377	0.12132442	0.33839136	0.5902049	0.046523005	-0.06277991	-0.3583178	-0.16154212	0.27070507	-0.37295645	0.4928072	-0.7508408	0.052933693	-0.21307315	-0.39394018	-0.102919966
<http://bio2rdf.org/drugbank:DB00065>	0.18850692	0.5599943	0.13818565	0.7001463	-0.39488983	0.15701722	-0.63784117	0.2474341	0.3225737	-0.21861471	0.43460163	0.2731727	-0.22534062	-0.44862765	-0.08593277	0.06845932	0.49668816	0.0919903	0.19297764	0.2938239	-0.34207296	0.14004591	-0.005652139	0.02541984	0.041549087	-0.5295958	-0.0134777725	0.07683569	-0.12190599	-0.24275331	0.28424212	-0.041591465	0.061921496	-0.58701396	0.6445858	-0.5811114	0.43768162	0.3139895	-0.20707041	-1.1280452	0.58805263	-0.7501085	-0.4291658	0.6786895	1.1107067	-1.5988262	-0.12450904	0.051837176	-0.27949476	0.36524624	0.71861243	-0.018914817	-0.13868818	-0.24694036	0.8148445	0.48290795	0.7085593	0.11760039	-0.5665002	0.0016866402	0.26452774	0.10742844	-0.40756434	-0.3802464	-0.10362109	-0.25855523	-0.11673498	0.08816715	-0.35367832	0.37087914	-0.2659176	0.14267068	-0.022933671	0.21523963	-0.088439964	-0.56149834	0.40204123	-0.5146448	0.23342036	-0.5474659	-0.3735002	0.70997506	0.26858142	0.539436	-0.0302349	-0.51372606	-0.26974037	-0.5817779	0.37724838	-0.22256517	-0.46691307	0.29964876	0.30503383	-0.103558995	-0.6916278	-0.25863826	0.7633899	0.18072294	-0.22769618	0.19088262	0.09800231	0.558391	-0.045132533	-0.33650222	-0.3309057	0.22074683	-0.09721653	-0.12348864	-0.20830838	-0.46191362	-0.042025834	-0.41790783	0.12513562	-0.45991185	-0.16048644	-0.065991595	-0.050042365	-0.69971156	-0.20636764	0.08062109	0.004367636	-0.4633724	-0.6685651	-0.7029428	0.59623504	-0.32931435	-0.5427911	-0.21731488	0.44971097	-0.76109785	-0.13884903	-0.30013072	-0.2823393	0.24557683	-0.14375451	-0.10417015	-0.21164677	-0.8831874	-0.069132045	0.5232898	0.36551738	0.5928841	-0.34272936	0.738487	-0.83784634	-0.10468837	-0.38216966	0.6225476	-0.3097762	0.40437675	0.3359818	-0.26712933	0.013014325	0.6457368	-0.27046153	-0.22468422	0.15211277	0.5023127	-0.178125	0.6562393	-0.5486765	-0.4430986	0.21759136	-0.09524421	-0.7582908	0.33264822	0.72401977	0.66106725	-0.23979133	-0.0516112	-0.44186753	0.31202167	0.5992296	-0.19640033	0.27676836	0.35097864	-0.061984513	-0.5634841	-0.4245541	-0.24568525	-0.0103265075	0.25648835	-0.17723872	-0.021680836	-0.19336471	-0.04030387	0.496393	0.33777097	0.27033705	0.13963565	-0.5909661	-0.16573837	0.40215096	-0.61519533	0.3535639	-0.57080704	0.1719478	0.23687969	-0.37514344	-0.22277117
<http://bio2rdf.org/drugbank:DB00413>	-1.0950072	0.5483201	0.23579255	0.2813589	0.09245308	0.22233066	-0.018526006	-0.1326697	0.7507125	0.37691164	-0.22287908	-0.07550596	0.47628275	-0.051999856	1.180259	-0.3526211	0.24294749	0.44502953	-0.5597824	0.22159924	0.080928706	0.39155942	0.050968308	0.6819343	-0.28715637	0.39443725	-0.6739322	-0.5009464	0.12759721	0.24213095	-0.021212628	0.17349334	0.26252717	-0.30826962	0.49253035	-0.29005	0.64128965	0.476067	-0.23286079	-0.7898658	0.5000386	-0.07676241	0.03626901	0.019364255	0.3653259	-0.8058483	0.0019159489	0.3450271	-0.7086511	0.03174587	-0.03339805	0.7390919	-0.38798875	0.39399537	0.63845295	-0.08454066	0.8024325	-0.46352324	-0.114435196	1.2015711	0.19298545	0.11383084	0.8291822	0.3008652	1.0955498	-0.07534454	0.2429379	-0.38183767	-0.0298807	0.23913851	-0.3892615	-0.7678375	0.17887314	0.1968704	0.77945936	0.033103358	0.48499843	-0.51296633	0.15982893	-0.13615876	-0.92035526	1.1228908	-0.13049404	-0.18631095	-0.24733561	0.06664279	0.24354199	-0.26810154	-0.15012227	-0.15882123	0.3520225	0.39882657	1.0461488	-0.7728616	-0.76743335	-0.61874354	1.036757	0.26537466	0.027463462	0.0051624565	-0.44408634	0.20066062	0.5989239	-0.22046843	0.19503094	-0.016161934	0.6622746	0.21958877	-0.23021543	0.04868949	0.39381668	0.42199245	0.47010446	0.3208833	0.38157374	0.2030939	0.41842422	-0.015129753	-0.46892208	-0.42815378	0.24504213	-0.23743796	-0.22658713	-0.16171226	0.35803276	-0.3095431	-0.3242102	-0.52795434	0.3091676	-1.1841965	0.42804292	0.003980072	0.6486631	0.2532449	-0.061003543	0.13110358	0.40046892	-0.78335255	-1.066391	0.3175371	-0.14092952	-0.15703031	-0.44833142	-0.3259848	-0.25969335	-0.6305572	-0.6874744	0.39922702	-0.58668035	0.0029976768	0.76440966	-0.2330388	-0.015791874	0.49334282	-0.39096713	-0.035325076	0.44030708	0.02884831	-0.87242234	-0.4359003	-0.7840767	0.22784638	-0.5294027	0.09326633	-0.22582008	-0.15928034	0.6652849	0.21574081	0.36363092	0.6990089	-0.5184131	-0.21008606	-0.5382545	-0.34183106	-0.58156896	-0.112913705	-0.46777195	0.3290253	-0.14513038	0.5716957	0.22641881	0.6437524	-0.09339466	0.7566617	-0.3117642	0.4227646	-0.35193282	0.5130811	-0.11275382	0.53632164	0.43045467	-0.63799226	0.022581529	-0.91361684	-0.15218924	0.0387602	0.4596421	0.25788298	0.0976405	0.7600438
